date,Installation climatisation,reparation volet,travaux rénovation,artisan peintre,moustiquaire lit,isPartial
2018-01-07,0,0,0,0,0,False
2018-01-14,0,0,0,0,43,False
2018-01-21,0,0,0,0,0,False
2018-01-28,0,0,0,0,0,False
2018-02-04,0,0,44,0,45,False
2018-02-11,0,0,0,0,0,False
2018-02-18,0,0,0,0,0,False
2018-02-25,0,0,45,0,0,False
2018-03-04,0,0,0,0,0,False
2018-03-11,0,0,86,43,0,False
2018-03-18,0,0,0,0,44,False
2018-03-25,0,0,89,44,44,False
2018-04-01,0,0,0,91,0,False
2018-04-08,0,0,0,0,0,False
2018-04-15,45,0,0,0,0,False
2018-04-22,0,0,45,0,45,False
2018-04-29,0,0,0,0,62,False
2018-05-06,45,0,0,45,46,False
2018-05-13,0,0,87,0,44,False
2018-05-20,0,0,44,0,88,False
2018-05-27,43,0,0,43,87,False
2018-06-03,65,0,44,0,43,False
2018-06-10,64,0,43,43,0,False
2018-06-17,0,0,0,44,87,False
2018-06-24,0,0,0,0,44,False
2018-07-01,0,0,0,0,44,False
2018-07-08,0,0,0,0,70,False
2018-07-15,0,0,49,48,98,False
2018-07-22,0,0,0,48,48,False
2018-07-29,98,0,50,0,82,False
2018-08-05,100,0,0,0,0,False
2018-08-12,0,0,0,50,0,False
2018-08-19,0,0,48,0,48,False
2018-08-26,0,0,46,46,46,False
2018-09-02,0,0,46,0,0,False
2018-09-09,0,0,0,0,0,False
2018-09-16,0,0,45,45,0,False
2018-09-23,0,0,45,0,45,False
2018-09-30,45,0,0,44,0,False
2018-10-07,46,0,46,0,46,False
2018-10-14,0,0,0,46,0,False
2018-10-21,0,0,0,46,0,False
2018-10-28,0,0,0,0,0,False
2018-11-04,0,0,0,0,0,False
2018-11-11,0,0,0,0,0,False
2018-11-18,0,0,0,0,0,False
2018-11-25,39,0,39,0,0,False
2018-12-02,0,0,37,0,0,False
2018-12-09,0,0,0,0,0,False
2018-12-16,0,0,38,0,0,False
2018-12-23,0,0,0,40,0,False
2018-12-30,0,0,0,38,38,False
2019-01-06,37,0,0,0,0,False
2019-01-13,0,0,0,0,0,False
2019-01-20,37,0,37,0,0,False
2019-01-27,0,0,0,0,0,False
2019-02-03,0,0,0,37,0,False
2019-02-10,0,0,0,39,39,False
2019-02-17,44,0,0,0,0,False
2019-02-24,0,0,0,0,0,False
2019-03-03,37,0,0,0,0,False
2019-03-10,0,0,37,0,0,False
2019-03-17,38,0,0,0,0,False
2019-03-24,0,0,0,39,0,False
2019-03-31,0,0,0,38,0,False
2019-04-07,38,0,0,38,0,False
2019-04-14,0,0,63,42,0,False
2019-04-21,0,0,39,38,0,False
2019-04-28,37,0,37,37,0,False
2019-05-05,0,0,37,36,37,False
2019-05-12,38,0,0,38,0,False
2019-05-19,0,0,0,74,37,False
2019-05-26,40,0,0,0,40,False
2019-06-02,61,0,0,0,41,False
2019-06-09,39,0,39,0,0,False
2019-06-16,57,0,38,0,77,False
2019-06-23,95,0,0,0,58,False
2019-06-30,75,0,37,0,0,False
2019-07-07,37,0,75,0,56,False
2019-07-14,39,0,0,0,39,False
2019-07-21,58,0,0,0,43,False
2019-07-28,43,0,0,0,43,False
2019-08-04,0,0,0,0,0,False
2019-08-11,0,0,0,0,0,False
2019-08-18,66,0,0,0,0,False
2019-08-25,33,0,33,0,33,False
2019-09-01,0,0,0,71,0,False
2019-09-08,0,0,0,0,38,False
2019-09-15,37,0,0,0,0,False
2019-09-22,0,0,36,0,0,False
2019-09-29,0,0,0,0,34,False
2019-10-06,0,0,0,0,0,False
2019-10-13,35,0,0,0,0,False
2019-10-20,0,0,37,0,0,False
2019-10-27,0,0,35,0,0,False
2019-11-03,0,0,34,0,0,False
2019-11-10,35,0,0,0,0,False
2019-11-17,0,0,0,35,0,False
2019-11-24,33,0,0,0,0,False
2019-12-01,36,0,0,0,0,False
2019-12-08,0,0,0,0,34,False
2019-12-15,68,0,34,0,0,False
2019-12-22,34,0,0,0,0,False
2019-12-29,33,0,0,0,32,False
2020-01-05,0,0,31,0,0,False
2020-01-12,32,0,33,0,33,False
2020-01-19,0,0,0,0,0,False
2020-01-26,0,0,0,0,0,False
2020-02-02,33,0,33,0,33,False
2020-02-09,33,0,0,0,0,False
2020-02-16,0,0,34,0,0,False
2020-02-23,0,0,33,33,0,False
2020-03-01,47,0,47,31,0,False
2020-03-08,0,0,33,33,0,False
2020-03-15,0,0,0,0,32,False
2020-03-22,0,0,31,0,0,False
2020-03-29,0,0,0,32,32,False
2020-04-05,32,0,32,32,32,False
2020-04-12,0,0,0,32,0,False
2020-04-19,32,0,0,0,0,False
2020-04-26,30,0,0,0,30,False
2020-05-03,46,0,62,30,61,False
2020-05-10,31,0,31,62,31,False
2020-05-17,33,0,33,33,0,False
2020-05-24,64,0,33,0,33,False
2020-05-31,31,0,0,62,0,False
2020-06-07,31,0,31,63,0,False
2020-06-14,72,0,73,0,72,True
