date,pintar habitacion,instalar aire acondicionado,decorador,arreglar muebles,empresa de reformas,isPartial
2018-01-07,58,0,0,0,0,False
2018-01-14,29,0,29,0,29,False
2018-01-21,0,28,29,0,0,False
2018-01-28,88,0,0,0,0,False
2018-02-04,0,0,29,0,0,False
2018-02-11,30,0,0,0,0,False
2018-02-18,0,0,91,0,30,False
2018-02-25,57,0,28,0,0,False
2018-03-04,28,0,0,0,0,False
2018-03-11,28,0,0,0,0,False
2018-03-18,29,29,44,0,0,False
2018-03-25,61,0,0,0,31,False
2018-04-01,0,0,0,0,0,False
2018-04-08,0,0,0,0,0,False
2018-04-15,29,0,29,0,0,False
2018-04-22,28,0,0,0,28,False
2018-04-29,0,0,0,0,0,False
2018-05-06,28,0,0,0,0,False
2018-05-13,90,0,30,0,0,False
2018-05-20,29,0,0,0,0,False
2018-05-27,28,0,29,0,0,False
2018-06-03,27,0,27,0,27,False
2018-06-10,54,0,0,0,0,False
2018-06-17,90,30,30,0,0,False
2018-06-24,28,0,29,0,0,False
2018-07-01,42,0,0,0,0,False
2018-07-08,0,28,28,0,0,False
2018-07-15,29,0,0,0,0,False
2018-07-22,29,29,0,0,0,False
2018-07-29,0,28,0,0,0,False
2018-08-05,54,0,27,0,0,False
2018-08-12,0,0,0,0,0,False
2018-08-19,28,0,0,0,0,False
2018-08-26,28,28,28,0,0,False
2018-09-02,28,28,28,0,0,False
2018-09-09,58,0,29,0,29,False
2018-09-16,57,0,0,0,0,False
2018-09-23,57,0,0,0,0,False
2018-09-30,56,28,0,0,28,False
2018-10-07,29,0,0,0,0,False
2018-10-14,28,28,28,0,0,False
2018-10-21,43,29,0,0,0,False
2018-10-28,29,0,0,0,0,False
2018-11-04,0,0,0,0,0,False
2018-11-11,29,0,0,0,0,False
2018-11-18,27,27,0,0,0,False
2018-11-25,56,28,0,0,0,False
2018-12-02,29,0,0,0,0,False
2018-12-09,0,0,0,0,0,False
2018-12-16,0,0,0,0,28,False
2018-12-23,0,0,0,0,0,False
2018-12-30,0,0,32,0,0,False
2019-01-06,0,0,0,0,0,False
2019-01-13,55,27,27,0,0,False
2019-01-20,40,0,0,0,26,False
2019-01-27,27,27,0,0,0,False
2019-02-03,0,28,0,0,0,False
2019-02-10,0,0,0,0,0,False
2019-02-17,56,0,0,0,28,False
2019-02-24,0,0,28,0,28,False
2019-03-03,57,0,28,0,28,False
2019-03-10,29,0,0,0,0,False
2019-03-17,0,0,29,0,59,False
2019-03-24,58,0,0,0,0,False
2019-03-31,55,0,0,0,0,False
2019-04-07,28,0,0,0,0,False
2019-04-14,0,0,58,0,0,False
2019-04-21,54,0,0,0,27,False
2019-04-28,28,0,0,0,0,False
2019-05-05,27,0,0,0,0,False
2019-05-12,0,0,0,0,0,False
2019-05-19,41,27,27,0,0,False
2019-05-26,81,0,27,0,0,False
2019-06-02,0,0,0,0,0,False
2019-06-09,27,0,0,0,0,False
2019-06-16,40,0,27,0,0,False
2019-06-23,0,0,0,0,0,False
2019-06-30,27,0,27,0,0,False
2019-07-07,27,27,0,0,0,False
2019-07-14,28,0,0,0,0,False
2019-07-21,28,28,28,0,0,False
2019-07-28,0,0,0,0,0,False
2019-08-04,100,0,51,0,0,False
2019-08-11,26,26,26,0,0,False
2019-08-18,26,25,0,0,25,False
2019-08-25,0,26,0,0,0,False
2019-09-01,26,0,0,0,0,False
2019-09-08,40,0,27,0,0,False
2019-09-15,52,0,26,0,0,False
2019-09-22,26,26,0,0,26,False
2019-09-29,25,0,0,0,0,False
2019-10-06,25,0,0,0,25,False
2019-10-13,25,0,0,0,0,False
2019-10-20,0,0,26,0,0,False
2019-10-27,50,0,0,0,0,False
2019-11-03,25,0,49,0,0,False
2019-11-10,37,0,0,0,0,False
2019-11-17,25,0,25,0,0,False
2019-11-24,0,0,0,0,0,False
2019-12-01,0,26,0,0,0,False
2019-12-08,0,0,25,0,0,False
2019-12-15,0,0,25,0,0,False
2019-12-22,27,27,0,0,0,False
2019-12-29,54,27,0,0,0,False
2020-01-05,50,0,50,0,0,False
2020-01-12,34,0,0,0,23,False
2020-01-19,24,0,24,0,24,False
2020-01-26,23,0,23,0,0,False
2020-02-02,24,0,0,0,48,False
2020-02-09,0,0,23,0,47,False
2020-02-16,0,0,24,0,0,False
2020-02-23,24,0,0,0,0,False
2020-03-01,23,0,0,0,0,False
2020-03-08,45,0,0,0,0,False
2020-03-15,0,0,0,0,22,False
2020-03-22,41,0,0,0,0,False
2020-03-29,30,0,20,0,0,False
2020-04-05,42,0,21,0,0,False
2020-04-12,20,20,0,0,0,False
2020-04-19,40,20,0,0,0,False
2020-04-26,20,0,0,0,0,False
2020-05-03,20,20,0,0,0,False
2020-05-10,31,0,21,0,21,False
2020-05-17,22,0,22,0,0,False
2020-05-24,0,45,34,0,0,False
2020-05-31,0,21,21,0,21,False
2020-06-07,21,0,0,0,0,False
2020-06-14,77,0,77,0,0,True
