date,Installation climatisation,reparation volet,travaux rénovation,artisan peintre,moustiquaire lit,isPartial
2018-01-07,0,0,0,0,0,False
2018-01-14,0,25,0,0,0,False
2018-01-21,0,25,0,24,0,False
2018-01-28,0,0,0,24,0,False
2018-02-04,0,0,24,0,0,False
2018-02-11,0,25,25,0,0,False
2018-02-18,25,0,0,25,0,False
2018-02-25,0,0,25,25,0,False
2018-03-04,24,24,0,0,0,False
2018-03-11,0,0,24,0,24,False
2018-03-18,0,0,0,0,0,False
2018-03-25,24,0,0,0,24,False
2018-04-01,0,0,24,36,0,False
2018-04-08,0,0,0,24,0,False
2018-04-15,0,0,0,0,26,False
2018-04-22,25,0,0,0,0,False
2018-04-29,0,0,0,0,26,False
2018-05-06,0,0,0,0,51,False
2018-05-13,0,0,0,0,24,False
2018-05-20,0,25,0,25,0,False
2018-05-27,0,0,0,0,24,False
2018-06-03,0,24,24,0,24,False
2018-06-10,0,0,0,0,0,False
2018-06-17,0,24,0,0,0,False
2018-06-24,0,25,0,0,25,False
2018-07-01,0,25,0,0,37,False
2018-07-08,0,25,26,0,0,False
2018-07-15,0,0,0,0,55,False
2018-07-22,55,0,27,55,41,False
2018-07-29,27,28,0,0,55,False
2018-08-05,0,0,0,0,28,False
2018-08-12,0,29,0,0,0,False
2018-08-19,0,28,0,0,42,False
2018-08-26,0,0,26,26,0,False
2018-09-02,0,25,0,25,0,False
2018-09-09,25,0,50,25,50,False
2018-09-16,0,0,0,24,24,False
2018-09-23,0,0,24,0,24,False
2018-09-30,0,0,49,0,0,False
2018-10-07,25,0,0,25,0,False
2018-10-14,0,0,0,50,0,False
2018-10-21,0,25,0,0,50,False
2018-10-28,0,0,49,0,0,False
2018-11-04,0,0,0,0,24,False
2018-11-11,0,24,0,24,0,False
2018-11-18,0,24,24,0,0,False
2018-11-25,0,0,0,0,0,False
2018-12-02,0,24,24,24,24,False
2018-12-09,0,0,0,0,0,False
2018-12-16,0,0,25,0,0,False
2018-12-23,0,0,28,0,0,False
2018-12-30,0,26,0,26,0,False
2019-01-06,24,23,0,0,0,False
2019-01-13,0,0,24,0,24,False
2019-01-20,0,22,22,0,22,False
2019-01-27,0,0,0,0,0,False
2019-02-03,0,0,23,47,0,False
2019-02-10,0,0,0,0,0,False
2019-02-17,0,0,0,0,25,False
2019-02-24,0,24,48,24,0,False
2019-03-03,0,0,0,23,0,False
2019-03-10,0,0,0,0,0,False
2019-03-17,0,0,0,24,24,False
2019-03-24,0,0,0,0,24,False
2019-03-31,0,23,0,0,0,False
2019-04-07,0,23,23,0,0,False
2019-04-14,0,0,25,0,0,False
2019-04-21,0,0,0,0,23,False
2019-04-28,0,0,0,20,0,False
2019-05-05,0,61,0,20,0,False
2019-05-12,0,0,0,0,0,False
2019-05-19,0,0,42,0,0,False
2019-05-26,0,0,0,0,0,False
2019-06-02,40,0,0,0,20,False
2019-06-09,0,0,0,0,22,False
2019-06-16,22,22,0,0,23,False
2019-06-23,68,0,45,0,0,False
2019-06-30,21,0,0,0,21,False
2019-07-07,0,0,0,23,23,False
2019-07-14,22,0,0,0,23,False
2019-07-21,0,23,0,0,24,False
2019-07-28,23,0,23,0,47,False
2019-08-04,0,0,0,0,0,False
2019-08-11,26,0,0,0,52,False
2019-08-18,27,0,0,0,27,False
2019-08-25,0,0,0,0,24,False
2019-09-01,0,0,23,0,23,False
2019-09-08,0,0,24,0,24,False
2019-09-15,0,0,0,0,0,False
2019-09-22,21,0,21,41,21,False
2019-09-29,0,19,0,0,0,False
2019-10-06,0,0,0,0,0,False
2019-10-13,0,0,20,0,0,False
2019-10-20,20,40,0,0,0,False
2019-10-27,0,0,39,0,0,False
2019-11-03,0,19,0,0,0,False
2019-11-10,0,0,19,0,19,False
2019-11-17,0,0,19,0,0,False
2019-11-24,0,18,0,18,0,False
2019-12-01,0,0,21,0,0,False
2019-12-08,0,21,0,0,0,False
2019-12-15,0,0,0,22,22,False
2019-12-22,0,0,0,0,0,False
2019-12-29,0,0,22,0,0,False
2020-01-05,0,0,0,19,0,False
2020-01-12,0,0,46,36,0,False
2020-01-19,0,0,19,0,0,False
2020-01-26,18,18,19,19,0,False
2020-02-02,0,18,18,18,0,False
2020-02-09,0,18,37,0,0,False
2020-02-16,0,0,38,19,0,False
2020-02-23,0,0,19,19,0,False
2020-03-01,19,0,38,0,0,False
2020-03-08,0,18,18,0,0,False
2020-03-15,0,0,0,17,0,False
2020-03-22,0,0,17,0,0,False
2020-03-29,0,16,17,16,17,False
2020-04-05,0,0,0,0,0,False
2020-04-12,0,0,0,0,17,False
2020-04-19,17,0,0,0,17,False
2020-04-26,0,0,0,0,0,False
2020-05-03,16,0,0,16,16,False
2020-05-10,17,17,17,17,17,False
2020-05-17,26,18,0,0,35,False
2020-05-24,17,0,17,0,34,False
2020-05-31,0,17,16,0,16,False
2020-06-07,17,0,17,17,33,False
2020-06-14,40,0,0,40,100,True
