date,Installation climatisation,reparation volet,travaux rénovation,artisan peintre,moustiquaire lit,isPartial
2018-01-07,0,0,0,0,0,False
2018-01-14,0,0,0,0,0,False
2018-01-21,0,0,0,0,0,False
2018-01-28,0,0,0,0,0,False
2018-02-04,29,0,29,0,0,False
2018-02-11,0,0,30,0,0,False
2018-02-18,0,0,0,0,0,False
2018-02-25,0,0,30,0,0,False
2018-03-04,0,0,0,29,0,False
2018-03-11,0,0,29,29,0,False
2018-03-18,0,29,29,0,0,False
2018-03-25,0,0,0,29,0,False
2018-04-01,29,0,30,29,0,False
2018-04-08,0,0,30,0,0,False
2018-04-15,85,0,0,63,0,False
2018-04-22,0,0,0,58,0,False
2018-04-29,0,28,0,0,0,False
2018-05-06,0,0,0,0,0,False
2018-05-13,0,0,0,0,0,False
2018-05-20,0,0,0,0,0,False
2018-05-27,0,0,0,0,0,False
2018-06-03,30,0,30,30,0,False
2018-06-10,29,0,0,0,0,False
2018-06-17,53,0,32,0,0,False
2018-06-24,32,0,32,0,0,False
2018-07-01,31,0,31,0,0,False
2018-07-08,32,32,32,0,0,False
2018-07-15,0,0,0,0,0,False
2018-07-22,32,0,32,0,0,False
2018-07-29,32,0,48,0,0,False
2018-08-05,31,0,0,0,0,False
2018-08-12,0,31,31,0,0,False
2018-08-19,0,0,31,0,0,False
2018-08-26,0,0,31,0,0,False
2018-09-02,30,0,31,31,0,False
2018-09-09,0,0,31,0,0,False
2018-09-16,0,0,0,0,0,False
2018-09-23,30,0,31,0,0,False
2018-09-30,0,0,46,0,0,False
2018-10-07,0,61,31,0,0,False
2018-10-14,31,0,31,0,0,False
2018-10-21,31,0,31,0,0,False
2018-10-28,0,0,0,28,0,False
2018-11-04,0,0,29,0,0,False
2018-11-11,29,0,0,0,0,False
2018-11-18,0,0,29,0,0,False
2018-11-25,0,0,28,0,0,False
2018-12-02,0,0,0,0,0,False
2018-12-09,29,28,0,29,0,False
2018-12-16,0,58,0,0,0,False
2018-12-23,0,0,61,31,0,False
2018-12-30,30,30,30,0,0,False
2019-01-06,28,0,28,0,0,False
2019-01-13,28,0,28,0,0,False
2019-01-20,26,0,27,0,0,False
2019-01-27,0,0,26,26,0,False
2019-02-03,27,0,27,0,0,False
2019-02-10,0,0,0,0,0,False
2019-02-17,0,0,30,30,0,False
2019-02-24,28,0,0,0,0,False
2019-03-03,0,0,27,27,0,False
2019-03-10,56,0,28,0,0,False
2019-03-17,0,0,0,29,0,False
2019-03-24,29,0,44,58,0,False
2019-03-31,0,0,0,28,0,False
2019-04-07,0,0,0,44,0,False
2019-04-14,30,0,30,0,0,False
2019-04-21,29,0,29,29,0,False
2019-04-28,27,0,27,27,0,False
2019-05-05,27,0,27,0,0,False
2019-05-12,0,0,28,0,0,False
2019-05-19,28,0,28,0,0,False
2019-05-26,29,0,29,29,0,False
2019-06-02,0,0,0,0,0,False
2019-06-09,27,0,27,0,0,False
2019-06-16,0,0,29,28,0,False
2019-06-23,29,0,29,28,0,False
2019-06-30,28,0,28,28,0,False
2019-07-07,56,0,28,0,0,False
2019-07-14,73,0,29,0,0,False
2019-07-21,44,0,30,0,0,False
2019-07-28,30,0,30,60,0,False
2019-08-04,0,0,0,0,0,False
2019-08-11,0,0,0,0,0,False
2019-08-18,0,0,28,0,0,False
2019-08-25,28,0,28,0,0,False
2019-09-01,27,27,27,0,0,False
2019-09-08,28,0,56,0,0,False
2019-09-15,27,27,0,27,0,False
2019-09-22,34,26,26,0,0,False
2019-09-29,0,0,26,0,0,False
2019-10-06,26,0,52,0,0,False
2019-10-13,26,0,27,0,0,False
2019-10-20,26,0,0,26,0,False
2019-10-27,0,0,25,0,0,False
2019-11-03,0,0,38,25,0,False
2019-11-10,0,0,0,0,0,False
2019-11-17,0,0,51,0,0,False
2019-11-24,37,0,74,0,0,False
2019-12-01,34,0,51,0,0,False
2019-12-08,37,0,0,25,0,False
2019-12-15,25,0,0,50,0,False
2019-12-22,27,0,26,26,0,False
2019-12-29,26,0,26,26,0,False
2020-01-05,0,0,36,24,0,False
2020-01-12,24,0,0,0,0,False
2020-01-19,0,0,25,0,0,False
2020-01-26,24,0,72,24,0,False
2020-02-02,0,0,25,25,0,False
2020-02-09,0,24,24,0,0,False
2020-02-16,25,0,24,0,0,False
2020-02-23,24,24,24,0,0,False
2020-03-01,24,0,24,24,0,False
2020-03-08,0,0,0,0,0,False
2020-03-15,43,21,0,0,0,False
2020-03-22,0,0,21,0,0,False
2020-03-29,0,20,21,21,0,False
2020-04-05,0,0,42,0,0,False
2020-04-12,21,0,0,21,0,False
2020-04-19,0,0,42,62,0,False
2020-04-26,20,0,20,20,0,False
2020-05-03,41,0,20,20,0,False
2020-05-10,32,21,22,0,0,False
2020-05-17,23,23,0,0,0,False
2020-05-24,45,0,23,0,0,False
2020-05-31,28,0,42,21,0,False
2020-06-07,33,0,22,0,0,False
2020-06-14,0,0,100,0,0,True
