date,jardiner,isPartial
2018-01-07,14,False
2018-01-14,14,False
2018-01-21,19,False
2018-01-28,14,False
2018-02-04,27,False
2018-02-11,24,False
2018-02-18,14,False
2018-02-25,29,False
2018-03-04,60,False
2018-03-11,44,False
2018-03-18,34,False
2018-03-25,29,False
2018-04-01,59,False
2018-04-08,62,False
2018-04-15,46,False
2018-04-22,49,False
2018-04-29,56,False
2018-05-06,63,False
2018-05-13,79,False
2018-05-20,30,False
2018-05-27,53,False
2018-06-03,44,False
2018-06-10,28,False
2018-06-17,30,False
2018-06-24,34,False
2018-07-01,24,False
2018-07-08,15,False
2018-07-15,16,False
2018-07-22,32,False
2018-07-29,16,False
2018-08-05,17,False
2018-08-12,34,False
2018-08-19,0,False
2018-08-26,41,False
2018-09-02,15,False
2018-09-09,15,False
2018-09-16,20,False
2018-09-23,30,False
2018-09-30,23,False
2018-10-07,23,False
2018-10-14,23,False
2018-10-21,15,False
2018-10-28,44,False
2018-11-04,0,False
2018-11-11,20,False
2018-11-18,0,False
2018-11-25,14,False
2018-12-02,0,False
2018-12-09,15,False
2018-12-16,15,False
2018-12-23,0,False
2018-12-30,15,False
2019-01-06,15,False
2019-01-13,29,False
2019-01-20,18,False
2019-01-27,14,False
2019-02-03,22,False
2019-02-10,61,False
2019-02-17,31,False
2019-02-24,36,False
2019-03-03,28,False
2019-03-10,39,False
2019-03-17,61,False
2019-03-24,80,False
2019-03-31,25,False
2019-04-07,41,False
2019-04-14,53,False
2019-04-21,48,False
2019-04-28,28,False
2019-05-05,37,False
2019-05-12,44,False
2019-05-19,34,False
2019-05-26,36,False
2019-06-02,50,False
2019-06-09,21,False
2019-06-16,15,False
2019-06-23,28,False
2019-06-30,29,False
2019-07-07,36,False
2019-07-14,31,False
2019-07-21,15,False
2019-07-28,32,False
2019-08-04,27,False
2019-08-11,31,False
2019-08-18,31,False
2019-08-25,14,False
2019-09-01,14,False
2019-09-08,14,False
2019-09-15,28,False
2019-09-22,20,False
2019-09-29,13,False
2019-10-06,18,False
2019-10-13,0,False
2019-10-20,27,False
2019-10-27,0,False
2019-11-03,13,False
2019-11-10,13,False
2019-11-17,13,False
2019-11-24,19,False
2019-12-01,13,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,19,False
2020-01-12,25,False
2020-01-19,13,False
2020-01-26,16,False
2020-02-02,12,False
2020-02-09,19,False
2020-02-16,38,False
2020-02-23,12,False
2020-03-01,0,False
2020-03-08,12,False
2020-03-15,79,False
2020-03-22,60,False
2020-03-29,53,False
2020-04-05,100,False
2020-04-12,100,False
2020-04-19,68,False
2020-04-26,68,False
2020-05-03,64,False
2020-05-10,55,False
2020-05-17,48,False
2020-05-24,36,False
2020-05-31,24,False
2020-06-07,42,False
2020-06-14,27,False
2020-06-21,49,True
