date,jardiner,isPartial
2018-01-07,19,False
2018-01-14,18,False
2018-01-21,28,False
2018-01-28,14,False
2018-02-04,14,False
2018-02-11,17,False
2018-02-18,8,False
2018-02-25,15,False
2018-03-04,21,False
2018-03-11,36,False
2018-03-18,29,False
2018-03-25,20,False
2018-04-01,33,False
2018-04-08,51,False
2018-04-15,70,False
2018-04-22,45,False
2018-04-29,42,False
2018-05-06,29,False
2018-05-13,50,False
2018-05-20,44,False
2018-05-27,33,False
2018-06-03,35,False
2018-06-10,30,False
2018-06-17,21,False
2018-06-24,14,False
2018-07-01,23,False
2018-07-08,20,False
2018-07-15,28,False
2018-07-22,22,False
2018-07-29,25,False
2018-08-05,18,False
2018-08-12,31,False
2018-08-19,20,False
2018-08-26,31,False
2018-09-02,12,False
2018-09-09,14,False
2018-09-16,19,False
2018-09-23,14,False
2018-09-30,11,False
2018-10-07,21,False
2018-10-14,16,False
2018-10-21,28,False
2018-10-28,19,False
2018-11-04,10,False
2018-11-11,11,False
2018-11-18,7,False
2018-11-25,9,False
2018-12-02,7,False
2018-12-09,22,False
2018-12-16,15,False
2018-12-23,15,False
2018-12-30,16,False
2019-01-06,17,False
2019-01-13,17,False
2019-01-20,7,False
2019-01-27,17,False
2019-02-03,13,False
2019-02-10,37,False
2019-02-17,28,False
2019-02-24,22,False
2019-03-03,26,False
2019-03-10,48,False
2019-03-17,41,False
2019-03-24,42,False
2019-03-31,42,False
2019-04-07,37,False
2019-04-14,33,False
2019-04-21,43,False
2019-04-28,34,False
2019-05-05,41,False
2019-05-12,45,False
2019-05-19,30,False
2019-05-26,43,False
2019-06-02,16,False
2019-06-09,25,False
2019-06-16,25,False
2019-06-23,20,False
2019-06-30,17,False
2019-07-07,15,False
2019-07-14,16,False
2019-07-21,23,False
2019-07-28,30,False
2019-08-04,24,False
2019-08-11,17,False
2019-08-18,22,False
2019-08-25,22,False
2019-09-01,15,False
2019-09-08,10,False
2019-09-15,17,False
2019-09-22,7,False
2019-09-29,19,False
2019-10-06,10,False
2019-10-13,26,False
2019-10-20,7,False
2019-10-27,41,False
2019-11-03,21,False
2019-11-10,24,False
2019-11-17,11,False
2019-11-24,14,False
2019-12-01,10,False
2019-12-08,9,False
2019-12-15,19,False
2019-12-22,11,False
2019-12-29,16,False
2020-01-05,20,False
2020-01-12,21,False
2020-01-19,18,False
2020-01-26,20,False
2020-02-02,16,False
2020-02-09,28,False
2020-02-16,29,False
2020-02-23,29,False
2020-03-01,22,False
2020-03-08,35,False
2020-03-15,54,False
2020-03-22,70,False
2020-03-29,66,False
2020-04-05,100,False
2020-04-12,78,False
2020-04-19,96,False
2020-04-26,68,False
2020-05-03,80,False
2020-05-10,70,False
2020-05-17,64,False
2020-05-24,56,False
2020-05-31,51,False
2020-06-07,40,False
2020-06-14,36,False
2020-06-21,50,True
