date,jardiner,isPartial
2018-01-07,13,False
2018-01-14,25,False
2018-01-21,12,False
2018-01-28,13,False
2018-02-04,12,False
2018-02-11,21,False
2018-02-18,0,False
2018-02-25,25,False
2018-03-04,33,False
2018-03-11,30,False
2018-03-18,13,False
2018-03-25,52,False
2018-04-01,62,False
2018-04-08,40,False
2018-04-15,54,False
2018-04-22,100,False
2018-04-29,64,False
2018-05-06,67,False
2018-05-13,58,False
2018-05-20,50,False
2018-05-27,34,False
2018-06-03,18,False
2018-06-10,43,False
2018-06-17,37,False
2018-06-24,32,False
2018-07-01,18,False
2018-07-08,35,False
2018-07-15,28,False
2018-07-22,28,False
2018-07-29,28,False
2018-08-05,28,False
2018-08-12,14,False
2018-08-19,14,False
2018-08-26,28,False
2018-09-02,21,False
2018-09-09,41,False
2018-09-16,20,False
2018-09-23,13,False
2018-09-30,13,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,27,False
2018-10-28,0,False
2018-11-04,13,False
2018-11-11,0,False
2018-11-18,13,False
2018-11-25,13,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,13,False
2019-01-06,13,False
2019-01-13,13,False
2019-01-20,0,False
2019-01-27,12,False
2019-02-03,21,False
2019-02-10,19,False
2019-02-17,27,False
2019-02-24,35,False
2019-03-03,42,False
2019-03-10,39,False
2019-03-17,35,False
2019-03-24,35,False
2019-03-31,48,False
2019-04-07,44,False
2019-04-14,23,False
2019-04-21,75,False
2019-04-28,75,False
2019-05-05,46,False
2019-05-12,56,False
2019-05-19,52,False
2019-05-26,75,False
2019-06-02,46,False
2019-06-09,25,False
2019-06-16,31,False
2019-06-23,20,False
2019-06-30,13,False
2019-07-07,30,False
2019-07-14,20,False
2019-07-21,0,False
2019-07-28,54,False
2019-08-04,22,False
2019-08-11,26,False
2019-08-18,40,False
2019-08-25,13,False
2019-09-01,25,False
2019-09-08,13,False
2019-09-15,17,False
2019-09-22,18,False
2019-09-29,16,False
2019-10-06,18,False
2019-10-13,12,False
2019-10-20,18,False
2019-10-27,11,False
2019-11-03,23,False
2019-11-10,11,False
2019-11-17,11,False
2019-11-24,15,False
2019-12-01,11,False
2019-12-08,11,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,11,False
2020-01-12,11,False
2020-01-19,17,False
2020-01-26,11,False
2020-02-02,11,False
2020-02-09,32,False
2020-02-16,21,False
2020-02-23,21,False
2020-03-01,21,False
2020-03-08,42,False
2020-03-15,50,False
2020-03-22,56,False
2020-03-29,80,False
2020-04-05,79,False
2020-04-12,73,False
2020-04-19,76,False
2020-04-26,70,False
2020-05-03,84,False
2020-05-10,71,False
2020-05-17,72,False
2020-05-24,58,False
2020-05-31,47,False
2020-06-07,32,False
2020-06-14,34,False
2020-06-21,78,True
