date,jardiner,isPartial
2018-01-07,15,False
2018-01-14,7,False
2018-01-21,10,False
2018-01-28,13,False
2018-02-04,12,False
2018-02-11,13,False
2018-02-18,12,False
2018-02-25,17,False
2018-03-04,32,False
2018-03-11,24,False
2018-03-18,25,False
2018-03-25,36,False
2018-04-01,46,False
2018-04-08,46,False
2018-04-15,63,False
2018-04-22,55,False
2018-04-29,49,False
2018-05-06,63,False
2018-05-13,63,False
2018-05-20,56,False
2018-05-27,40,False
2018-06-03,22,False
2018-06-10,36,False
2018-06-17,24,False
2018-06-24,28,False
2018-07-01,23,False
2018-07-08,33,False
2018-07-15,8,False
2018-07-22,22,False
2018-07-29,22,False
2018-08-05,15,False
2018-08-12,23,False
2018-08-19,13,False
2018-08-26,16,False
2018-09-02,8,False
2018-09-09,8,False
2018-09-16,14,False
2018-09-23,8,False
2018-09-30,10,False
2018-10-07,8,False
2018-10-14,9,False
2018-10-21,11,False
2018-10-28,10,False
2018-11-04,12,False
2018-11-11,5,False
2018-11-18,5,False
2018-11-25,5,False
2018-12-02,10,False
2018-12-09,10,False
2018-12-16,0,False
2018-12-23,8,False
2018-12-30,10,False
2019-01-06,10,False
2019-01-13,5,False
2019-01-20,5,False
2019-01-27,14,False
2019-02-03,12,False
2019-02-10,13,False
2019-02-17,25,False
2019-02-24,33,False
2019-03-03,43,False
2019-03-10,34,False
2019-03-17,44,False
2019-03-24,56,False
2019-03-31,49,False
2019-04-07,42,False
2019-04-14,53,False
2019-04-21,69,False
2019-04-28,66,False
2019-05-05,30,False
2019-05-12,66,False
2019-05-19,53,False
2019-05-26,51,False
2019-06-02,50,False
2019-06-09,37,False
2019-06-16,25,False
2019-06-23,16,False
2019-06-30,30,False
2019-07-07,14,False
2019-07-14,21,False
2019-07-21,10,False
2019-07-28,18,False
2019-08-04,13,False
2019-08-11,18,False
2019-08-18,32,False
2019-08-25,15,False
2019-09-01,10,False
2019-09-08,15,False
2019-09-15,12,False
2019-09-22,10,False
2019-09-29,14,False
2019-10-06,7,False
2019-10-13,11,False
2019-10-20,9,False
2019-10-27,7,False
2019-11-03,6,False
2019-11-10,4,False
2019-11-17,10,False
2019-11-24,6,False
2019-12-01,4,False
2019-12-08,4,False
2019-12-15,9,False
2019-12-22,9,False
2019-12-29,9,False
2020-01-05,6,False
2020-01-12,8,False
2020-01-19,8,False
2020-01-26,11,False
2020-02-02,12,False
2020-02-09,15,False
2020-02-16,18,False
2020-02-23,16,False
2020-03-01,28,False
2020-03-08,26,False
2020-03-15,69,False
2020-03-22,56,False
2020-03-29,60,False
2020-04-05,79,False
2020-04-12,89,False
2020-04-19,100,False
2020-04-26,63,False
2020-05-03,94,False
2020-05-10,52,False
2020-05-17,61,False
2020-05-24,64,False
2020-05-31,55,False
2020-06-07,29,False
2020-06-14,47,False
2020-06-21,50,True
