date,apostilla de la haya,isPartial
2018-01-07,56,False
2018-01-14,55,False
2018-01-21,0,False
2018-01-28,27,False
2018-02-04,27,False
2018-02-11,27,False
2018-02-18,27,False
2018-02-25,0,False
2018-03-04,53,False
2018-03-11,27,False
2018-03-18,0,False
2018-03-25,30,False
2018-04-01,28,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,27,False
2018-05-06,51,False
2018-05-13,27,False
2018-05-20,27,False
2018-05-27,53,False
2018-06-03,26,False
2018-06-10,0,False
2018-06-17,28,False
2018-06-24,28,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,83,False
2018-07-29,29,False
2018-08-05,0,False
2018-08-12,30,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,27,False
2018-09-09,27,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,27,False
2018-10-07,0,False
2018-10-14,52,False
2018-10-21,53,False
2018-10-28,27,False
2018-11-04,53,False
2018-11-11,27,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,28,False
2018-12-23,67,False
2018-12-30,62,False
2019-01-06,27,False
2019-01-13,0,False
2019-01-20,51,False
2019-01-27,26,False
2019-02-03,80,False
2019-02-10,80,False
2019-02-17,54,False
2019-02-24,0,False
2019-03-03,27,False
2019-03-10,0,False
2019-03-17,27,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,27,False
2019-04-14,0,False
2019-04-21,26,False
2019-04-28,25,False
2019-05-05,26,False
2019-05-12,100,False
2019-05-19,25,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,27,False
2019-06-30,26,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,27,False
2019-07-28,83,False
2019-08-04,29,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,76,False
2019-09-08,0,False
2019-09-15,24,False
2019-09-22,0,False
2019-09-29,24,False
2019-10-06,24,False
2019-10-13,23,False
2019-10-20,24,False
2019-10-27,100,False
2019-11-03,24,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,47,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,25,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,25,False
2020-01-12,46,False
2020-01-19,22,False
2020-01-26,23,False
2020-02-02,23,False
2020-02-09,23,False
2020-02-16,70,False
2020-02-23,23,False
2020-03-01,0,False
2020-03-08,67,False
2020-03-15,23,False
2020-03-22,0,False
2020-03-29,21,False
2020-04-05,0,False
2020-04-12,0,True
