date,Reihenhaus,isPartial
2018-01-07,27,False
2018-01-14,28,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,28,False
2018-02-11,28,False
2018-02-18,28,False
2018-02-25,27,False
2018-03-04,41,False
2018-03-11,27,False
2018-03-18,0,False
2018-03-25,58,False
2018-04-01,0,False
2018-04-08,28,False
2018-04-15,57,False
2018-04-22,0,False
2018-04-29,86,False
2018-05-06,43,False
2018-05-13,0,False
2018-05-20,55,False
2018-05-27,40,False
2018-06-03,28,False
2018-06-10,27,False
2018-06-17,27,False
2018-06-24,27,False
2018-07-01,57,False
2018-07-08,28,False
2018-07-15,0,False
2018-07-22,29,False
2018-07-29,57,False
2018-08-05,80,False
2018-08-12,26,False
2018-08-19,26,False
2018-08-26,81,False
2018-09-02,41,False
2018-09-09,40,False
2018-09-16,56,False
2018-09-23,27,False
2018-09-30,28,False
2018-10-07,85,False
2018-10-14,55,False
2018-10-21,26,False
2018-10-28,64,False
2018-11-04,38,False
2018-11-11,27,False
2018-11-18,64,False
2018-11-25,26,False
2018-12-02,0,False
2018-12-09,26,False
2018-12-16,27,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,62,False
2019-01-13,74,False
2019-01-20,0,False
2019-01-27,50,False
2019-02-03,25,False
2019-02-10,64,False
2019-02-17,27,False
2019-02-24,0,False
2019-03-03,25,False
2019-03-10,100,False
2019-03-17,26,False
2019-03-24,39,False
2019-03-31,26,False
2019-04-07,26,False
2019-04-14,28,False
2019-04-21,28,False
2019-04-28,38,False
2019-05-05,50,False
2019-05-12,51,False
2019-05-19,25,False
2019-05-26,52,False
2019-06-02,26,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,27,False
2019-06-30,52,False
2019-07-07,52,False
2019-07-14,0,False
2019-07-21,29,False
2019-07-28,27,False
2019-08-04,27,False
2019-08-11,79,False
2019-08-18,26,False
2019-08-25,51,False
2019-09-01,37,False
2019-09-08,26,False
2019-09-15,26,False
2019-09-22,25,False
2019-09-29,37,False
2019-10-06,25,False
2019-10-13,0,False
2019-10-20,25,False
2019-10-27,0,False
2019-11-03,23,False
2019-11-10,24,False
2019-11-17,24,False
2019-11-24,47,False
2019-12-01,0,False
2019-12-08,24,False
2019-12-15,72,False
2019-12-22,27,False
2019-12-29,25,False
2020-01-05,34,False
2020-01-12,22,False
2020-01-19,23,False
2020-01-26,45,False
2020-02-02,67,False
2020-02-09,58,False
2020-02-16,23,False
2020-02-23,33,False
2020-03-01,22,False
2020-03-08,52,False
2020-03-15,0,False
2020-03-22,40,False
2020-03-29,40,False
2020-04-05,33,False
2020-04-12,21,False
2020-04-19,21,False
2020-04-26,31,False
2020-05-03,41,False
2020-05-10,21,False
