date,Bauunternehmen,isPartial
2018-01-07,29,False
2018-01-14,42,False
2018-01-21,63,False
2018-01-28,31,False
2018-02-04,0,False
2018-02-11,54,False
2018-02-18,64,False
2018-02-25,32,False
2018-03-04,47,False
2018-03-11,32,False
2018-03-18,65,False
2018-03-25,48,False
2018-04-01,42,False
2018-04-08,32,False
2018-04-15,35,False
2018-04-22,66,False
2018-04-29,34,False
2018-05-06,51,False
2018-05-13,33,False
2018-05-20,34,False
2018-05-27,48,False
2018-06-03,33,False
2018-06-10,45,False
2018-06-17,45,False
2018-06-24,31,False
2018-07-01,88,False
2018-07-08,53,False
2018-07-15,53,False
2018-07-22,37,False
2018-07-29,36,False
2018-08-05,24,False
2018-08-12,24,False
2018-08-19,55,False
2018-08-26,41,False
2018-09-02,47,False
2018-09-09,31,False
2018-09-16,94,False
2018-09-23,32,False
2018-09-30,62,False
2018-10-07,33,False
2018-10-14,32,False
2018-10-21,46,False
2018-10-28,61,False
2018-11-04,51,False
2018-11-11,31,False
2018-11-18,30,False
2018-11-25,47,False
2018-12-02,63,False
2018-12-09,63,False
2018-12-16,31,False
2018-12-23,0,False
2018-12-30,29,False
2019-01-06,38,False
2019-01-13,39,False
2019-01-20,72,False
2019-01-27,59,False
2019-02-03,61,False
2019-02-10,46,False
2019-02-17,100,False
2019-02-24,59,False
2019-03-03,29,False
2019-03-10,39,False
2019-03-17,30,False
2019-03-24,30,False
2019-03-31,31,False
2019-04-07,31,False
2019-04-14,47,False
2019-04-21,30,False
2019-04-28,58,False
2019-05-05,49,False
2019-05-12,59,False
2019-05-19,44,False
2019-05-26,66,False
2019-06-02,29,False
2019-06-09,56,False
2019-06-16,29,False
2019-06-23,58,False
2019-06-30,46,False
2019-07-07,28,False
2019-07-14,54,False
2019-07-21,28,False
2019-07-28,53,False
2019-08-04,36,False
2019-08-11,39,False
2019-08-18,37,False
2019-08-25,27,False
2019-09-01,54,False
2019-09-08,41,False
2019-09-15,55,False
2019-09-22,46,False
2019-09-29,54,False
2019-10-06,41,False
2019-10-13,42,False
2019-10-20,52,False
2019-10-27,35,False
2019-11-03,42,False
2019-11-10,44,False
2019-11-17,26,False
2019-11-24,40,False
2019-12-01,41,False
2019-12-08,41,False
2019-12-15,27,False
2019-12-22,29,False
2019-12-29,25,False
2020-01-05,33,False
2020-01-12,49,False
2020-01-19,49,False
2020-01-26,24,False
2020-02-02,33,False
2020-02-09,35,False
2020-02-16,52,False
2020-02-23,33,False
2020-03-01,37,False
2020-03-08,35,False
2020-03-15,23,False
2020-03-22,46,False
2020-03-29,36,False
2020-04-05,75,False
2020-04-12,23,False
2020-04-19,71,False
2020-04-26,68,False
2020-05-03,39,False
2020-05-10,23,False
