date,addobbi matrimonio,isPartial
2018-01-07,26,False
2018-01-14,0,False
2018-01-21,38,False
2018-01-28,25,False
2018-02-04,50,False
2018-02-11,72,False
2018-02-18,34,False
2018-02-25,23,False
2018-03-04,23,False
2018-03-11,46,False
2018-03-18,35,False
2018-03-25,37,False
2018-04-01,26,False
2018-04-08,23,False
2018-04-15,24,False
2018-04-22,100,False
2018-04-29,83,False
2018-05-06,23,False
2018-05-13,46,False
2018-05-20,92,False
2018-05-27,48,False
2018-06-03,36,False
2018-06-10,46,False
2018-06-17,67,False
2018-06-24,24,False
2018-07-01,48,False
2018-07-08,60,False
2018-07-15,37,False
2018-07-22,49,False
2018-07-29,50,False
2018-08-05,40,False
2018-08-12,31,False
2018-08-19,32,False
2018-08-26,28,False
2018-09-02,0,False
2018-09-09,46,False
2018-09-16,55,False
2018-09-23,23,False
2018-09-30,34,False
2018-10-07,82,False
2018-10-14,23,False
2018-10-21,23,False
2018-10-28,45,False
2018-11-04,43,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,32,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,30,False
2018-12-30,26,False
2019-01-06,65,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,43,False
2019-02-03,25,False
2019-02-10,0,False
2019-02-17,25,False
2019-02-24,56,False
2019-03-03,66,False
2019-03-10,78,False
2019-03-17,40,False
2019-03-24,64,False
2019-03-31,25,False
2019-04-07,24,False
2019-04-14,0,False
2019-04-21,29,False
2019-04-28,25,False
2019-05-05,23,False
2019-05-12,49,False
2019-05-19,0,False
2019-05-26,60,False
2019-06-02,25,False
2019-06-09,50,False
2019-06-16,26,False
2019-06-23,40,False
2019-06-30,27,False
2019-07-07,49,False
2019-07-14,27,False
2019-07-21,67,False
2019-07-28,43,False
2019-08-04,31,False
2019-08-11,0,False
2019-08-18,31,False
2019-08-25,55,False
2019-09-01,36,False
2019-09-08,25,False
2019-09-15,72,False
2019-09-22,24,False
2019-09-29,36,False
2019-10-06,50,False
2019-10-13,37,False
2019-10-20,24,False
2019-10-27,24,False
2019-11-03,0,False
2019-11-10,24,False
2019-11-17,0,False
2019-11-24,24,False
2019-12-01,0,False
2019-12-08,49,False
2019-12-15,50,False
2019-12-22,30,False
2019-12-29,0,False
2020-01-05,24,False
2020-01-12,0,False
2020-01-19,23,False
2020-01-26,68,False
2020-02-02,45,False
2020-02-09,46,False
2020-02-16,70,False
2020-02-23,0,False
2020-03-01,44,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,22,False
2020-04-12,22,False
2020-04-19,0,False
2020-04-26,36,True
