date,addobbi matrimonio,isPartial
2018-01-07,0,False
2018-01-14,57,False
2018-01-21,23,False
2018-01-28,69,False
2018-02-04,23,False
2018-02-11,37,False
2018-02-18,34,False
2018-02-25,89,False
2018-03-04,35,False
2018-03-11,23,False
2018-03-18,23,False
2018-03-25,25,False
2018-04-01,39,False
2018-04-08,74,False
2018-04-15,24,False
2018-04-22,100,False
2018-04-29,49,False
2018-05-06,23,False
2018-05-13,37,False
2018-05-20,36,False
2018-05-27,25,False
2018-06-03,25,False
2018-06-10,0,False
2018-06-17,35,False
2018-06-24,0,False
2018-07-01,24,False
2018-07-08,0,False
2018-07-15,25,False
2018-07-22,37,False
2018-07-29,50,False
2018-08-05,79,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,26,False
2018-09-02,0,False
2018-09-09,24,False
2018-09-16,57,False
2018-09-23,0,False
2018-09-30,23,False
2018-10-07,25,False
2018-10-14,25,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,24,False
2018-11-11,0,False
2018-11-18,25,False
2018-11-25,0,False
2018-12-02,38,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,25,False
2019-01-06,24,False
2019-01-13,47,False
2019-01-20,44,False
2019-01-27,34,False
2019-02-03,45,False
2019-02-10,23,False
2019-02-17,68,False
2019-02-24,23,False
2019-03-03,48,False
2019-03-10,46,False
2019-03-17,36,False
2019-03-24,24,False
2019-03-31,47,False
2019-04-07,0,False
2019-04-14,25,False
2019-04-21,37,False
2019-04-28,81,False
2019-05-05,69,False
2019-05-12,23,False
2019-05-19,23,False
2019-05-26,22,False
2019-06-02,36,False
2019-06-09,25,False
2019-06-16,49,False
2019-06-23,25,False
2019-06-30,26,False
2019-07-07,25,False
2019-07-14,0,False
2019-07-21,25,False
2019-07-28,25,False
2019-08-04,26,False
2019-08-11,29,False
2019-08-18,54,False
2019-08-25,35,False
2019-09-01,66,False
2019-09-08,57,False
2019-09-15,33,False
2019-09-22,64,False
2019-09-29,0,False
2019-10-06,23,False
2019-10-13,0,False
2019-10-20,44,False
2019-10-27,64,False
2019-11-03,20,False
2019-11-10,43,False
2019-11-17,0,False
2019-11-24,43,False
2019-12-01,23,False
2019-12-08,0,False
2019-12-15,45,False
2019-12-22,0,False
2019-12-29,23,False
2020-01-05,22,False
2020-01-12,53,False
2020-01-19,22,False
2020-01-26,0,False
2020-02-02,41,False
2020-02-09,64,False
2020-02-16,32,False
2020-02-23,40,False
2020-03-01,19,False
2020-03-08,0,False
2020-03-15,18,False
2020-03-22,34,False
2020-03-29,18,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,True
