date,Hochzeitsfotos,isPartial
2018-01-07,15,False
2018-01-14,15,False
2018-01-21,11,False
2018-01-28,19,False
2018-02-04,16,False
2018-02-11,30,False
2018-02-18,8,False
2018-02-25,11,False
2018-03-04,15,False
2018-03-11,0,False
2018-03-18,15,False
2018-03-25,32,False
2018-04-01,16,False
2018-04-08,11,False
2018-04-15,19,False
2018-04-22,7,False
2018-04-29,31,False
2018-05-06,16,False
2018-05-13,26,False
2018-05-20,100,False
2018-05-27,15,False
2018-06-03,23,False
2018-06-10,33,False
2018-06-17,7,False
2018-06-24,8,False
2018-07-01,22,False
2018-07-08,25,False
2018-07-15,19,False
2018-07-22,20,False
2018-07-29,20,False
2018-08-05,20,False
2018-08-12,24,False
2018-08-19,15,False
2018-08-26,23,False
2018-09-02,38,False
2018-09-09,11,False
2018-09-16,23,False
2018-09-23,23,False
2018-09-30,16,False
2018-10-07,8,False
2018-10-14,35,False
2018-10-21,11,False
2018-10-28,0,False
2018-11-04,15,False
2018-11-11,0,False
2018-11-18,7,False
2018-11-25,7,False
2018-12-02,7,False
2018-12-09,7,False
2018-12-16,11,False
2018-12-23,21,False
2018-12-30,19,False
2019-01-06,25,False
2019-01-13,24,False
2019-01-20,14,False
2019-01-27,21,False
2019-02-03,10,False
2019-02-10,11,False
2019-02-17,36,False
2019-02-24,26,False
2019-03-03,21,False
2019-03-10,7,False
2019-03-17,22,False
2019-03-24,18,False
2019-03-31,28,False
2019-04-07,22,False
2019-04-14,24,False
2019-04-21,38,False
2019-04-28,15,False
2019-05-05,18,False
2019-05-12,15,False
2019-05-19,14,False
2019-05-26,26,False
2019-06-02,14,False
2019-06-09,7,False
2019-06-16,33,False
2019-06-23,22,False
2019-06-30,43,False
2019-07-07,32,False
2019-07-14,19,False
2019-07-21,8,False
2019-07-28,16,False
2019-08-04,32,False
2019-08-11,15,False
2019-08-18,30,False
2019-08-25,18,False
2019-09-01,14,False
2019-09-08,14,False
2019-09-15,36,False
2019-09-22,14,False
2019-09-29,28,False
2019-10-06,24,False
2019-10-13,14,False
2019-10-20,7,False
2019-10-27,17,False
2019-11-03,17,False
2019-11-10,20,False
2019-11-17,7,False
2019-11-24,16,False
2019-12-01,13,False
2019-12-08,27,False
2019-12-15,13,False
2019-12-22,23,False
2019-12-29,15,False
2020-01-05,26,False
2020-01-12,6,False
2020-01-19,19,False
2020-01-26,19,False
2020-02-02,6,False
2020-02-09,15,False
2020-02-16,32,False
2020-02-23,28,False
2020-03-01,22,False
2020-03-08,0,False
2020-03-15,6,False
2020-03-22,12,False
2020-03-29,6,False
2020-04-05,9,False
2020-04-12,0,True
