date,Hochzeitsfotos,isPartial
2018-01-07,8,False
2018-01-14,12,False
2018-01-21,12,False
2018-01-28,8,False
2018-02-04,21,False
2018-02-11,13,False
2018-02-18,13,False
2018-02-25,8,False
2018-03-04,17,False
2018-03-11,8,False
2018-03-18,26,False
2018-03-25,9,False
2018-04-01,14,False
2018-04-08,17,False
2018-04-15,18,False
2018-04-22,17,False
2018-04-29,9,False
2018-05-06,18,False
2018-05-13,46,False
2018-05-20,100,False
2018-05-27,18,False
2018-06-03,34,False
2018-06-10,20,False
2018-06-17,29,False
2018-06-24,8,False
2018-07-01,16,False
2018-07-08,8,False
2018-07-15,12,False
2018-07-22,12,False
2018-07-29,17,False
2018-08-05,22,False
2018-08-12,14,False
2018-08-19,9,False
2018-08-26,9,False
2018-09-02,9,False
2018-09-09,17,False
2018-09-16,17,False
2018-09-23,0,False
2018-09-30,26,False
2018-10-07,8,False
2018-10-14,17,False
2018-10-21,12,False
2018-10-28,13,False
2018-11-04,16,False
2018-11-11,8,False
2018-11-18,8,False
2018-11-25,33,False
2018-12-02,16,False
2018-12-09,8,False
2018-12-16,8,False
2018-12-23,30,False
2018-12-30,13,False
2019-01-06,8,False
2019-01-13,8,False
2019-01-20,11,False
2019-01-27,8,False
2019-02-03,12,False
2019-02-10,23,False
2019-02-17,12,False
2019-02-24,28,False
2019-03-03,8,False
2019-03-10,8,False
2019-03-17,25,False
2019-03-24,25,False
2019-03-31,8,False
2019-04-07,40,False
2019-04-14,9,False
2019-04-21,26,False
2019-04-28,8,False
2019-05-05,23,False
2019-05-12,32,False
2019-05-19,16,False
2019-05-26,8,False
2019-06-02,24,False
2019-06-09,38,False
2019-06-16,13,False
2019-06-23,16,False
2019-06-30,12,False
2019-07-07,31,False
2019-07-14,24,False
2019-07-21,16,False
2019-07-28,16,False
2019-08-04,13,False
2019-08-11,13,False
2019-08-18,22,False
2019-08-25,9,False
2019-09-01,8,False
2019-09-08,16,False
2019-09-15,24,False
2019-09-22,19,False
2019-09-29,16,False
2019-10-06,11,False
2019-10-13,8,False
2019-10-20,11,False
2019-10-27,8,False
2019-11-03,0,False
2019-11-10,15,False
2019-11-17,11,False
2019-11-24,7,False
2019-12-01,15,False
2019-12-08,8,False
2019-12-15,8,False
2019-12-22,18,False
2019-12-29,8,False
2020-01-05,7,False
2020-01-12,7,False
2020-01-19,11,False
2020-01-26,14,False
2020-02-02,7,False
2020-02-09,7,False
2020-02-16,15,False
2020-02-23,14,False
2020-03-01,28,False
2020-03-08,17,False
2020-03-15,13,False
2020-03-22,10,False
2020-03-29,16,False
2020-04-05,22,False
2020-04-12,0,True
