date,Hochzeitsfotos,isPartial
2018-01-07,7,False
2018-01-14,9,False
2018-01-21,10,False
2018-01-28,16,False
2018-02-04,16,False
2018-02-11,13,False
2018-02-18,13,False
2018-02-25,14,False
2018-03-04,11,False
2018-03-11,11,False
2018-03-18,11,False
2018-03-25,15,False
2018-04-01,21,False
2018-04-08,13,False
2018-04-15,17,False
2018-04-22,20,False
2018-04-29,17,False
2018-05-06,14,False
2018-05-13,23,False
2018-05-20,100,False
2018-05-27,18,False
2018-06-03,15,False
2018-06-10,18,False
2018-06-17,17,False
2018-06-24,13,False
2018-07-01,10,False
2018-07-08,17,False
2018-07-15,19,False
2018-07-22,15,False
2018-07-29,19,False
2018-08-05,20,False
2018-08-12,21,False
2018-08-19,16,False
2018-08-26,12,False
2018-09-02,13,False
2018-09-09,13,False
2018-09-16,21,False
2018-09-23,11,False
2018-09-30,17,False
2018-10-07,12,False
2018-10-14,16,False
2018-10-21,12,False
2018-10-28,13,False
2018-11-04,6,False
2018-11-11,9,False
2018-11-18,10,False
2018-11-25,7,False
2018-12-02,9,False
2018-12-09,10,False
2018-12-16,14,False
2018-12-23,17,False
2018-12-30,18,False
2019-01-06,21,False
2019-01-13,12,False
2019-01-20,11,False
2019-01-27,14,False
2019-02-03,21,False
2019-02-10,16,False
2019-02-17,16,False
2019-02-24,20,False
2019-03-03,12,False
2019-03-10,20,False
2019-03-17,23,False
2019-03-24,17,False
2019-03-31,14,False
2019-04-07,22,False
2019-04-14,18,False
2019-04-21,16,False
2019-04-28,12,False
2019-05-05,23,False
2019-05-12,22,False
2019-05-19,24,False
2019-05-26,17,False
2019-06-02,16,False
2019-06-09,23,False
2019-06-16,21,False
2019-06-23,20,False
2019-06-30,22,False
2019-07-07,17,False
2019-07-14,22,False
2019-07-21,12,False
2019-07-28,12,False
2019-08-04,19,False
2019-08-11,22,False
2019-08-18,17,False
2019-08-25,17,False
2019-09-01,22,False
2019-09-08,24,False
2019-09-15,17,False
2019-09-22,15,False
2019-09-29,28,False
2019-10-06,14,False
2019-10-13,15,False
2019-10-20,5,False
2019-10-27,10,False
2019-11-03,13,False
2019-11-10,15,False
2019-11-17,8,False
2019-11-24,12,False
2019-12-01,7,False
2019-12-08,8,False
2019-12-15,7,False
2019-12-22,14,False
2019-12-29,17,False
2020-01-05,7,False
2020-01-12,9,False
2020-01-19,7,False
2020-01-26,13,False
2020-02-02,10,False
2020-02-09,13,False
2020-02-16,8,False
2020-02-23,14,False
2020-03-01,18,False
2020-03-08,9,False
2020-03-15,8,False
2020-03-22,7,False
2020-03-29,6,False
2020-04-05,11,False
2020-04-12,11,True
