date,Rollgerüst mieten,isPartial
2018-01-07,44,False
2018-01-14,58,False
2018-01-21,44,False
2018-01-28,29,False
2018-02-04,30,False
2018-02-11,30,False
2018-02-18,49,False
2018-02-25,44,False
2018-03-04,29,False
2018-03-11,29,False
2018-03-18,29,False
2018-03-25,62,False
2018-04-01,32,False
2018-04-08,30,False
2018-04-15,51,False
2018-04-22,50,False
2018-04-29,77,False
2018-05-06,47,False
2018-05-13,44,False
2018-05-20,52,False
2018-05-27,40,False
2018-06-03,30,False
2018-06-10,58,False
2018-06-17,29,False
2018-06-24,30,False
2018-07-01,30,False
2018-07-08,74,False
2018-07-15,46,False
2018-07-22,91,False
2018-07-29,46,False
2018-08-05,30,False
2018-08-12,62,False
2018-08-19,31,False
2018-08-26,46,False
2018-09-02,45,False
2018-09-09,45,False
2018-09-16,59,False
2018-09-23,75,False
2018-09-30,45,False
2018-10-07,30,False
2018-10-14,0,False
2018-10-21,58,False
2018-10-28,58,False
2018-11-04,42,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,29,False
2018-12-09,29,False
2018-12-16,30,False
2018-12-23,67,False
2018-12-30,46,False
2019-01-06,27,False
2019-01-13,27,False
2019-01-20,27,False
2019-01-27,45,False
2019-02-03,41,False
2019-02-10,28,False
2019-02-17,42,False
2019-02-24,29,False
2019-03-03,28,False
2019-03-10,54,False
2019-03-17,29,False
2019-03-24,29,False
2019-03-31,47,False
2019-04-07,47,False
2019-04-14,77,False
2019-04-21,60,False
2019-04-28,56,False
2019-05-05,27,False
2019-05-12,28,False
2019-05-19,42,False
2019-05-26,29,False
2019-06-02,56,False
2019-06-09,57,False
2019-06-16,29,False
2019-06-23,29,False
2019-06-30,42,False
2019-07-07,28,False
2019-07-14,29,False
2019-07-21,46,False
2019-07-28,30,False
2019-08-04,60,False
2019-08-11,100,False
2019-08-18,58,False
2019-08-25,38,False
2019-09-01,46,False
2019-09-08,37,False
2019-09-15,28,False
2019-09-22,36,False
2019-09-29,55,False
2019-10-06,41,False
2019-10-13,63,False
2019-10-20,27,False
2019-10-27,26,False
2019-11-03,38,False
2019-11-10,26,False
2019-11-17,51,False
2019-11-24,34,False
2019-12-01,26,False
2019-12-08,26,False
2019-12-15,0,False
2019-12-22,31,False
2019-12-29,28,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,38,False
2020-01-26,50,False
2020-02-02,49,False
2020-02-09,49,False
2020-02-16,25,False
2020-02-23,25,False
2020-03-01,49,False
2020-03-08,23,False
2020-03-15,34,False
2020-03-22,22,False
2020-03-29,34,False
2020-04-05,61,False
2020-04-12,23,False
2020-04-19,61,False
2020-04-26,52,False
2020-05-03,68,False
2020-05-10,45,False
