date,fiorista,isPartial
2018-01-07,38,False
2018-01-14,19,False
2018-01-21,36,False
2018-01-28,9,False
2018-02-04,27,False
2018-02-11,57,False
2018-02-18,19,False
2018-02-25,28,False
2018-03-04,47,False
2018-03-11,19,False
2018-03-18,39,False
2018-03-25,20,False
2018-04-01,72,False
2018-04-08,19,False
2018-04-15,20,False
2018-04-22,31,False
2018-04-29,10,False
2018-05-06,19,False
2018-05-13,49,False
2018-05-20,20,False
2018-05-27,10,False
2018-06-03,20,False
2018-06-10,19,False
2018-06-17,31,False
2018-06-24,22,False
2018-07-01,11,False
2018-07-08,11,False
2018-07-15,11,False
2018-07-22,11,False
2018-07-29,24,False
2018-08-05,25,False
2018-08-12,43,False
2018-08-19,13,False
2018-08-26,45,False
2018-09-02,21,False
2018-09-09,0,False
2018-09-16,20,False
2018-09-23,10,False
2018-09-30,10,False
2018-10-07,21,False
2018-10-14,21,False
2018-10-21,42,False
2018-10-28,0,False
2018-11-04,39,False
2018-11-11,30,False
2018-11-18,29,False
2018-11-25,10,False
2018-12-02,40,False
2018-12-09,40,False
2018-12-16,42,False
2018-12-23,70,False
2018-12-30,11,False
2019-01-06,19,False
2019-01-13,9,False
2019-01-20,18,False
2019-01-27,27,False
2019-02-03,27,False
2019-02-10,100,False
2019-02-17,46,False
2019-02-24,29,False
2019-03-03,29,False
2019-03-10,38,False
2019-03-17,10,False
2019-03-24,9,False
2019-03-31,37,False
2019-04-07,37,False
2019-04-14,67,False
2019-04-21,42,False
2019-04-28,19,False
2019-05-05,47,False
2019-05-12,74,False
2019-05-19,9,False
2019-05-26,27,False
2019-06-02,37,False
2019-06-09,9,False
2019-06-16,37,False
2019-06-23,29,False
2019-06-30,48,False
2019-07-07,39,False
2019-07-14,58,False
2019-07-21,20,False
2019-07-28,42,False
2019-08-04,22,False
2019-08-11,74,False
2019-08-18,44,False
2019-08-25,29,False
2019-09-01,62,False
2019-09-08,18,False
2019-09-15,18,False
2019-09-22,9,False
2019-09-29,18,False
2019-10-06,45,False
2019-10-13,9,False
2019-10-20,34,False
2019-10-27,17,False
2019-11-03,9,False
2019-11-10,43,False
2019-11-17,8,False
2019-11-24,17,False
2019-12-01,61,False
2019-12-08,9,False
2019-12-15,52,False
2019-12-22,40,False
2019-12-29,10,False
2020-01-05,8,False
2020-01-12,15,False
2020-01-19,24,False
2020-01-26,24,False
2020-02-02,39,False
2020-02-09,40,False
2020-02-16,24,False
2020-02-23,0,False
2020-03-01,52,False
2020-03-08,7,False
2020-03-15,7,False
2020-03-22,27,False
2020-03-29,42,False
2020-04-05,80,False
2020-04-12,37,False
2020-04-19,35,False
2020-04-26,47,True
