date,fiorista,isPartial
2018-01-07,23,False
2018-01-14,46,False
2018-01-21,0,False
2018-01-28,22,False
2018-02-04,22,False
2018-02-11,66,False
2018-02-18,0,False
2018-02-25,42,False
2018-03-04,44,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,22,False
2018-04-01,23,False
2018-04-08,0,False
2018-04-15,46,False
2018-04-22,23,False
2018-04-29,43,False
2018-05-06,22,False
2018-05-13,66,False
2018-05-20,89,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,42,False
2018-06-17,88,False
2018-06-24,0,False
2018-07-01,63,False
2018-07-08,21,False
2018-07-15,20,False
2018-07-22,0,False
2018-07-29,21,False
2018-08-05,20,False
2018-08-12,20,False
2018-08-19,21,False
2018-08-26,42,False
2018-09-02,22,False
2018-09-09,0,False
2018-09-16,44,False
2018-09-23,0,False
2018-09-30,66,False
2018-10-07,22,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,21,False
2018-11-04,21,False
2018-11-11,23,False
2018-11-18,23,False
2018-11-25,46,False
2018-12-02,23,False
2018-12-09,24,False
2018-12-16,0,False
2018-12-23,26,False
2018-12-30,0,False
2019-01-06,69,False
2019-01-13,22,False
2019-01-20,0,False
2019-01-27,20,False
2019-02-03,42,False
2019-02-10,21,False
2019-02-17,22,False
2019-02-24,0,False
2019-03-03,21,False
2019-03-10,42,False
2019-03-17,43,False
2019-03-24,22,False
2019-03-31,21,False
2019-04-07,0,False
2019-04-14,21,False
2019-04-21,19,False
2019-04-28,20,False
2019-05-05,100,False
2019-05-12,21,False
2019-05-19,60,False
2019-05-26,0,False
2019-06-02,64,False
2019-06-09,40,False
2019-06-16,20,False
2019-06-23,41,False
2019-06-30,81,False
2019-07-07,19,False
2019-07-14,19,False
2019-07-21,20,False
2019-07-28,20,False
2019-08-04,19,False
2019-08-11,0,False
2019-08-18,74,False
2019-08-25,19,False
2019-09-01,0,False
2019-09-08,20,False
2019-09-15,0,False
2019-09-22,57,False
2019-09-29,39,False
2019-10-06,59,False
2019-10-13,38,False
2019-10-20,36,False
2019-10-27,0,False
2019-11-03,37,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,19,False
2019-12-01,39,False
2019-12-08,20,False
2019-12-15,20,False
2019-12-22,71,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,37,False
2020-01-19,20,False
2020-01-26,38,False
2020-02-02,38,False
2020-02-09,97,False
2020-02-16,57,False
2020-02-23,0,False
2020-03-01,36,False
2020-03-08,17,False
2020-03-15,0,False
2020-03-22,16,False
2020-03-29,0,False
2020-04-05,85,False
2020-04-12,35,False
2020-04-19,81,False
2020-04-26,84,True
