date,math exercice,isPartial
2018-01-07,30,False
2018-01-14,67,False
2018-01-21,39,False
2018-01-28,29,False
2018-02-04,100,False
2018-02-11,20,False
2018-02-18,51,False
2018-02-25,40,False
2018-03-04,49,False
2018-03-11,40,False
2018-03-18,30,False
2018-03-25,59,False
2018-04-01,42,False
2018-04-08,41,False
2018-04-15,32,False
2018-04-22,49,False
2018-04-29,38,False
2018-05-06,98,False
2018-05-13,40,False
2018-05-20,0,False
2018-05-27,38,False
2018-06-03,19,False
2018-06-10,27,False
2018-06-17,20,False
2018-06-24,19,False
2018-07-01,37,False
2018-07-08,19,False
2018-07-15,19,False
2018-07-22,0,False
2018-07-29,19,False
2018-08-05,18,False
2018-08-12,18,False
2018-08-19,38,False
2018-08-26,19,False
2018-09-02,19,False
2018-09-09,19,False
2018-09-16,87,False
2018-09-23,39,False
2018-09-30,20,False
2018-10-07,51,False
2018-10-14,71,False
2018-10-21,0,False
2018-10-28,69,False
2018-11-04,48,False
2018-11-11,20,False
2018-11-18,48,False
2018-11-25,39,False
2018-12-02,59,False
2018-12-09,20,False
2018-12-16,60,False
2018-12-23,23,False
2018-12-30,21,False
2019-01-06,29,False
2019-01-13,48,False
2019-01-20,57,False
2019-01-27,93,False
2019-02-03,58,False
2019-02-10,42,False
2019-02-17,21,False
2019-02-24,55,False
2019-03-03,60,False
2019-03-10,39,False
2019-03-17,41,False
2019-03-24,0,False
2019-03-31,43,False
2019-04-07,51,False
2019-04-14,0,False
2019-04-21,26,False
2019-04-28,41,False
2019-05-05,41,False
2019-05-12,50,False
2019-05-19,41,False
2019-05-26,34,False
2019-06-02,31,False
2019-06-09,24,False
2019-06-16,33,False
2019-06-23,17,False
2019-06-30,39,False
2019-07-07,15,False
2019-07-14,16,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,16,False
2019-08-11,16,False
2019-08-18,17,False
2019-08-25,24,False
2019-09-01,16,False
2019-09-08,24,False
2019-09-15,45,False
2019-09-22,52,False
2019-09-29,74,False
2019-10-06,32,False
2019-10-13,48,False
2019-10-20,24,False
2019-10-27,39,False
2019-11-03,37,False
2019-11-10,15,False
2019-11-17,49,False
2019-11-24,16,False
2019-12-01,65,False
2019-12-08,23,False
2019-12-15,79,False
2019-12-22,17,False
2019-12-29,41,False
2020-01-05,38,False
2020-01-12,15,False
2020-01-19,15,False
2020-01-26,45,False
2020-02-02,46,False
2020-02-09,45,False
2020-02-16,45,False
2020-02-23,30,False
2020-03-01,44,False
2020-03-08,36,False
2020-03-15,75,False
2020-03-22,54,False
2020-03-29,47,False
2020-04-05,60,False
2020-04-12,46,False
2020-04-19,33,False
2020-04-26,25,False
2020-05-03,46,False
2020-05-10,47,False
2020-05-17,34,True
