date,math exercice,isPartial
2018-01-07,67,False
2018-01-14,33,False
2018-01-21,33,False
2018-01-28,66,False
2018-02-04,49,False
2018-02-11,67,False
2018-02-18,34,False
2018-02-25,34,False
2018-03-04,0,False
2018-03-11,100,False
2018-03-18,45,False
2018-03-25,45,False
2018-04-01,33,False
2018-04-08,33,False
2018-04-15,35,False
2018-04-22,33,False
2018-04-29,0,False
2018-05-06,34,False
2018-05-13,35,False
2018-05-20,69,False
2018-05-27,33,False
2018-06-03,99,False
2018-06-10,48,False
2018-06-17,68,False
2018-06-24,34,False
2018-07-01,66,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,33,False
2018-08-12,33,False
2018-08-19,51,False
2018-08-26,34,False
2018-09-02,0,False
2018-09-09,34,False
2018-09-16,45,False
2018-09-23,35,False
2018-09-30,51,False
2018-10-07,70,False
2018-10-14,36,False
2018-10-21,35,False
2018-10-28,33,False
2018-11-04,33,False
2018-11-11,46,False
2018-11-18,33,False
2018-11-25,33,False
2018-12-02,34,False
2018-12-09,34,False
2018-12-16,53,False
2018-12-23,0,False
2018-12-30,35,False
2019-01-06,34,False
2019-01-13,67,False
2019-01-20,33,False
2019-01-27,48,False
2019-02-03,67,False
2019-02-10,35,False
2019-02-17,35,False
2019-02-24,50,False
2019-03-03,65,False
2019-03-10,34,False
2019-03-17,34,False
2019-03-24,59,False
2019-03-31,35,False
2019-04-07,0,False
2019-04-14,47,False
2019-04-21,65,False
2019-04-28,32,False
2019-05-05,32,False
2019-05-12,34,False
2019-05-19,33,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,31,False
2019-06-16,33,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,32,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,32,False
2019-09-15,96,False
2019-09-22,30,False
2019-09-29,91,False
2019-10-06,41,False
2019-10-13,0,False
2019-10-20,30,False
2019-10-27,47,False
2019-11-03,30,False
2019-11-10,29,False
2019-11-17,0,False
2019-11-24,29,False
2019-12-01,31,False
2019-12-08,30,False
2019-12-15,30,False
2019-12-22,31,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,47,False
2020-01-19,60,False
2020-01-26,43,False
2020-02-02,29,False
2020-02-09,85,False
2020-02-16,29,False
2020-02-23,28,False
2020-03-01,28,False
2020-03-08,81,False
2020-03-15,48,False
2020-03-22,36,False
2020-03-29,24,False
2020-04-05,47,False
2020-04-12,41,False
2020-04-19,24,False
2020-04-26,22,False
2020-05-03,45,False
2020-05-10,25,False
2020-05-17,61,True
