date,Fenster streichen,isPartial
2018-01-07,0,False
2018-01-14,33,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,34,False
2018-02-11,0,False
2018-02-18,51,False
2018-02-25,34,False
2018-03-04,34,False
2018-03-11,34,False
2018-03-18,35,False
2018-03-25,55,False
2018-04-01,37,False
2018-04-08,35,False
2018-04-15,35,False
2018-04-22,52,False
2018-04-29,0,False
2018-05-06,36,False
2018-05-13,67,False
2018-05-20,36,False
2018-05-27,36,False
2018-06-03,34,False
2018-06-10,49,False
2018-06-17,0,False
2018-06-24,33,False
2018-07-01,65,False
2018-07-08,33,False
2018-07-15,98,False
2018-07-22,49,False
2018-07-29,34,False
2018-08-05,35,False
2018-08-12,37,False
2018-08-19,37,False
2018-08-26,36,False
2018-09-02,35,False
2018-09-09,34,False
2018-09-16,34,False
2018-09-23,69,False
2018-09-30,34,False
2018-10-07,33,False
2018-10-14,33,False
2018-10-21,100,False
2018-10-28,34,False
2018-11-04,64,False
2018-11-11,33,False
2018-11-18,63,False
2018-11-25,32,False
2018-12-02,32,False
2018-12-09,33,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,31,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,31,False
2019-02-03,31,False
2019-02-10,0,False
2019-02-17,32,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,31,False
2019-03-17,33,False
2019-03-24,33,False
2019-03-31,33,False
2019-04-07,64,False
2019-04-14,36,False
2019-04-21,69,False
2019-04-28,32,False
2019-05-05,31,False
2019-05-12,32,False
2019-05-19,47,False
2019-05-26,55,False
2019-06-02,65,False
2019-06-09,51,False
2019-06-16,84,False
2019-06-23,66,False
2019-06-30,32,False
2019-07-07,61,False
2019-07-14,64,False
2019-07-21,33,False
2019-07-28,33,False
2019-08-04,45,False
2019-08-11,34,False
2019-08-18,53,False
2019-08-25,68,False
2019-09-01,48,False
2019-09-08,53,False
2019-09-15,32,False
2019-09-22,0,False
2019-09-29,42,False
2019-10-06,30,False
2019-10-13,31,False
2019-10-20,46,False
2019-10-27,61,False
2019-11-03,59,False
2019-11-10,30,False
2019-11-17,30,False
2019-11-24,44,False
2019-12-01,31,False
2019-12-08,61,False
2019-12-15,62,False
2019-12-22,0,False
2019-12-29,33,False
2020-01-05,29,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,29,False
2020-02-09,69,False
2020-02-16,0,False
2020-02-23,29,False
2020-03-01,28,False
2020-03-08,0,False
2020-03-15,26,False
2020-03-22,35,False
2020-03-29,60,False
2020-04-05,67,False
2020-04-12,54,False
2020-04-19,66,False
2020-04-26,39,False
2020-05-03,44,False
2020-05-10,62,False
