date,Fenster streichen,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,24,False
2018-01-28,48,False
2018-02-04,38,False
2018-02-11,25,False
2018-02-18,24,False
2018-02-25,49,False
2018-03-04,0,False
2018-03-11,41,False
2018-03-18,37,False
2018-03-25,39,False
2018-04-01,26,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,24,False
2018-04-29,38,False
2018-05-06,51,False
2018-05-13,24,False
2018-05-20,26,False
2018-05-27,24,False
2018-06-03,24,False
2018-06-10,0,False
2018-06-17,59,False
2018-06-24,25,False
2018-07-01,36,False
2018-07-08,24,False
2018-07-15,51,False
2018-07-22,34,False
2018-07-29,26,False
2018-08-05,26,False
2018-08-12,34,False
2018-08-19,0,False
2018-08-26,50,False
2018-09-02,37,False
2018-09-09,75,False
2018-09-16,50,False
2018-09-23,50,False
2018-09-30,25,False
2018-10-07,25,False
2018-10-14,34,False
2018-10-21,100,False
2018-10-28,24,False
2018-11-04,23,False
2018-11-11,24,False
2018-11-18,31,False
2018-11-25,24,False
2018-12-02,23,False
2018-12-09,47,False
2018-12-16,36,False
2018-12-23,28,False
2018-12-30,25,False
2019-01-06,30,False
2019-01-13,44,False
2019-01-20,22,False
2019-01-27,0,False
2019-02-03,23,False
2019-02-10,70,False
2019-02-17,23,False
2019-02-24,32,False
2019-03-03,23,False
2019-03-10,67,False
2019-03-17,24,False
2019-03-24,36,False
2019-03-31,23,False
2019-04-07,47,False
2019-04-14,38,False
2019-04-21,0,False
2019-04-28,35,False
2019-05-05,23,False
2019-05-12,24,False
2019-05-19,23,False
2019-05-26,24,False
2019-06-02,23,False
2019-06-09,24,False
2019-06-16,36,False
2019-06-23,24,False
2019-06-30,47,False
2019-07-07,23,False
2019-07-14,24,False
2019-07-21,0,False
2019-07-28,25,False
2019-08-04,39,False
2019-08-11,49,False
2019-08-18,24,False
2019-08-25,23,False
2019-09-01,23,False
2019-09-08,0,False
2019-09-15,47,False
2019-09-22,46,False
2019-09-29,38,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,23,False
2019-10-27,22,False
2019-11-03,21,False
2019-11-10,22,False
2019-11-17,32,False
2019-11-24,21,False
2019-12-01,32,False
2019-12-08,43,False
2019-12-15,0,False
2019-12-22,25,False
2019-12-29,24,False
2020-01-05,21,False
2020-01-12,20,False
2020-01-19,42,False
2020-01-26,31,False
2020-02-02,41,False
2020-02-09,33,False
2020-02-16,21,False
2020-02-23,20,False
2020-03-01,20,False
2020-03-08,19,False
2020-03-15,19,False
2020-03-22,37,False
2020-03-29,49,False
2020-04-05,71,False
2020-04-12,39,False
2020-04-19,25,False
2020-04-26,61,False
2020-05-03,28,False
2020-05-10,19,False
