date,Abflussrohr verlegen,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,95,False
2018-01-28,32,False
2018-02-04,0,False
2018-02-11,0,False
2018-02-18,33,False
2018-02-25,0,False
2018-03-04,65,False
2018-03-11,0,False
2018-03-18,32,False
2018-03-25,0,False
2018-04-01,34,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,34,False
2018-05-13,32,False
2018-05-20,35,False
2018-05-27,0,False
2018-06-03,33,False
2018-06-10,47,False
2018-06-17,0,False
2018-06-24,33,False
2018-07-01,32,False
2018-07-08,32,False
2018-07-15,34,False
2018-07-22,100,False
2018-07-29,33,False
2018-08-05,33,False
2018-08-12,34,False
2018-08-19,34,False
2018-08-26,33,False
2018-09-02,66,False
2018-09-09,0,False
2018-09-16,65,False
2018-09-23,32,False
2018-09-30,33,False
2018-10-07,0,False
2018-10-14,49,False
2018-10-21,32,False
2018-10-28,31,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,30,False
2018-11-25,32,False
2018-12-02,0,False
2018-12-09,31,False
2018-12-16,32,False
2018-12-23,37,False
2018-12-30,50,False
2019-01-06,45,False
2019-01-13,0,False
2019-01-20,29,False
2019-01-27,44,False
2019-02-03,60,False
2019-02-10,30,False
2019-02-17,46,False
2019-02-24,0,False
2019-03-03,30,False
2019-03-10,30,False
2019-03-17,0,False
2019-03-24,62,False
2019-03-31,31,False
2019-04-07,30,False
2019-04-14,34,False
2019-04-21,33,False
2019-04-28,0,False
2019-05-05,30,False
2019-05-12,46,False
2019-05-19,0,False
2019-05-26,63,False
2019-06-02,0,False
2019-06-09,0,False
2019-06-16,31,False
2019-06-23,31,False
2019-06-30,41,False
2019-07-07,30,False
2019-07-14,0,False
2019-07-21,34,False
2019-07-28,32,False
2019-08-04,33,False
2019-08-11,31,False
2019-08-18,0,False
2019-08-25,31,False
2019-09-01,60,False
2019-09-08,31,False
2019-09-15,31,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,59,False
2019-10-13,30,False
2019-10-20,59,False
2019-10-27,29,False
2019-11-03,28,False
2019-11-10,28,False
2019-11-17,0,False
2019-11-24,28,False
2019-12-01,28,False
2019-12-08,57,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,62,False
2020-01-05,28,False
2020-01-12,26,False
2020-01-19,55,False
2020-01-26,27,False
2020-02-02,41,False
2020-02-09,53,False
2020-02-16,28,False
2020-02-23,40,False
2020-03-01,27,False
2020-03-08,25,False
2020-03-15,25,False
2020-03-22,48,False
2020-03-29,36,False
2020-04-05,40,False
2020-04-12,39,False
2020-04-19,50,False
2020-04-26,36,False
2020-05-03,49,False
2020-05-10,25,False
