date,Rollrasen,isPartial
2018-01-07,10,False
2018-01-14,5,False
2018-01-21,8,False
2018-01-28,5,False
2018-02-04,5,False
2018-02-11,5,False
2018-02-18,15,False
2018-02-25,15,False
2018-03-04,5,False
2018-03-11,28,False
2018-03-18,13,False
2018-03-25,22,False
2018-04-01,28,False
2018-04-08,58,False
2018-04-15,33,False
2018-04-22,55,False
2018-04-29,74,False
2018-05-06,50,False
2018-05-13,32,False
2018-05-20,39,False
2018-05-27,42,False
2018-06-03,29,False
2018-06-10,39,False
2018-06-17,26,False
2018-06-24,29,False
2018-07-01,21,False
2018-07-08,35,False
2018-07-15,28,False
2018-07-22,47,False
2018-07-29,20,False
2018-08-05,27,False
2018-08-12,14,False
2018-08-19,19,False
2018-08-26,16,False
2018-09-02,27,False
2018-09-09,13,False
2018-09-16,13,False
2018-09-23,11,False
2018-09-30,16,False
2018-10-07,16,False
2018-10-14,5,False
2018-10-21,14,False
2018-10-28,11,False
2018-11-04,5,False
2018-11-11,0,False
2018-11-18,5,False
2018-11-25,10,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,5,False
2019-01-13,5,False
2019-01-20,5,False
2019-01-27,5,False
2019-02-03,0,False
2019-02-10,7,False
2019-02-17,24,False
2019-02-24,24,False
2019-03-03,32,False
2019-03-10,29,False
2019-03-17,63,False
2019-03-24,45,False
2019-03-31,64,False
2019-04-07,61,False
2019-04-14,66,False
2019-04-21,43,False
2019-04-28,41,False
2019-05-05,42,False
2019-05-12,20,False
2019-05-19,25,False
2019-05-26,35,False
2019-06-02,41,False
2019-06-09,47,False
2019-06-16,54,False
2019-06-23,34,False
2019-06-30,34,False
2019-07-07,33,False
2019-07-14,35,False
2019-07-21,25,False
2019-07-28,26,False
2019-08-04,24,False
2019-08-11,24,False
2019-08-18,15,False
2019-08-25,30,False
2019-09-01,12,False
2019-09-08,20,False
2019-09-15,22,False
2019-09-22,29,False
2019-09-29,14,False
2019-10-06,5,False
2019-10-13,10,False
2019-10-20,14,False
2019-10-27,12,False
2019-11-03,5,False
2019-11-10,5,False
2019-11-17,9,False
2019-11-24,9,False
2019-12-01,9,False
2019-12-08,5,False
2019-12-15,5,False
2019-12-22,5,False
2019-12-29,0,False
2020-01-05,9,False
2020-01-12,4,False
2020-01-19,7,False
2020-01-26,4,False
2020-02-02,4,False
2020-02-09,11,False
2020-02-16,11,False
2020-02-23,16,False
2020-03-01,27,False
2020-03-08,18,False
2020-03-15,39,False
2020-03-22,24,False
2020-03-29,57,False
2020-04-05,54,False
2020-04-12,71,False
2020-04-19,100,False
2020-04-26,67,False
2020-05-03,62,False
2020-05-10,57,False
2020-05-17,86,False
2020-05-24,42,False
2020-05-31,73,False
2020-06-07,34,False
2020-06-14,29,False
2020-06-21,32,False
2020-06-28,28,False
2020-07-05,20,False
