date,Rollrasen,isPartial
2018-01-07,13,False
2018-01-14,13,False
2018-01-21,13,False
2018-01-28,14,False
2018-02-04,0,False
2018-02-11,27,False
2018-02-18,14,False
2018-02-25,14,False
2018-03-04,20,False
2018-03-11,13,False
2018-03-18,13,False
2018-03-25,29,False
2018-04-01,75,False
2018-04-08,20,False
2018-04-15,33,False
2018-04-22,59,False
2018-04-29,78,False
2018-05-06,65,False
2018-05-13,41,False
2018-05-20,29,False
2018-05-27,14,False
2018-06-03,21,False
2018-06-10,33,False
2018-06-17,40,False
2018-06-24,27,False
2018-07-01,15,False
2018-07-08,29,False
2018-07-15,0,False
2018-07-22,15,False
2018-07-29,48,False
2018-08-05,16,False
2018-08-12,16,False
2018-08-19,15,False
2018-08-26,22,False
2018-09-02,14,False
2018-09-09,28,False
2018-09-16,35,False
2018-09-23,14,False
2018-09-30,13,False
2018-10-07,32,False
2018-10-14,26,False
2018-10-21,26,False
2018-10-28,41,False
2018-11-04,0,False
2018-11-11,13,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,16,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,0,False
2019-02-10,40,False
2019-02-17,33,False
2019-02-24,26,False
2019-03-03,39,False
2019-03-10,26,False
2019-03-17,34,False
2019-03-24,54,False
2019-03-31,34,False
2019-04-07,47,False
2019-04-14,96,False
2019-04-21,51,False
2019-04-28,27,False
2019-05-05,26,False
2019-05-12,26,False
2019-05-19,13,False
2019-05-26,20,False
2019-06-02,48,False
2019-06-09,36,False
2019-06-16,70,False
2019-06-23,28,False
2019-06-30,36,False
2019-07-07,22,False
2019-07-14,30,False
2019-07-21,55,False
2019-07-28,0,False
2019-08-04,16,False
2019-08-11,40,False
2019-08-18,15,False
2019-08-25,43,False
2019-09-01,13,False
2019-09-08,14,False
2019-09-15,13,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,12,False
2019-10-13,12,False
2019-10-20,12,False
2019-10-27,25,False
2019-11-03,24,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,23,False
2019-12-01,12,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,16,False
2020-01-05,14,False
2020-01-12,12,False
2020-01-19,12,False
2020-01-26,23,False
2020-02-02,12,False
2020-02-09,12,False
2020-02-16,18,False
2020-02-23,22,False
2020-03-01,33,False
2020-03-08,49,False
2020-03-15,11,False
2020-03-22,18,False
2020-03-29,37,False
2020-04-05,60,False
2020-04-12,97,False
2020-04-19,100,False
2020-04-26,63,False
2020-05-03,55,False
2020-05-10,60,False
2020-05-17,38,False
2020-05-24,42,False
2020-05-31,30,False
2020-06-07,49,False
2020-06-14,41,False
2020-06-21,18,False
2020-06-28,42,False
2020-07-05,49,False
