date,Räumung,isPartial
2018-01-07,100,False
2018-01-14,44,False
2018-01-21,0,False
2018-01-28,21,False
2018-02-04,34,False
2018-02-11,0,False
2018-02-18,21,False
2018-02-25,44,False
2018-03-04,42,False
2018-03-11,21,False
2018-03-18,21,False
2018-03-25,22,False
2018-04-01,0,False
2018-04-08,22,False
2018-04-15,60,False
2018-04-22,44,False
2018-04-29,45,False
2018-05-06,24,False
2018-05-13,22,False
2018-05-20,47,False
2018-05-27,29,False
2018-06-03,33,False
2018-06-10,21,False
2018-06-17,43,False
2018-06-24,44,False
2018-07-01,23,False
2018-07-08,23,False
2018-07-15,49,False
2018-07-22,38,False
2018-07-29,39,False
2018-08-05,25,False
2018-08-12,25,False
2018-08-19,47,False
2018-08-26,23,False
2018-09-02,30,False
2018-09-09,99,False
2018-09-16,67,False
2018-09-23,30,False
2018-09-30,17,False
2018-10-07,19,False
2018-10-14,22,False
2018-10-21,46,False
2018-10-28,45,False
2018-11-04,31,False
2018-11-11,33,False
2018-11-18,57,False
2018-11-25,0,False
2018-12-02,22,False
2018-12-09,0,False
2018-12-16,47,False
2018-12-23,0,False
2018-12-30,25,False
2019-01-06,41,False
2019-01-13,18,False
2019-01-20,39,False
2019-01-27,33,False
2019-02-03,22,False
2019-02-10,21,False
2019-02-17,0,False
2019-02-24,21,False
2019-03-03,17,False
2019-03-10,42,False
2019-03-17,21,False
2019-03-24,21,False
2019-03-31,43,False
2019-04-07,23,False
2019-04-14,24,False
2019-04-21,48,False
2019-04-28,0,False
2019-05-05,28,False
2019-05-12,22,False
2019-05-19,21,False
2019-05-26,22,False
2019-06-02,0,False
2019-06-09,37,False
2019-06-16,54,False
2019-06-23,34,False
2019-06-30,22,False
2019-07-07,43,False
2019-07-14,30,False
2019-07-21,47,False
2019-07-28,33,False
2019-08-04,0,False
2019-08-11,33,False
2019-08-18,21,False
2019-08-25,73,False
2019-09-01,20,False
2019-09-08,22,False
2019-09-15,42,False
2019-09-22,28,False
2019-09-29,19,False
2019-10-06,35,False
2019-10-13,21,False
2019-10-20,31,False
2019-10-27,30,False
2019-11-03,18,False
2019-11-10,20,False
2019-11-17,54,False
2019-11-24,20,False
2019-12-01,19,False
2019-12-08,20,False
2019-12-15,42,False
2019-12-22,80,False
2019-12-29,29,False
2020-01-05,93,False
2020-01-12,32,False
2020-01-19,59,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,17,False
2020-02-16,26,False
2020-02-23,28,False
2020-03-01,36,False
2020-03-08,34,False
2020-03-15,18,False
2020-03-22,19,False
2020-03-29,18,False
2020-04-05,38,False
2020-04-12,40,False
2020-04-19,19,False
2020-04-26,37,False
2020-05-03,17,False
2020-05-10,19,False
