date,Rollos,isPartial
2018-01-07,28,False
2018-01-14,34,False
2018-01-21,39,False
2018-01-28,34,False
2018-02-04,18,False
2018-02-11,28,False
2018-02-18,34,False
2018-02-25,45,False
2018-03-04,39,False
2018-03-11,34,False
2018-03-18,23,False
2018-03-25,36,False
2018-04-01,38,False
2018-04-08,37,False
2018-04-15,55,False
2018-04-22,42,False
2018-04-29,50,False
2018-05-06,37,False
2018-05-13,23,False
2018-05-20,61,False
2018-05-27,37,False
2018-06-03,30,False
2018-06-10,29,False
2018-06-17,23,False
2018-06-24,46,False
2018-07-01,59,False
2018-07-08,29,False
2018-07-15,49,False
2018-07-22,49,False
2018-07-29,100,False
2018-08-05,24,False
2018-08-12,63,False
2018-08-19,42,False
2018-08-26,47,False
2018-09-02,41,False
2018-09-09,24,False
2018-09-16,36,False
2018-09-23,24,False
2018-09-30,41,False
2018-10-07,42,False
2018-10-14,36,False
2018-10-21,18,False
2018-10-28,60,False
2018-11-04,23,False
2018-11-11,41,False
2018-11-18,28,False
2018-11-25,11,False
2018-12-02,58,False
2018-12-09,17,False
2018-12-16,12,False
2018-12-23,13,False
2018-12-30,23,False
2019-01-06,43,False
2019-01-13,21,False
2019-01-20,27,False
2019-01-27,32,False
2019-02-03,22,False
2019-02-10,49,False
2019-02-17,54,False
2019-02-24,54,False
2019-03-03,32,False
2019-03-10,42,False
2019-03-17,56,False
2019-03-24,50,False
2019-03-31,23,False
2019-04-07,28,False
2019-04-14,67,False
2019-04-21,35,False
2019-04-28,34,False
2019-05-05,43,False
2019-05-12,38,False
2019-05-19,44,False
2019-05-26,44,False
2019-06-02,40,False
2019-06-09,69,False
2019-06-16,62,False
2019-06-23,81,False
2019-06-30,86,False
2019-07-07,17,False
2019-07-14,30,False
2019-07-21,42,False
2019-07-28,35,False
2019-08-04,36,False
2019-08-11,53,False
2019-08-18,56,False
2019-08-25,33,False
2019-09-01,21,False
2019-09-08,17,False
2019-09-15,28,False
2019-09-22,44,False
2019-09-29,10,False
2019-10-06,21,False
2019-10-13,16,False
2019-10-20,32,False
2019-10-27,48,False
2019-11-03,46,False
2019-11-10,20,False
2019-11-17,31,False
2019-11-24,10,False
2019-12-01,42,False
2019-12-08,26,False
2019-12-15,26,False
2019-12-22,18,False
2019-12-29,33,False
2020-01-05,25,False
2020-01-12,19,False
2020-01-19,63,False
2020-01-26,10,False
2020-02-02,24,False
2020-02-09,43,False
2020-02-16,38,False
2020-02-23,45,False
2020-03-01,23,False
2020-03-08,54,False
2020-03-15,14,False
2020-03-22,18,False
2020-03-29,31,False
2020-04-05,59,False
2020-04-12,47,False
2020-04-19,32,False
2020-04-26,55,False
2020-05-03,38,False
2020-05-10,65,False
2020-05-17,91,False
2020-05-24,61,False
2020-05-31,28,False
2020-06-07,52,False
2020-06-14,32,False
2020-06-21,43,False
2020-06-28,33,False
2020-07-05,70,False
