date,maquillaje boda noche,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,18,False
2018-02-04,0,False
2018-02-11,18,False
2018-02-18,18,False
2018-02-25,17,False
2018-03-04,17,False
2018-03-11,17,False
2018-03-18,18,False
2018-03-25,20,False
2018-04-01,18,False
2018-04-08,17,False
2018-04-15,18,False
2018-04-22,35,False
2018-04-29,36,False
2018-05-06,17,False
2018-05-13,0,False
2018-05-20,18,False
2018-05-27,70,False
2018-06-03,43,False
2018-06-10,50,False
2018-06-17,18,False
2018-06-24,18,False
2018-07-01,36,False
2018-07-08,0,False
2018-07-15,37,False
2018-07-22,93,False
2018-07-29,47,False
2018-08-05,37,False
2018-08-12,19,False
2018-08-19,38,False
2018-08-26,100,False
2018-09-02,53,False
2018-09-09,35,False
2018-09-16,44,False
2018-09-23,26,False
2018-09-30,17,False
2018-10-07,18,False
2018-10-14,17,False
2018-10-21,26,False
2018-10-28,18,False
2018-11-04,17,False
2018-11-11,0,False
2018-11-18,16,False
2018-11-25,17,False
2018-12-02,0,False
2018-12-09,18,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,20,False
2019-01-06,18,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,0,False
2019-02-03,17,False
2019-02-10,17,False
2019-02-17,0,False
2019-02-24,34,False
2019-03-03,17,False
2019-03-10,0,False
2019-03-17,27,False
2019-03-24,18,False
2019-03-31,0,False
2019-04-07,17,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,25,False
2019-05-05,17,False
2019-05-12,0,False
2019-05-19,50,False
2019-05-26,33,False
2019-06-02,41,False
2019-06-09,33,False
2019-06-16,26,False
2019-06-23,26,False
2019-06-30,26,False
2019-07-07,34,False
2019-07-14,0,False
2019-07-21,44,False
2019-07-28,18,False
2019-08-04,0,False
2019-08-11,46,False
2019-08-18,45,False
2019-08-25,68,False
2019-09-01,24,False
2019-09-08,97,False
2019-09-15,0,False
2019-09-22,32,False
2019-09-29,24,False
2019-10-06,31,False
2019-10-13,23,False
2019-10-20,31,False
2019-10-27,16,False
2019-11-03,15,False
2019-11-10,0,False
2019-11-17,15,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,15,False
2019-12-22,17,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,14,False
2020-01-19,14,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,14,False
2020-03-08,14,False
2020-03-15,13,False
2020-03-22,0,False
2020-03-29,13,False
2020-04-05,0,False
2020-04-12,0,True
