date,pasticcini,isPartial
2018-01-07,55,False
2018-01-14,46,False
2018-01-21,38,False
2018-01-28,47,False
2018-02-04,70,False
2018-02-11,56,False
2018-02-18,100,False
2018-02-25,91,False
2018-03-04,69,False
2018-03-11,70,False
2018-03-18,75,False
2018-03-25,78,False
2018-04-01,32,False
2018-04-08,61,False
2018-04-15,61,False
2018-04-22,42,False
2018-04-29,51,False
2018-05-06,57,False
2018-05-13,50,False
2018-05-20,38,False
2018-05-27,35,False
2018-06-03,48,False
2018-06-10,43,False
2018-06-17,44,False
2018-06-24,38,False
2018-07-01,30,False
2018-07-08,28,False
2018-07-15,37,False
2018-07-22,32,False
2018-07-29,31,False
2018-08-05,27,False
2018-08-12,45,False
2018-08-19,32,False
2018-08-26,54,False
2018-09-02,45,False
2018-09-09,43,False
2018-09-16,52,False
2018-09-23,53,False
2018-09-30,61,False
2018-10-07,70,False
2018-10-14,65,False
2018-10-21,63,False
2018-10-28,71,False
2018-11-04,56,False
2018-11-11,70,False
2018-11-18,50,False
2018-11-25,58,False
2018-12-02,44,False
2018-12-09,83,False
2018-12-16,92,False
2018-12-23,62,False
2018-12-30,52,False
2019-01-06,57,False
2019-01-13,49,False
2019-01-20,49,False
2019-01-27,50,False
2019-02-03,46,False
2019-02-10,54,False
2019-02-17,59,False
2019-02-24,43,False
2019-03-03,59,False
2019-03-10,37,False
2019-03-17,70,False
2019-03-24,56,False
2019-03-31,55,False
2019-04-07,48,False
2019-04-14,50,False
2019-04-21,42,False
2019-04-28,44,False
2019-05-05,61,False
2019-05-12,39,False
2019-05-19,49,False
2019-05-26,50,False
2019-06-02,59,False
2019-06-09,37,False
2019-06-16,42,False
2019-06-23,32,False
2019-06-30,26,False
2019-07-07,42,False
2019-07-14,37,False
2019-07-21,45,False
2019-07-28,26,False
2019-08-04,34,False
2019-08-11,36,False
2019-08-18,25,False
2019-08-25,38,False
2019-09-01,49,False
2019-09-08,74,False
2019-09-15,44,False
2019-09-22,56,False
2019-09-29,59,False
2019-10-06,80,False
2019-10-13,55,False
2019-10-20,40,False
2019-10-27,81,False
2019-11-03,60,False
2019-11-10,52,False
2019-11-17,55,False
2019-11-24,53,False
2019-12-01,51,False
2019-12-08,73,False
2019-12-15,87,False
2019-12-22,71,False
2019-12-29,60,False
2020-01-05,36,False
2020-01-12,76,False
2020-01-19,63,False
2020-01-26,40,False
2020-02-02,47,False
2020-02-09,72,False
2020-02-16,47,False
2020-02-23,59,False
2020-03-01,51,False
2020-03-08,30,False
2020-03-15,65,False
2020-03-22,62,False
2020-03-29,77,False
2020-04-05,73,False
2020-04-12,51,False
2020-04-19,81,False
2020-04-26,62,True
