date,pasticcini,isPartial
2018-01-07,28,False
2018-01-14,14,False
2018-01-21,21,False
2018-01-28,55,False
2018-02-04,27,False
2018-02-11,20,False
2018-02-18,100,False
2018-02-25,61,False
2018-03-04,56,False
2018-03-11,25,False
2018-03-18,50,False
2018-03-25,27,False
2018-04-01,0,False
2018-04-08,13,False
2018-04-15,13,False
2018-04-22,14,False
2018-04-29,13,False
2018-05-06,19,False
2018-05-13,25,False
2018-05-20,0,False
2018-05-27,19,False
2018-06-03,13,False
2018-06-10,12,False
2018-06-17,25,False
2018-06-24,0,False
2018-07-01,39,False
2018-07-08,26,False
2018-07-15,13,False
2018-07-22,13,False
2018-07-29,20,False
2018-08-05,14,False
2018-08-12,17,False
2018-08-19,18,False
2018-08-26,23,False
2018-09-02,39,False
2018-09-09,25,False
2018-09-16,18,False
2018-09-23,19,False
2018-09-30,12,False
2018-10-07,38,False
2018-10-14,37,False
2018-10-21,37,False
2018-10-28,37,False
2018-11-04,35,False
2018-11-11,25,False
2018-11-18,31,False
2018-11-25,50,False
2018-12-02,34,False
2018-12-09,19,False
2018-12-16,61,False
2018-12-23,17,False
2018-12-30,29,False
2019-01-06,14,False
2019-01-13,27,False
2019-01-20,19,False
2019-01-27,71,False
2019-02-03,27,False
2019-02-10,41,False
2019-02-17,28,False
2019-02-24,18,False
2019-03-03,50,False
2019-03-10,14,False
2019-03-17,29,False
2019-03-24,35,False
2019-03-31,34,False
2019-04-07,26,False
2019-04-14,14,False
2019-04-21,32,False
2019-04-28,20,False
2019-05-05,25,False
2019-05-12,13,False
2019-05-19,27,False
2019-05-26,45,False
2019-06-02,14,False
2019-06-09,41,False
2019-06-16,28,False
2019-06-23,14,False
2019-06-30,0,False
2019-07-07,27,False
2019-07-14,44,False
2019-07-21,29,False
2019-07-28,31,False
2019-08-04,33,False
2019-08-11,37,False
2019-08-18,17,False
2019-08-25,0,False
2019-09-01,52,False
2019-09-08,41,False
2019-09-15,33,False
2019-09-22,33,False
2019-09-29,40,False
2019-10-06,13,False
2019-10-13,27,False
2019-10-20,53,False
2019-10-27,13,False
2019-11-03,19,False
2019-11-10,32,False
2019-11-17,52,False
2019-11-24,26,False
2019-12-01,34,False
2019-12-08,20,False
2019-12-15,48,False
2019-12-22,0,False
2019-12-29,16,False
2020-01-05,13,False
2020-01-12,31,False
2020-01-19,38,False
2020-01-26,19,False
2020-02-02,18,False
2020-02-09,19,False
2020-02-16,32,False
2020-02-23,30,False
2020-03-01,12,False
2020-03-08,24,False
2020-03-15,24,False
2020-03-22,11,False
2020-03-29,17,False
2020-04-05,18,False
2020-04-12,12,False
2020-04-19,17,False
2020-04-26,30,True
