date,pasticcini,isPartial
2018-01-07,82,False
2018-01-14,20,False
2018-01-21,38,False
2018-01-28,29,False
2018-02-04,19,False
2018-02-11,40,False
2018-02-18,49,False
2018-02-25,87,False
2018-03-04,49,False
2018-03-11,20,False
2018-03-18,82,False
2018-03-25,31,False
2018-04-01,33,False
2018-04-08,60,False
2018-04-15,21,False
2018-04-22,43,False
2018-04-29,41,False
2018-05-06,41,False
2018-05-13,41,False
2018-05-20,41,False
2018-05-27,41,False
2018-06-03,62,False
2018-06-10,60,False
2018-06-17,33,False
2018-06-24,23,False
2018-07-01,45,False
2018-07-08,44,False
2018-07-15,23,False
2018-07-22,23,False
2018-07-29,37,False
2018-08-05,40,False
2018-08-12,61,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,45,False
2018-09-09,44,False
2018-09-16,32,False
2018-09-23,22,False
2018-09-30,22,False
2018-10-07,67,False
2018-10-14,45,False
2018-10-21,43,False
2018-10-28,32,False
2018-11-04,51,False
2018-11-11,63,False
2018-11-18,30,False
2018-11-25,61,False
2018-12-02,41,False
2018-12-09,83,False
2018-12-16,0,False
2018-12-23,50,False
2018-12-30,68,False
2019-01-06,30,False
2019-01-13,0,False
2019-01-20,38,False
2019-01-27,28,False
2019-02-03,47,False
2019-02-10,37,False
2019-02-17,57,False
2019-02-24,39,False
2019-03-03,71,False
2019-03-10,40,False
2019-03-17,20,False
2019-03-24,80,False
2019-03-31,19,False
2019-04-07,19,False
2019-04-14,100,False
2019-04-21,22,False
2019-04-28,0,False
2019-05-05,40,False
2019-05-12,49,False
2019-05-19,38,False
2019-05-26,19,False
2019-06-02,39,False
2019-06-09,47,False
2019-06-16,30,False
2019-06-23,61,False
2019-06-30,40,False
2019-07-07,20,False
2019-07-14,20,False
2019-07-21,21,False
2019-07-28,22,False
2019-08-04,23,False
2019-08-11,38,False
2019-08-18,23,False
2019-08-25,31,False
2019-09-01,46,False
2019-09-08,29,False
2019-09-15,37,False
2019-09-22,38,False
2019-09-29,75,False
2019-10-06,57,False
2019-10-13,19,False
2019-10-20,53,False
2019-10-27,54,False
2019-11-03,45,False
2019-11-10,27,False
2019-11-17,35,False
2019-11-24,52,False
2019-12-01,64,False
2019-12-08,19,False
2019-12-15,54,False
2019-12-22,21,False
2019-12-29,40,False
2020-01-05,26,False
2020-01-12,57,False
2020-01-19,42,False
2020-01-26,41,False
2020-02-02,57,False
2020-02-09,93,False
2020-02-16,17,False
2020-02-23,16,False
2020-03-01,47,False
2020-03-08,15,False
2020-03-15,38,False
2020-03-22,14,False
2020-03-29,44,False
2020-04-05,70,False
2020-04-12,47,False
2020-04-19,52,False
2020-04-26,50,True
