date,pasticcini,isPartial
2018-01-07,0,False
2018-01-14,43,False
2018-01-21,21,False
2018-01-28,32,False
2018-02-04,82,False
2018-02-11,21,False
2018-02-18,41,False
2018-02-25,20,False
2018-03-04,63,False
2018-03-11,42,False
2018-03-18,31,False
2018-03-25,22,False
2018-04-01,67,False
2018-04-08,43,False
2018-04-15,22,False
2018-04-22,23,False
2018-04-29,22,False
2018-05-06,43,False
2018-05-13,0,False
2018-05-20,22,False
2018-05-27,22,False
2018-06-03,0,False
2018-06-10,20,False
2018-06-17,0,False
2018-06-24,21,False
2018-07-01,0,False
2018-07-08,31,False
2018-07-15,21,False
2018-07-22,0,False
2018-07-29,30,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,18,False
2018-08-26,28,False
2018-09-02,20,False
2018-09-09,21,False
2018-09-16,21,False
2018-09-23,42,False
2018-09-30,94,False
2018-10-07,56,False
2018-10-14,33,False
2018-10-21,66,False
2018-10-28,33,False
2018-11-04,0,False
2018-11-11,44,False
2018-11-18,43,False
2018-11-25,21,False
2018-12-02,57,False
2018-12-09,66,False
2018-12-16,100,False
2018-12-23,0,False
2018-12-30,21,False
2019-01-06,21,False
2019-01-13,21,False
2019-01-20,19,False
2019-01-27,19,False
2019-02-03,38,False
2019-02-10,19,False
2019-02-17,50,False
2019-02-24,39,False
2019-03-03,21,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,40,False
2019-03-31,40,False
2019-04-07,39,False
2019-04-14,72,False
2019-04-21,0,False
2019-04-28,19,False
2019-05-05,19,False
2019-05-12,29,False
2019-05-19,29,False
2019-05-26,18,False
2019-06-02,20,False
2019-06-09,0,False
2019-06-16,20,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,28,False
2019-07-14,20,False
2019-07-21,20,False
2019-07-28,0,False
2019-08-04,38,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,19,False
2019-09-01,0,False
2019-09-08,36,False
2019-09-15,18,False
2019-09-22,55,False
2019-09-29,19,False
2019-10-06,19,False
2019-10-13,19,False
2019-10-20,28,False
2019-10-27,37,False
2019-11-03,18,False
2019-11-10,18,False
2019-11-17,38,False
2019-11-24,54,False
2019-12-01,38,False
2019-12-08,28,False
2019-12-15,84,False
2019-12-22,30,False
2019-12-29,39,False
2020-01-05,45,False
2020-01-12,17,False
2020-01-19,44,False
2020-01-26,26,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,33,False
2020-03-01,33,False
2020-03-08,15,False
2020-03-15,15,False
2020-03-22,28,False
2020-03-29,21,False
2020-04-05,53,False
2020-04-12,61,False
2020-04-19,21,False
2020-04-26,25,True
