date,pasticcini,isPartial
2018-01-07,49,False
2018-01-14,24,False
2018-01-21,24,False
2018-01-28,48,False
2018-02-04,24,False
2018-02-11,36,False
2018-02-18,35,False
2018-02-25,34,False
2018-03-04,47,False
2018-03-11,47,False
2018-03-18,25,False
2018-03-25,100,False
2018-04-01,26,False
2018-04-08,24,False
2018-04-15,0,False
2018-04-22,26,False
2018-04-29,48,False
2018-05-06,24,False
2018-05-13,37,False
2018-05-20,25,False
2018-05-27,49,False
2018-06-03,24,False
2018-06-10,47,False
2018-06-17,0,False
2018-06-24,0,False
2018-07-01,24,False
2018-07-08,24,False
2018-07-15,0,False
2018-07-22,25,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,29,False
2018-08-19,27,False
2018-08-26,24,False
2018-09-02,47,False
2018-09-09,24,False
2018-09-16,24,False
2018-09-23,48,False
2018-09-30,61,False
2018-10-07,0,False
2018-10-14,25,False
2018-10-21,73,False
2018-10-28,47,False
2018-11-04,46,False
2018-11-11,25,False
2018-11-18,35,False
2018-11-25,24,False
2018-12-02,0,False
2018-12-09,25,False
2018-12-16,26,False
2018-12-23,32,False
2018-12-30,29,False
2019-01-06,50,False
2019-01-13,47,False
2019-01-20,35,False
2019-01-27,0,False
2019-02-03,23,False
2019-02-10,48,False
2019-02-17,24,False
2019-02-24,24,False
2019-03-03,49,False
2019-03-10,49,False
2019-03-17,0,False
2019-03-24,24,False
2019-03-31,48,False
2019-04-07,48,False
2019-04-14,25,False
2019-04-21,55,False
2019-04-28,25,False
2019-05-05,24,False
2019-05-12,23,False
2019-05-19,58,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,48,False
2019-06-16,73,False
2019-06-23,25,False
2019-06-30,25,False
2019-07-07,22,False
2019-07-14,23,False
2019-07-21,24,False
2019-07-28,0,False
2019-08-04,52,False
2019-08-11,55,False
2019-08-18,49,False
2019-08-25,22,False
2019-09-01,21,False
2019-09-08,33,False
2019-09-15,22,False
2019-09-22,44,False
2019-09-29,33,False
2019-10-06,46,False
2019-10-13,46,False
2019-10-20,0,False
2019-10-27,22,False
2019-11-03,43,False
2019-11-10,53,False
2019-11-17,22,False
2019-11-24,42,False
2019-12-01,55,False
2019-12-08,56,False
2019-12-15,45,False
2019-12-22,27,False
2019-12-29,26,False
2020-01-05,44,False
2020-01-12,60,False
2020-01-19,20,False
2020-01-26,20,False
2020-02-02,20,False
2020-02-09,21,False
2020-02-16,21,False
2020-02-23,19,False
2020-03-01,57,False
2020-03-08,19,False
2020-03-15,29,False
2020-03-22,52,False
2020-03-29,36,False
2020-04-05,28,False
2020-04-12,28,False
2020-04-19,27,False
2020-04-26,31,True
