date,sarti,isPartial
2018-01-07,0,False
2018-01-14,5,False
2018-01-21,0,False
2018-01-28,0,False
2018-02-04,4,False
2018-02-11,4,False
2018-02-18,4,False
2018-02-25,0,False
2018-03-04,9,False
2018-03-11,0,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,10,False
2018-04-08,0,False
2018-04-15,5,False
2018-04-22,5,False
2018-04-29,0,False
2018-05-06,10,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,5,False
2018-06-17,5,False
2018-06-24,0,False
2018-07-01,4,False
2018-07-08,4,False
2018-07-15,0,False
2018-07-22,6,False
2018-07-29,8,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,4,False
2018-08-26,4,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,5,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,5,False
2018-10-28,0,False
2018-11-04,5,False
2018-11-11,0,False
2018-11-18,5,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,10,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,4,False
2019-01-06,4,False
2019-01-13,0,False
2019-01-20,4,False
2019-01-27,4,False
2019-02-03,0,False
2019-02-10,4,False
2019-02-17,4,False
2019-02-24,9,False
2019-03-03,9,False
2019-03-10,100,False
2019-03-17,23,False
2019-03-24,7,False
2019-03-31,5,False
2019-04-07,7,False
2019-04-14,0,False
2019-04-21,5,False
2019-04-28,0,False
2019-05-05,0,False
2019-05-12,5,False
2019-05-19,5,False
2019-05-26,0,False
2019-06-02,7,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,8,False
2019-07-28,0,False
2019-08-04,3,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,4,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,4,False
2019-10-20,9,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,9,False
2019-11-24,4,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,4,False
2019-12-22,4,False
2019-12-29,7,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,4,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,4,False
2020-02-16,0,False
2020-02-23,3,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,7,False
2020-03-22,0,False
2020-03-29,5,False
2020-04-05,4,False
2020-04-12,0,False
2020-04-19,4,False
2020-04-26,0,True
