date,tagli capelli,isPartial
2018-01-07,0,False
2018-01-14,45,False
2018-01-21,45,False
2018-01-28,22,False
2018-02-04,21,False
2018-02-11,54,False
2018-02-18,61,False
2018-02-25,49,False
2018-03-04,31,False
2018-03-11,53,False
2018-03-18,21,False
2018-03-25,22,False
2018-04-01,79,False
2018-04-08,45,False
2018-04-15,100,False
2018-04-22,23,False
2018-04-29,22,False
2018-05-06,32,False
2018-05-13,66,False
2018-05-20,0,False
2018-05-27,70,False
2018-06-03,34,False
2018-06-10,32,False
2018-06-17,43,False
2018-06-24,43,False
2018-07-01,54,False
2018-07-08,0,False
2018-07-15,55,False
2018-07-22,31,False
2018-07-29,40,False
2018-08-05,50,False
2018-08-12,19,False
2018-08-19,19,False
2018-08-26,0,False
2018-09-02,64,False
2018-09-09,22,False
2018-09-16,65,False
2018-09-23,86,False
2018-09-30,43,False
2018-10-07,47,False
2018-10-14,22,False
2018-10-21,0,False
2018-10-28,43,False
2018-11-04,0,False
2018-11-11,23,False
2018-11-18,44,False
2018-11-25,32,False
2018-12-02,22,False
2018-12-09,96,False
2018-12-16,23,False
2018-12-23,45,False
2018-12-30,30,False
2019-01-06,20,False
2019-01-13,31,False
2019-01-20,20,False
2019-01-27,21,False
2019-02-03,31,False
2019-02-10,20,False
2019-02-17,21,False
2019-02-24,52,False
2019-03-03,34,False
2019-03-10,43,False
2019-03-17,44,False
2019-03-24,53,False
2019-03-31,33,False
2019-04-07,75,False
2019-04-14,33,False
2019-04-21,22,False
2019-04-28,0,False
2019-05-05,43,False
2019-05-12,62,False
2019-05-19,52,False
2019-05-26,20,False
2019-06-02,22,False
2019-06-09,78,False
2019-06-16,34,False
2019-06-23,44,False
2019-06-30,22,False
2019-07-07,64,False
2019-07-14,43,False
2019-07-21,22,False
2019-07-28,53,False
2019-08-04,61,False
2019-08-11,0,False
2019-08-18,27,False
2019-08-25,71,False
2019-09-01,37,False
2019-09-08,40,False
2019-09-15,0,False
2019-09-22,20,False
2019-09-29,60,False
2019-10-06,41,False
2019-10-13,21,False
2019-10-20,30,False
2019-10-27,39,False
2019-11-03,47,False
2019-11-10,39,False
2019-11-17,40,False
2019-11-24,37,False
2019-12-01,40,False
2019-12-08,41,False
2019-12-15,50,False
2019-12-22,20,False
2019-12-29,38,False
2020-01-05,19,False
2020-01-12,18,False
2020-01-19,19,False
2020-01-26,27,False
2020-02-02,43,False
2020-02-09,18,False
2020-02-16,28,False
2020-02-23,26,False
2020-03-01,34,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,14,False
2020-03-29,14,False
2020-04-05,0,False
2020-04-12,31,False
2020-04-19,0,False
2020-04-26,26,True
