date,tagli capelli,isPartial
2018-01-07,14,False
2018-01-14,68,False
2018-01-21,96,False
2018-01-28,26,False
2018-02-04,54,False
2018-02-11,27,False
2018-02-18,52,False
2018-02-25,51,False
2018-03-04,79,False
2018-03-11,77,False
2018-03-18,94,False
2018-03-25,68,False
2018-04-01,29,False
2018-04-08,27,False
2018-04-15,28,False
2018-04-22,14,False
2018-04-29,27,False
2018-05-06,66,False
2018-05-13,52,False
2018-05-20,40,False
2018-05-27,41,False
2018-06-03,93,False
2018-06-10,26,False
2018-06-17,80,False
2018-06-24,13,False
2018-07-01,64,False
2018-07-08,52,False
2018-07-15,13,False
2018-07-22,13,False
2018-07-29,14,False
2018-08-05,13,False
2018-08-12,29,False
2018-08-19,41,False
2018-08-26,78,False
2018-09-02,26,False
2018-09-09,54,False
2018-09-16,79,False
2018-09-23,0,False
2018-09-30,53,False
2018-10-07,40,False
2018-10-14,27,False
2018-10-21,54,False
2018-10-28,0,False
2018-11-04,78,False
2018-11-11,41,False
2018-11-18,13,False
2018-11-25,27,False
2018-12-02,28,False
2018-12-09,53,False
2018-12-16,38,False
2018-12-23,58,False
2018-12-30,57,False
2019-01-06,26,False
2019-01-13,35,False
2019-01-20,46,False
2019-01-27,34,False
2019-02-03,35,False
2019-02-10,23,False
2019-02-17,48,False
2019-02-24,23,False
2019-03-03,47,False
2019-03-10,70,False
2019-03-17,23,False
2019-03-24,48,False
2019-03-31,24,False
2019-04-07,58,False
2019-04-14,75,False
2019-04-21,25,False
2019-04-28,45,False
2019-05-05,45,False
2019-05-12,46,False
2019-05-19,78,False
2019-05-26,11,False
2019-06-02,82,False
2019-06-09,25,False
2019-06-16,48,False
2019-06-23,36,False
2019-06-30,59,False
2019-07-07,46,False
2019-07-14,49,False
2019-07-21,25,False
2019-07-28,38,False
2019-08-04,65,False
2019-08-11,28,False
2019-08-18,13,False
2019-08-25,61,False
2019-09-01,22,False
2019-09-08,68,False
2019-09-15,22,False
2019-09-22,21,False
2019-09-29,42,False
2019-10-06,56,False
2019-10-13,88,False
2019-10-20,65,False
2019-10-27,43,False
2019-11-03,73,False
2019-11-10,53,False
2019-11-17,41,False
2019-11-24,64,False
2019-12-01,43,False
2019-12-08,11,False
2019-12-15,66,False
2019-12-22,0,False
2019-12-29,39,False
2020-01-05,82,False
2020-01-12,32,False
2020-01-19,42,False
2020-01-26,91,False
2020-02-02,100,False
2020-02-09,41,False
2020-02-16,21,False
2020-02-23,49,False
2020-03-01,19,False
2020-03-08,28,False
2020-03-15,47,False
2020-03-22,43,False
2020-03-29,0,False
2020-04-05,19,False
2020-04-12,9,False
2020-04-19,27,False
2020-04-26,0,True
