date,Granit Mauersteine,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,90,False
2018-02-04,93,False
2018-02-11,48,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,47,False
2018-03-11,63,False
2018-03-18,0,False
2018-03-25,76,False
2018-04-01,77,False
2018-04-08,49,False
2018-04-15,73,False
2018-04-22,0,False
2018-04-29,49,False
2018-05-06,49,False
2018-05-13,0,False
2018-05-20,100,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,45,False
2018-06-17,68,False
2018-06-24,90,False
2018-07-01,45,False
2018-07-08,45,False
2018-07-15,46,False
2018-07-22,68,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,50,False
2018-09-02,49,False
2018-09-09,47,False
2018-09-16,47,False
2018-09-23,48,False
2018-09-30,0,False
2018-10-07,46,False
2018-10-14,46,False
2018-10-21,46,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,44,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,42,False
2019-01-27,57,False
2019-02-03,0,False
2019-02-10,43,False
2019-02-17,0,False
2019-02-24,44,False
2019-03-03,0,False
2019-03-10,44,False
2019-03-17,46,False
2019-03-24,0,False
2019-03-31,62,False
2019-04-07,89,False
2019-04-14,49,False
2019-04-21,47,False
2019-04-28,89,False
2019-05-05,43,False
2019-05-12,44,False
2019-05-19,65,False
2019-05-26,91,False
2019-06-02,0,False
2019-06-09,47,False
2019-06-16,0,False
2019-06-23,45,False
2019-06-30,44,False
2019-07-07,42,False
2019-07-14,44,False
2019-07-21,46,False
2019-07-28,45,False
2019-08-04,47,False
2019-08-11,47,False
2019-08-18,0,False
2019-08-25,47,False
2019-09-01,45,False
2019-09-08,44,False
2019-09-15,44,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,42,False
2019-10-13,43,False
2019-10-20,0,False
2019-10-27,42,False
2019-11-03,61,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,43,False
2019-12-22,49,False
2019-12-29,45,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,40,False
2020-02-02,0,False
2020-02-09,38,False
2020-02-16,40,False
2020-02-23,39,False
2020-03-01,39,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,71,False
2020-04-05,39,False
2020-04-12,0,False
2020-04-19,36,False
2020-04-26,84,False
2020-05-03,36,False
2020-05-10,55,False
