date,matrimonio villa,isPartial
2018-01-07,27,False
2018-01-14,26,False
2018-01-21,35,False
2018-01-28,25,False
2018-02-04,25,False
2018-02-11,42,False
2018-02-18,33,False
2018-02-25,32,False
2018-03-04,17,False
2018-03-11,25,False
2018-03-18,34,False
2018-03-25,44,False
2018-04-01,54,False
2018-04-08,34,False
2018-04-15,35,False
2018-04-22,27,False
2018-04-29,50,False
2018-05-06,65,False
2018-05-13,34,False
2018-05-20,60,False
2018-05-27,43,False
2018-06-03,50,False
2018-06-10,48,False
2018-06-17,33,False
2018-06-24,51,False
2018-07-01,57,False
2018-07-08,16,False
2018-07-15,42,False
2018-07-22,49,False
2018-07-29,43,False
2018-08-05,61,False
2018-08-12,18,False
2018-08-19,54,False
2018-08-26,42,False
2018-09-02,58,False
2018-09-09,50,False
2018-09-16,40,False
2018-09-23,65,False
2018-09-30,51,False
2018-10-07,34,False
2018-10-14,43,False
2018-10-21,26,False
2018-10-28,17,False
2018-11-04,85,False
2018-11-11,35,False
2018-11-18,25,False
2018-11-25,26,False
2018-12-02,17,False
2018-12-09,18,False
2018-12-16,37,False
2018-12-23,42,False
2018-12-30,20,False
2019-01-06,18,False
2019-01-13,34,False
2019-01-20,41,False
2019-01-27,79,False
2019-02-03,83,False
2019-02-10,17,False
2019-02-17,69,False
2019-02-24,0,False
2019-03-03,17,False
2019-03-10,17,False
2019-03-17,26,False
2019-03-24,70,False
2019-03-31,76,False
2019-04-07,59,False
2019-04-14,52,False
2019-04-21,60,False
2019-04-28,33,False
2019-05-05,41,False
2019-05-12,80,False
2019-05-19,24,False
2019-05-26,62,False
2019-06-02,100,False
2019-06-09,33,False
2019-06-16,79,False
2019-06-23,70,False
2019-06-30,68,False
2019-07-07,65,False
2019-07-14,42,False
2019-07-21,34,False
2019-07-28,17,False
2019-08-04,26,False
2019-08-11,37,False
2019-08-18,43,False
2019-08-25,48,False
2019-09-01,38,False
2019-09-08,32,False
2019-09-15,32,False
2019-09-22,38,False
2019-09-29,47,False
2019-10-06,48,False
2019-10-13,39,False
2019-10-20,61,False
2019-10-27,38,False
2019-11-03,23,False
2019-11-10,39,False
2019-11-17,30,False
2019-11-24,15,False
2019-12-01,16,False
2019-12-08,16,False
2019-12-15,24,False
2019-12-22,19,False
2019-12-29,26,False
2020-01-05,63,False
2020-01-12,29,False
2020-01-19,54,False
2020-01-26,29,False
2020-02-02,44,False
2020-02-09,61,False
2020-02-16,30,False
2020-02-23,34,False
2020-03-01,55,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,13,False
2020-04-05,13,False
2020-04-12,46,False
2020-04-19,0,False
2020-04-26,0,True
