date,matrimonio villa,isPartial
2018-01-07,23,False
2018-01-14,69,False
2018-01-21,23,False
2018-01-28,0,False
2018-02-04,22,False
2018-02-11,22,False
2018-02-18,0,False
2018-02-25,21,False
2018-03-04,0,False
2018-03-11,22,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,24,False
2018-04-08,69,False
2018-04-15,23,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,47,False
2018-05-13,0,False
2018-05-20,69,False
2018-05-27,48,False
2018-06-03,24,False
2018-06-10,0,False
2018-06-17,44,False
2018-06-24,22,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,46,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,21,False
2018-08-12,20,False
2018-08-19,58,False
2018-08-26,100,False
2018-09-02,42,False
2018-09-09,90,False
2018-09-16,22,False
2018-09-23,45,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,24,False
2018-10-21,23,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,24,False
2018-11-18,0,False
2018-11-25,23,False
2018-12-02,0,False
2018-12-09,0,False
2018-12-16,24,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,44,False
2019-01-20,0,False
2019-01-27,41,False
2019-02-03,0,False
2019-02-10,41,False
2019-02-17,21,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,63,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,21,False
2019-04-07,42,False
2019-04-14,0,False
2019-04-21,22,False
2019-04-28,21,False
2019-05-05,21,False
2019-05-12,20,False
2019-05-19,21,False
2019-05-26,0,False
2019-06-02,22,False
2019-06-09,22,False
2019-06-16,43,False
2019-06-23,0,False
2019-06-30,43,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,85,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,21,False
2019-08-18,20,False
2019-08-25,20,False
2019-09-01,19,False
2019-09-08,20,False
2019-09-15,19,False
2019-09-22,39,False
2019-09-29,0,False
2019-10-06,20,False
2019-10-13,82,False
2019-10-20,0,False
2019-10-27,20,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,20,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,21,False
2019-12-29,21,False
2020-01-05,38,False
2020-01-12,0,False
2020-01-19,19,False
2020-01-26,0,False
2020-02-02,18,False
2020-02-09,0,False
2020-02-16,37,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,16,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,15,False
2020-04-26,0,True
