date,Stuckateur,isPartial
2018-01-07,26,False
2018-01-14,0,False
2018-01-21,26,False
2018-01-28,0,False
2018-02-04,0,False
2018-02-11,27,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,27,False
2018-03-11,27,False
2018-03-18,27,False
2018-03-25,28,False
2018-04-01,0,False
2018-04-08,28,False
2018-04-15,57,False
2018-04-22,40,False
2018-04-29,0,False
2018-05-06,28,False
2018-05-13,0,False
2018-05-20,55,False
2018-05-27,0,False
2018-06-03,28,False
2018-06-10,39,False
2018-06-17,0,False
2018-06-24,28,False
2018-07-01,28,False
2018-07-08,28,False
2018-07-15,43,False
2018-07-22,28,False
2018-07-29,0,False
2018-08-05,27,False
2018-08-12,27,False
2018-08-19,0,False
2018-08-26,54,False
2018-09-02,27,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,27,False
2018-09-30,29,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,26,False
2018-10-28,26,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,52,False
2018-12-09,26,False
2018-12-16,0,False
2018-12-23,57,False
2018-12-30,27,False
2019-01-06,25,False
2019-01-13,48,False
2019-01-20,24,False
2019-01-27,24,False
2019-02-03,25,False
2019-02-10,25,False
2019-02-17,26,False
2019-02-24,94,False
2019-03-03,51,False
2019-03-10,49,False
2019-03-17,52,False
2019-03-24,26,False
2019-03-31,39,False
2019-04-07,39,False
2019-04-14,41,False
2019-04-21,27,False
2019-04-28,39,False
2019-05-05,37,False
2019-05-12,26,False
2019-05-19,0,False
2019-05-26,51,False
2019-06-02,38,False
2019-06-09,39,False
2019-06-16,26,False
2019-06-23,39,False
2019-06-30,53,False
2019-07-07,78,False
2019-07-14,0,False
2019-07-21,28,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,25,False
2019-08-18,0,False
2019-08-25,25,False
2019-09-01,100,False
2019-09-08,26,False
2019-09-15,52,False
2019-09-22,24,False
2019-09-29,26,False
2019-10-06,50,False
2019-10-13,49,False
2019-10-20,24,False
2019-10-27,47,False
2019-11-03,46,False
2019-11-10,35,False
2019-11-17,23,False
2019-11-24,23,False
2019-12-01,72,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,26,False
2019-12-29,25,False
2020-01-05,45,False
2020-01-12,22,False
2020-01-19,23,False
2020-01-26,45,False
2020-02-02,0,False
2020-02-09,43,False
2020-02-16,23,False
2020-02-23,65,False
2020-03-01,22,False
2020-03-08,20,False
2020-03-15,19,False
2020-03-22,19,False
2020-03-29,19,False
2020-04-05,0,False
2020-04-12,40,False
2020-04-19,19,False
2020-04-26,28,False
2020-05-03,19,False
2020-05-10,20,False
