date,Betonpflaster,isPartial
2018-01-07,0,False
2018-01-14,43,False
2018-01-21,44,False
2018-01-28,30,False
2018-02-04,0,False
2018-02-11,30,False
2018-02-18,61,False
2018-02-25,30,False
2018-03-04,30,False
2018-03-11,30,False
2018-03-18,0,False
2018-03-25,32,False
2018-04-01,33,False
2018-04-08,47,False
2018-04-15,32,False
2018-04-22,93,False
2018-04-29,32,False
2018-05-06,0,False
2018-05-13,31,False
2018-05-20,100,False
2018-05-27,33,False
2018-06-03,31,False
2018-06-10,30,False
2018-06-17,46,False
2018-06-24,31,False
2018-07-01,60,False
2018-07-08,61,False
2018-07-15,31,False
2018-07-22,31,False
2018-07-29,32,False
2018-08-05,33,False
2018-08-12,34,False
2018-08-19,0,False
2018-08-26,34,False
2018-09-02,63,False
2018-09-09,63,False
2018-09-16,46,False
2018-09-23,31,False
2018-09-30,31,False
2018-10-07,30,False
2018-10-14,30,False
2018-10-21,30,False
2018-10-28,30,False
2018-11-04,29,False
2018-11-11,0,False
2018-11-18,28,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,29,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,31,False
2019-01-06,28,False
2019-01-13,0,False
2019-01-20,27,False
2019-01-27,28,False
2019-02-03,28,False
2019-02-10,28,False
2019-02-17,38,False
2019-02-24,39,False
2019-03-03,29,False
2019-03-10,28,False
2019-03-17,29,False
2019-03-24,29,False
2019-03-31,86,False
2019-04-07,38,False
2019-04-14,31,False
2019-04-21,60,False
2019-04-28,58,False
2019-05-05,46,False
2019-05-12,38,False
2019-05-19,28,False
2019-05-26,87,False
2019-06-02,43,False
2019-06-09,30,False
2019-06-16,46,False
2019-06-23,29,False
2019-06-30,42,False
2019-07-07,28,False
2019-07-14,28,False
2019-07-21,30,False
2019-07-28,30,False
2019-08-04,64,False
2019-08-11,30,False
2019-08-18,0,False
2019-08-25,48,False
2019-09-01,59,False
2019-09-08,29,False
2019-09-15,29,False
2019-09-22,28,False
2019-09-29,0,False
2019-10-06,27,False
2019-10-13,27,False
2019-10-20,27,False
2019-10-27,0,False
2019-11-03,26,False
2019-11-10,0,False
2019-11-17,79,False
2019-11-24,0,False
2019-12-01,36,False
2019-12-08,27,False
2019-12-15,27,False
2019-12-22,31,False
2019-12-29,0,False
2020-01-05,39,False
2020-01-12,50,False
2020-01-19,38,False
2020-01-26,63,False
2020-02-02,38,False
2020-02-09,50,False
2020-02-16,53,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,46,False
2020-03-15,34,False
2020-03-22,22,False
2020-03-29,0,False
2020-04-05,49,False
2020-04-12,40,False
2020-04-19,38,False
2020-04-26,66,False
2020-05-03,60,False
2020-05-10,45,False
