date,torte battesimo,isPartial
2018-01-07,0,False
2018-01-14,0,False
2018-01-21,38,False
2018-01-28,26,False
2018-02-04,63,False
2018-02-11,0,False
2018-02-18,0,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,46,False
2018-03-18,83,False
2018-03-25,63,False
2018-04-01,78,False
2018-04-08,23,False
2018-04-15,72,False
2018-04-22,51,False
2018-04-29,24,False
2018-05-06,23,False
2018-05-13,0,False
2018-05-20,47,False
2018-05-27,24,False
2018-06-03,49,False
2018-06-10,46,False
2018-06-17,69,False
2018-06-24,49,False
2018-07-01,0,False
2018-07-08,24,False
2018-07-15,100,False
2018-07-22,25,False
2018-07-29,26,False
2018-08-05,27,False
2018-08-12,32,False
2018-08-19,33,False
2018-08-26,56,False
2018-09-02,72,False
2018-09-09,47,False
2018-09-16,22,False
2018-09-23,0,False
2018-09-30,23,False
2018-10-07,0,False
2018-10-14,24,False
2018-10-21,0,False
2018-10-28,46,False
2018-11-04,33,False
2018-11-11,0,False
2018-11-18,23,False
2018-11-25,0,False
2018-12-02,0,False
2018-12-09,24,False
2018-12-16,25,False
2018-12-23,31,False
2018-12-30,0,False
2019-01-06,26,False
2019-01-13,0,False
2019-01-20,24,False
2019-01-27,44,False
2019-02-03,0,False
2019-02-10,0,False
2019-02-17,25,False
2019-02-24,0,False
2019-03-03,27,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,26,False
2019-03-31,0,False
2019-04-07,24,False
2019-04-14,25,False
2019-04-21,29,False
2019-04-28,75,False
2019-05-05,23,False
2019-05-12,25,False
2019-05-19,25,False
2019-05-26,24,False
2019-06-02,38,False
2019-06-09,51,False
2019-06-16,0,False
2019-06-23,0,False
2019-06-30,27,False
2019-07-07,25,False
2019-07-14,27,False
2019-07-21,0,False
2019-07-28,29,False
2019-08-04,31,False
2019-08-11,51,False
2019-08-18,32,False
2019-08-25,0,False
2019-09-01,36,False
2019-09-08,0,False
2019-09-15,24,False
2019-09-22,73,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,24,False
2019-10-27,50,False
2019-11-03,24,False
2019-11-10,24,False
2019-11-17,25,False
2019-11-24,0,False
2019-12-01,25,False
2019-12-08,25,False
2019-12-15,51,False
2019-12-22,31,False
2019-12-29,0,False
2020-01-05,25,False
2020-01-12,93,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,24,False
2020-02-16,0,False
2020-02-23,23,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,True
