date,torte battesimo,isPartial
2018-01-07,37,False
2018-01-14,37,False
2018-01-21,75,False
2018-01-28,56,False
2018-02-04,36,False
2018-02-11,38,False
2018-02-18,39,False
2018-02-25,78,False
2018-03-04,39,False
2018-03-11,59,False
2018-03-18,100,False
2018-03-25,43,False
2018-04-01,44,False
2018-04-08,99,False
2018-04-15,40,False
2018-04-22,0,False
2018-04-29,41,False
2018-05-06,41,False
2018-05-13,40,False
2018-05-20,41,False
2018-05-27,42,False
2018-06-03,41,False
2018-06-10,37,False
2018-06-17,79,False
2018-06-24,39,False
2018-07-01,40,False
2018-07-08,39,False
2018-07-15,41,False
2018-07-22,0,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,0,False
2018-08-19,35,False
2018-08-26,0,False
2018-09-02,77,False
2018-09-09,39,False
2018-09-16,37,False
2018-09-23,37,False
2018-09-30,38,False
2018-10-07,78,False
2018-10-14,39,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,79,False
2018-11-11,0,False
2018-11-18,82,False
2018-11-25,80,False
2018-12-02,43,False
2018-12-09,42,False
2018-12-16,0,False
2018-12-23,46,False
2018-12-30,40,False
2019-01-06,78,False
2019-01-13,58,False
2019-01-20,36,False
2019-01-27,0,False
2019-02-03,37,False
2019-02-10,74,False
2019-02-17,38,False
2019-02-24,0,False
2019-03-03,81,False
2019-03-10,76,False
2019-03-17,0,False
2019-03-24,76,False
2019-03-31,76,False
2019-04-07,39,False
2019-04-14,39,False
2019-04-21,0,False
2019-04-28,38,False
2019-05-05,38,False
2019-05-12,74,False
2019-05-19,0,False
2019-05-26,0,False
2019-06-02,38,False
2019-06-09,39,False
2019-06-16,0,False
2019-06-23,39,False
2019-06-30,81,False
2019-07-07,39,False
2019-07-14,39,False
2019-07-21,40,False
2019-07-28,0,False
2019-08-04,38,False
2019-08-11,39,False
2019-08-18,36,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,36,False
2019-09-22,37,False
2019-09-29,0,False
2019-10-06,55,False
2019-10-13,0,False
2019-10-20,35,False
2019-10-27,37,False
2019-11-03,36,False
2019-11-10,0,False
2019-11-17,38,False
2019-11-24,37,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,72,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,36,False
2020-02-16,0,False
2020-02-23,35,False
2020-03-01,33,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,True
