date,Gläser gravieren,isPartial
2018-01-07,44,False
2018-01-14,43,False
2018-01-21,87,False
2018-01-28,0,False
2018-02-04,44,False
2018-02-11,0,False
2018-02-18,46,False
2018-02-25,0,False
2018-03-04,45,False
2018-03-11,0,False
2018-03-18,46,False
2018-03-25,0,False
2018-04-01,50,False
2018-04-08,47,False
2018-04-15,71,False
2018-04-22,91,False
2018-04-29,47,False
2018-05-06,47,False
2018-05-13,0,False
2018-05-20,72,False
2018-05-27,0,False
2018-06-03,45,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,44,False
2018-07-01,43,False
2018-07-08,43,False
2018-07-15,44,False
2018-07-22,0,False
2018-07-29,45,False
2018-08-05,47,False
2018-08-12,49,False
2018-08-19,48,False
2018-08-26,48,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,46,False
2018-09-23,46,False
2018-09-30,0,False
2018-10-07,45,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,45,False
2018-11-04,43,False
2018-11-11,44,False
2018-11-18,56,False
2018-11-25,86,False
2018-12-02,43,False
2018-12-09,87,False
2018-12-16,45,False
2018-12-23,52,False
2018-12-30,0,False
2019-01-06,41,False
2019-01-13,40,False
2019-01-20,0,False
2019-01-27,41,False
2019-02-03,0,False
2019-02-10,42,False
2019-02-17,42,False
2019-02-24,0,False
2019-03-03,0,False
2019-03-10,0,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,0,False
2019-04-07,43,False
2019-04-14,47,False
2019-04-21,0,False
2019-04-28,0,False
2019-05-05,42,False
2019-05-12,42,False
2019-05-19,42,False
2019-05-26,87,False
2019-06-02,0,False
2019-06-09,68,False
2019-06-16,0,False
2019-06-23,44,False
2019-06-30,85,False
2019-07-07,41,False
2019-07-14,43,False
2019-07-21,45,False
2019-07-28,0,False
2019-08-04,45,False
2019-08-11,46,False
2019-08-18,69,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,84,False
2019-09-15,43,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,40,False
2019-10-13,40,False
2019-10-20,100,False
2019-10-27,40,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,40,False
2019-11-24,39,False
2019-12-01,61,False
2019-12-08,81,False
2019-12-15,82,False
2019-12-22,47,False
2019-12-29,44,False
2020-01-05,39,False
2020-01-12,37,False
2020-01-19,38,False
2020-01-26,76,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,75,False
2020-03-08,35,False
2020-03-15,34,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,35,False
2020-04-26,0,False
2020-05-03,35,False
2020-05-10,35,False
