date,Gläser gravieren,isPartial
2018-01-07,17,False
2018-01-14,23,False
2018-01-21,40,False
2018-01-28,35,False
2018-02-04,24,False
2018-02-11,18,False
2018-02-18,24,False
2018-02-25,12,False
2018-03-04,23,False
2018-03-11,12,False
2018-03-18,30,False
2018-03-25,12,False
2018-04-01,13,False
2018-04-08,12,False
2018-04-15,12,False
2018-04-22,24,False
2018-04-29,25,False
2018-05-06,37,False
2018-05-13,47,False
2018-05-20,19,False
2018-05-27,36,False
2018-06-03,18,False
2018-06-10,40,False
2018-06-17,17,False
2018-06-24,18,False
2018-07-01,24,False
2018-07-08,41,False
2018-07-15,24,False
2018-07-22,30,False
2018-07-29,24,False
2018-08-05,48,False
2018-08-12,37,False
2018-08-19,37,False
2018-08-26,12,False
2018-09-02,24,False
2018-09-09,24,False
2018-09-16,12,False
2018-09-23,49,False
2018-09-30,18,False
2018-10-07,12,False
2018-10-14,18,False
2018-10-21,23,False
2018-10-28,12,False
2018-11-04,17,False
2018-11-11,40,False
2018-11-18,45,False
2018-11-25,63,False
2018-12-02,97,False
2018-12-09,52,False
2018-12-16,95,False
2018-12-23,34,False
2018-12-30,18,False
2019-01-06,22,False
2019-01-13,11,False
2019-01-20,16,False
2019-01-27,21,False
2019-02-03,44,False
2019-02-10,17,False
2019-02-17,11,False
2019-02-24,29,False
2019-03-03,22,False
2019-03-10,16,False
2019-03-17,23,False
2019-03-24,34,False
2019-03-31,28,False
2019-04-07,33,False
2019-04-14,37,False
2019-04-21,36,False
2019-04-28,17,False
2019-05-05,22,False
2019-05-12,17,False
2019-05-19,33,False
2019-05-26,34,False
2019-06-02,50,False
2019-06-09,17,False
2019-06-16,23,False
2019-06-23,29,False
2019-06-30,45,False
2019-07-07,22,False
2019-07-14,29,False
2019-07-21,18,False
2019-07-28,12,False
2019-08-04,24,False
2019-08-11,57,False
2019-08-18,23,False
2019-08-25,17,False
2019-09-01,28,False
2019-09-08,11,False
2019-09-15,23,False
2019-09-22,22,False
2019-09-29,39,False
2019-10-06,38,False
2019-10-13,16,False
2019-10-20,32,False
2019-10-27,32,False
2019-11-03,15,False
2019-11-10,57,False
2019-11-17,52,False
2019-11-24,20,False
2019-12-01,89,False
2019-12-08,100,False
2019-12-15,27,False
2019-12-22,37,False
2019-12-29,34,False
2020-01-05,25,False
2020-01-12,10,False
2020-01-19,10,False
2020-01-26,20,False
2020-02-02,25,False
2020-02-09,14,False
2020-02-16,40,False
2020-02-23,10,False
2020-03-01,19,False
2020-03-08,18,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,9,False
2020-04-05,10,False
2020-04-12,9,False
2020-04-19,18,False
2020-04-26,27,False
2020-05-03,27,False
2020-05-10,40,False
