date,pintura industrial,isPartial
2018-01-07,56,False
2018-01-14,32,False
2018-01-21,21,False
2018-01-28,41,False
2018-02-04,41,False
2018-02-11,64,False
2018-02-18,43,False
2018-02-25,20,False
2018-03-04,27,False
2018-03-11,51,False
2018-03-18,42,False
2018-03-25,35,False
2018-04-01,32,False
2018-04-08,40,False
2018-04-15,21,False
2018-04-22,20,False
2018-04-29,42,False
2018-05-06,40,False
2018-05-13,35,False
2018-05-20,56,False
2018-05-27,20,False
2018-06-03,20,False
2018-06-10,59,False
2018-06-17,58,False
2018-06-24,50,False
2018-07-01,32,False
2018-07-08,64,False
2018-07-15,44,False
2018-07-22,37,False
2018-07-29,29,False
2018-08-05,44,False
2018-08-12,34,False
2018-08-19,45,False
2018-08-26,51,False
2018-09-02,62,False
2018-09-09,34,False
2018-09-16,61,False
2018-09-23,100,False
2018-09-30,21,False
2018-10-07,0,False
2018-10-14,47,False
2018-10-21,28,False
2018-10-28,49,False
2018-11-04,30,False
2018-11-11,40,False
2018-11-18,29,False
2018-11-25,20,False
2018-12-02,21,False
2018-12-09,21,False
2018-12-16,21,False
2018-12-23,24,False
2018-12-30,23,False
2019-01-06,42,False
2019-01-13,27,False
2019-01-20,63,False
2019-01-27,26,False
2019-02-03,20,False
2019-02-10,51,False
2019-02-17,20,False
2019-02-24,20,False
2019-03-03,68,False
2019-03-10,42,False
2019-03-17,48,False
2019-03-24,52,False
2019-03-31,26,False
2019-04-07,33,False
2019-04-14,49,False
2019-04-21,91,False
2019-04-28,20,False
2019-05-05,30,False
2019-05-12,66,False
2019-05-19,33,False
2019-05-26,52,False
2019-06-02,32,False
2019-06-09,97,False
2019-06-16,27,False
2019-06-23,28,False
2019-06-30,55,False
2019-07-07,60,False
2019-07-14,31,False
2019-07-21,56,False
2019-07-28,0,False
2019-08-04,33,False
2019-08-11,33,False
2019-08-18,42,False
2019-08-25,20,False
2019-09-01,19,False
2019-09-08,32,False
2019-09-15,19,False
2019-09-22,44,False
2019-09-29,31,False
2019-10-06,37,False
2019-10-13,46,False
2019-10-20,18,False
2019-10-27,46,False
2019-11-03,18,False
2019-11-10,24,False
2019-11-17,36,False
2019-11-24,29,False
2019-12-01,38,False
2019-12-08,38,False
2019-12-15,30,False
2019-12-22,27,False
2019-12-29,50,False
2020-01-05,46,False
2020-01-12,62,False
2020-01-19,28,False
2020-01-26,35,False
2020-02-02,23,False
2020-02-09,58,False
2020-02-16,44,False
2020-02-23,34,False
2020-03-01,25,False
2020-03-08,38,False
2020-03-15,24,False
2020-03-22,30,False
2020-03-29,40,False
2020-04-05,38,False
2020-04-12,31,False
2020-04-19,35,False
2020-04-26,36,False
2020-05-03,22,False
2020-05-10,30,False
2020-05-17,45,True
