date,slideshow,isPartial
2018-01-07,38,False
2018-01-14,0,False
2018-01-21,47,False
2018-01-28,24,False
2018-02-04,23,False
2018-02-11,0,False
2018-02-18,25,False
2018-02-25,36,False
2018-03-04,24,False
2018-03-11,25,False
2018-03-18,0,False
2018-03-25,26,False
2018-04-01,27,False
2018-04-08,25,False
2018-04-15,0,False
2018-04-22,27,False
2018-04-29,26,False
2018-05-06,38,False
2018-05-13,26,False
2018-05-20,0,False
2018-05-27,26,False
2018-06-03,51,False
2018-06-10,0,False
2018-06-17,27,False
2018-06-24,28,False
2018-07-01,28,False
2018-07-08,28,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,30,False
2018-08-05,33,False
2018-08-12,38,False
2018-08-19,35,False
2018-08-26,30,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,0,False
2018-09-23,0,False
2018-09-30,27,False
2018-10-07,28,False
2018-10-14,55,False
2018-10-21,0,False
2018-10-28,27,False
2018-11-04,25,False
2018-11-11,26,False
2018-11-18,25,False
2018-11-25,76,False
2018-12-02,26,False
2018-12-09,0,False
2018-12-16,27,False
2018-12-23,0,False
2018-12-30,28,False
2019-01-06,100,False
2019-01-13,75,False
2019-01-20,0,False
2019-01-27,23,False
2019-02-03,35,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,25,False
2019-03-03,25,False
2019-03-10,25,False
2019-03-17,0,False
2019-03-24,25,False
2019-03-31,48,False
2019-04-07,0,False
2019-04-14,25,False
2019-04-21,55,False
2019-04-28,38,False
2019-05-05,25,False
2019-05-12,24,False
2019-05-19,0,False
2019-05-26,23,False
2019-06-02,36,False
2019-06-09,47,False
2019-06-16,0,False
2019-06-23,50,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,0,False
2019-07-21,0,False
2019-07-28,0,False
2019-08-04,0,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,23,False
2019-09-08,24,False
2019-09-15,45,False
2019-09-22,24,False
2019-09-29,24,False
2019-10-06,24,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,44,False
2019-11-10,0,False
2019-11-17,44,False
2019-11-24,22,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,26,False
2019-12-29,25,False
2020-01-05,22,False
2020-01-12,20,False
2020-01-19,0,False
2020-01-26,20,False
2020-02-02,0,False
2020-02-09,21,False
2020-02-16,42,False
2020-02-23,0,False
2020-03-01,19,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,35,False
2020-03-29,0,False
2020-04-05,39,False
2020-04-12,58,False
2020-04-19,18,False
2020-04-26,31,True
