date,confezioni bomboniere,isPartial
2018-01-07,93,False
2018-01-14,81,False
2018-01-21,20,False
2018-01-28,71,False
2018-02-04,20,False
2018-02-11,91,False
2018-02-18,69,False
2018-02-25,19,False
2018-03-04,59,False
2018-03-11,70,False
2018-03-18,100,False
2018-03-25,74,False
2018-04-01,88,False
2018-04-08,40,False
2018-04-15,93,False
2018-04-22,54,False
2018-04-29,82,False
2018-05-06,30,False
2018-05-13,20,False
2018-05-20,71,False
2018-05-27,21,False
2018-06-03,21,False
2018-06-10,29,False
2018-06-17,61,False
2018-06-24,41,False
2018-07-01,20,False
2018-07-08,30,False
2018-07-15,21,False
2018-07-22,0,False
2018-07-29,42,False
2018-08-05,33,False
2018-08-12,23,False
2018-08-19,45,False
2018-08-26,42,False
2018-09-02,20,False
2018-09-09,40,False
2018-09-16,39,False
2018-09-23,50,False
2018-09-30,20,False
2018-10-07,61,False
2018-10-14,31,False
2018-10-21,20,False
2018-10-28,20,False
2018-11-04,39,False
2018-11-11,41,False
2018-11-18,30,False
2018-11-25,20,False
2018-12-02,30,False
2018-12-09,20,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,45,False
2019-01-06,41,False
2019-01-13,30,False
2019-01-20,57,False
2019-01-27,38,False
2019-02-03,38,False
2019-02-10,48,False
2019-02-17,20,False
2019-02-24,39,False
2019-03-03,51,False
2019-03-10,40,False
2019-03-17,40,False
2019-03-24,20,False
2019-03-31,41,False
2019-04-07,59,False
2019-04-14,41,False
2019-04-21,65,False
2019-04-28,60,False
2019-05-05,19,False
2019-05-12,39,False
2019-05-19,48,False
2019-05-26,28,False
2019-06-02,40,False
2019-06-09,50,False
2019-06-16,0,False
2019-06-23,41,False
2019-06-30,0,False
2019-07-07,30,False
2019-07-14,41,False
2019-07-21,21,False
2019-07-28,42,False
2019-08-04,21,False
2019-08-11,0,False
2019-08-18,21,False
2019-08-25,39,False
2019-09-01,55,False
2019-09-08,38,False
2019-09-15,28,False
2019-09-22,28,False
2019-09-29,19,False
2019-10-06,29,False
2019-10-13,38,False
2019-10-20,18,False
2019-10-27,55,False
2019-11-03,18,False
2019-11-10,18,False
2019-11-17,54,False
2019-11-24,36,False
2019-12-01,19,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,42,False
2020-01-05,18,False
2020-01-12,61,False
2020-01-19,53,False
2020-01-26,26,False
2020-02-02,26,False
2020-02-09,35,False
2020-02-16,35,False
2020-02-23,33,False
2020-03-01,16,False
2020-03-08,16,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,26,True
