date,banqueting,isPartial
2018-01-07,52,False
2018-01-14,38,False
2018-01-21,50,False
2018-01-28,51,False
2018-02-04,100,False
2018-02-11,25,False
2018-02-18,86,False
2018-02-25,72,False
2018-03-04,35,False
2018-03-11,36,False
2018-03-18,49,False
2018-03-25,76,False
2018-04-01,26,False
2018-04-08,24,False
2018-04-15,74,False
2018-04-22,39,False
2018-04-29,38,False
2018-05-06,49,False
2018-05-13,36,False
2018-05-20,72,False
2018-05-27,61,False
2018-06-03,50,False
2018-06-10,0,False
2018-06-17,50,False
2018-06-24,89,False
2018-07-01,25,False
2018-07-08,25,False
2018-07-15,38,False
2018-07-22,52,False
2018-07-29,27,False
2018-08-05,29,False
2018-08-12,0,False
2018-08-19,65,False
2018-08-26,53,False
2018-09-02,36,False
2018-09-09,59,False
2018-09-16,70,False
2018-09-23,24,False
2018-09-30,47,False
2018-10-07,24,False
2018-10-14,24,False
2018-10-21,23,False
2018-10-28,47,False
2018-11-04,22,False
2018-11-11,47,False
2018-11-18,46,False
2018-11-25,35,False
2018-12-02,36,False
2018-12-09,70,False
2018-12-16,36,False
2018-12-23,43,False
2018-12-30,0,False
2019-01-06,48,False
2019-01-13,34,False
2019-01-20,45,False
2019-01-27,68,False
2019-02-03,34,False
2019-02-10,68,False
2019-02-17,23,False
2019-02-24,0,False
2019-03-03,94,False
2019-03-10,82,False
2019-03-17,24,False
2019-03-24,49,False
2019-03-31,36,False
2019-04-07,24,False
2019-04-14,0,False
2019-04-21,27,False
2019-04-28,37,False
2019-05-05,83,False
2019-05-12,23,False
2019-05-19,23,False
2019-05-26,34,False
2019-06-02,24,False
2019-06-09,36,False
2019-06-16,72,False
2019-06-23,0,False
2019-06-30,49,False
2019-07-07,49,False
2019-07-14,50,False
2019-07-21,51,False
2019-07-28,53,False
2019-08-04,0,False
2019-08-11,33,False
2019-08-18,45,False
2019-08-25,26,False
2019-09-01,57,False
2019-09-08,35,False
2019-09-15,45,False
2019-09-22,22,False
2019-09-29,22,False
2019-10-06,23,False
2019-10-13,22,False
2019-10-20,22,False
2019-10-27,33,False
2019-11-03,53,False
2019-11-10,43,False
2019-11-17,22,False
2019-11-24,53,False
2019-12-01,33,False
2019-12-08,22,False
2019-12-15,90,False
2019-12-22,67,False
2019-12-29,65,False
2020-01-05,33,False
2020-01-12,31,False
2020-01-19,74,False
2020-01-26,20,False
2020-02-02,51,False
2020-02-09,21,False
2020-02-16,51,False
2020-02-23,20,False
2020-03-01,39,False
2020-03-08,29,False
2020-03-15,20,False
2020-03-22,19,False
2020-03-29,19,False
2020-04-05,30,False
2020-04-12,20,False
2020-04-19,19,False
2020-04-26,0,True
