date,fotógrafo,isPartial
2018-01-07,0,False
2018-01-14,26,False
2018-01-21,20,False
2018-01-28,13,False
2018-02-04,13,False
2018-02-11,20,False
2018-02-18,20,False
2018-02-25,13,False
2018-03-04,13,False
2018-03-11,27,False
2018-03-18,40,False
2018-03-25,0,False
2018-04-01,0,False
2018-04-08,0,False
2018-04-15,13,False
2018-04-22,0,False
2018-04-29,19,False
2018-05-06,13,False
2018-05-13,27,False
2018-05-20,13,False
2018-05-27,19,False
2018-06-03,19,False
2018-06-10,19,False
2018-06-17,14,False
2018-06-24,13,False
2018-07-01,13,False
2018-07-08,50,False
2018-07-15,39,False
2018-07-22,0,False
2018-07-29,13,False
2018-08-05,25,False
2018-08-12,19,False
2018-08-19,13,False
2018-08-26,13,False
2018-09-02,25,False
2018-09-09,0,False
2018-09-16,25,False
2018-09-23,37,False
2018-09-30,13,False
2018-10-07,27,False
2018-10-14,12,False
2018-10-21,77,False
2018-10-28,100,False
2018-11-04,64,False
2018-11-11,49,False
2018-11-18,43,False
2018-11-25,40,False
2018-12-02,21,False
2018-12-09,13,False
2018-12-16,20,False
2018-12-23,15,False
2018-12-30,23,False
2019-01-06,19,False
2019-01-13,19,False
2019-01-20,24,False
2019-01-27,50,False
2019-02-03,32,False
2019-02-10,19,False
2019-02-17,39,False
2019-02-24,51,False
2019-03-03,19,False
2019-03-10,20,False
2019-03-17,13,False
2019-03-24,33,False
2019-03-31,24,False
2019-04-07,19,False
2019-04-14,12,False
2019-04-21,26,False
2019-04-28,25,False
2019-05-05,25,False
2019-05-12,12,False
2019-05-19,43,False
2019-05-26,24,False
2019-06-02,12,False
2019-06-09,12,False
2019-06-16,13,False
2019-06-23,26,False
2019-06-30,19,False
2019-07-07,18,False
2019-07-14,12,False
2019-07-21,13,False
2019-07-28,13,False
2019-08-04,49,False
2019-08-11,12,False
2019-08-18,0,False
2019-08-25,36,False
2019-09-01,23,False
2019-09-08,28,False
2019-09-15,30,False
2019-09-22,12,False
2019-09-29,18,False
2019-10-06,18,False
2019-10-13,12,False
2019-10-20,11,False
2019-10-27,18,False
2019-11-03,12,False
2019-11-10,11,False
2019-11-17,23,False
2019-11-24,44,False
2019-12-01,45,False
2019-12-08,24,False
2019-12-15,24,False
2019-12-22,13,False
2019-12-29,13,False
2020-01-05,12,False
2020-01-12,22,False
2020-01-19,16,False
2020-01-26,22,False
2020-02-02,22,False
2020-02-09,22,False
2020-02-16,16,False
2020-02-23,11,False
2020-03-01,21,False
2020-03-08,21,False
2020-03-15,0,False
2020-03-22,9,False
2020-03-29,9,False
2020-04-05,14,False
2020-04-12,13,True
