date,store banne,isPartial
2018-01-07,11,False
2018-01-14,10,False
2018-01-21,12,False
2018-01-28,16,False
2018-02-04,6,False
2018-02-11,9,False
2018-02-18,11,False
2018-02-25,15,False
2018-03-04,21,False
2018-03-11,16,False
2018-03-18,26,False
2018-03-25,35,False
2018-04-01,26,False
2018-04-08,12,False
2018-04-15,39,False
2018-04-22,42,False
2018-04-29,39,False
2018-05-06,49,False
2018-05-13,37,False
2018-05-20,43,False
2018-05-27,22,False
2018-06-03,15,False
2018-06-10,21,False
2018-06-17,35,False
2018-06-24,44,False
2018-07-01,35,False
2018-07-08,32,False
2018-07-15,34,False
2018-07-22,37,False
2018-07-29,31,False
2018-08-05,28,False
2018-08-12,20,False
2018-08-19,19,False
2018-08-26,25,False
2018-09-02,11,False
2018-09-09,14,False
2018-09-16,15,False
2018-09-23,12,False
2018-09-30,11,False
2018-10-07,11,False
2018-10-14,9,False
2018-10-21,10,False
2018-10-28,9,False
2018-11-04,9,False
2018-11-11,9,False
2018-11-18,4,False
2018-11-25,17,False
2018-12-02,4,False
2018-12-09,4,False
2018-12-16,0,False
2018-12-23,7,False
2018-12-30,5,False
2019-01-06,7,False
2019-01-13,14,False
2019-01-20,15,False
2019-01-27,7,False
2019-02-03,6,False
2019-02-10,21,False
2019-02-17,18,False
2019-02-24,30,False
2019-03-03,22,False
2019-03-10,27,False
2019-03-17,30,False
2019-03-24,40,False
2019-03-31,47,False
2019-04-07,33,False
2019-04-14,38,False
2019-04-21,37,False
2019-04-28,26,False
2019-05-05,26,False
2019-05-12,26,False
2019-05-19,24,False
2019-05-26,32,False
2019-06-02,26,False
2019-06-09,19,False
2019-06-16,21,False
2019-06-23,36,False
2019-06-30,59,False
2019-07-07,48,False
2019-07-14,38,False
2019-07-21,47,False
2019-07-28,28,False
2019-08-04,25,False
2019-08-11,21,False
2019-08-18,25,False
2019-08-25,29,False
2019-09-01,9,False
2019-09-08,10,False
2019-09-15,14,False
2019-09-22,11,False
2019-09-29,8,False
2019-10-06,10,False
2019-10-13,12,False
2019-10-20,6,False
2019-10-27,13,False
2019-11-03,4,False
2019-11-10,0,False
2019-11-17,8,False
2019-11-24,6,False
2019-12-01,4,False
2019-12-08,4,False
2019-12-15,4,False
2019-12-22,13,False
2019-12-29,10,False
2020-01-05,10,False
2020-01-12,11,False
2020-01-19,12,False
2020-01-26,20,False
2020-02-02,10,False
2020-02-09,10,False
2020-02-16,14,False
2020-02-23,19,False
2020-03-01,24,False
2020-03-08,12,False
2020-03-15,6,False
2020-03-22,15,False
2020-03-29,10,False
2020-04-05,46,False
2020-04-12,51,False
2020-04-19,43,False
2020-04-26,41,False
2020-05-03,32,False
2020-05-10,36,False
2020-05-17,100,False
2020-05-24,92,False
2020-05-31,84,False
2020-06-07,44,False
2020-06-14,19,False
2020-06-21,48,True
