date,store banne,isPartial
2018-01-07,11,False
2018-01-14,0,False
2018-01-21,0,False
2018-01-28,11,False
2018-02-04,0,False
2018-02-11,11,False
2018-02-18,12,False
2018-02-25,11,False
2018-03-04,12,False
2018-03-11,12,False
2018-03-18,46,False
2018-03-25,18,False
2018-04-01,15,False
2018-04-08,35,False
2018-04-15,49,False
2018-04-22,48,False
2018-04-29,18,False
2018-05-06,60,False
2018-05-13,12,False
2018-05-20,47,False
2018-05-27,17,False
2018-06-03,23,False
2018-06-10,11,False
2018-06-17,18,False
2018-06-24,36,False
2018-07-01,31,False
2018-07-08,53,False
2018-07-15,35,False
2018-07-22,44,False
2018-07-29,40,False
2018-08-05,40,False
2018-08-12,42,False
2018-08-19,34,False
2018-08-26,12,False
2018-09-02,12,False
2018-09-09,12,False
2018-09-16,12,False
2018-09-23,12,False
2018-09-30,12,False
2018-10-07,17,False
2018-10-14,0,False
2018-10-21,13,False
2018-10-28,12,False
2018-11-04,0,False
2018-11-11,18,False
2018-11-18,0,False
2018-11-25,0,False
2018-12-02,18,False
2018-12-09,0,False
2018-12-16,0,False
2018-12-23,13,False
2018-12-30,12,False
2019-01-06,12,False
2019-01-13,12,False
2019-01-20,11,False
2019-01-27,11,False
2019-02-03,12,False
2019-02-10,12,False
2019-02-17,12,False
2019-02-24,18,False
2019-03-03,22,False
2019-03-10,12,False
2019-03-17,18,False
2019-03-24,36,False
2019-03-31,44,False
2019-04-07,25,False
2019-04-14,19,False
2019-04-21,40,False
2019-04-28,23,False
2019-05-05,33,False
2019-05-12,44,False
2019-05-19,19,False
2019-05-26,46,False
2019-06-02,36,False
2019-06-09,22,False
2019-06-16,40,False
2019-06-23,55,False
2019-06-30,67,False
2019-07-07,48,False
2019-07-14,25,False
2019-07-21,30,False
2019-07-28,39,False
2019-08-04,31,False
2019-08-11,34,False
2019-08-18,17,False
2019-08-25,16,False
2019-09-01,15,False
2019-09-08,12,False
2019-09-15,11,False
2019-09-22,14,False
2019-09-29,0,False
2019-10-06,11,False
2019-10-13,22,False
2019-10-20,11,False
2019-10-27,0,False
2019-11-03,21,False
2019-11-10,0,False
2019-11-17,11,False
2019-11-24,10,False
2019-12-01,10,False
2019-12-08,10,False
2019-12-15,10,False
2019-12-22,0,False
2019-12-29,11,False
2020-01-05,20,False
2020-01-12,0,False
2020-01-19,10,False
2020-01-26,10,False
2020-02-02,17,False
2020-02-09,10,False
2020-02-16,10,False
2020-02-23,15,False
2020-03-01,19,False
2020-03-08,9,False
2020-03-15,0,False
2020-03-22,17,False
2020-03-29,16,False
2020-04-05,44,False
2020-04-12,34,False
2020-04-19,40,False
2020-04-26,34,False
2020-05-03,42,False
2020-05-10,28,False
2020-05-17,75,False
2020-05-24,73,False
2020-05-31,100,False
2020-06-07,23,False
2020-06-14,36,False
2020-06-21,83,True
