date,animazione per bambini,isPartial
2018-01-07,38,False
2018-01-14,28,False
2018-01-21,18,False
2018-01-28,46,False
2018-02-04,18,False
2018-02-11,18,False
2018-02-18,36,False
2018-02-25,26,False
2018-03-04,17,False
2018-03-11,26,False
2018-03-18,18,False
2018-03-25,28,False
2018-04-01,29,False
2018-04-08,44,False
2018-04-15,18,False
2018-04-22,38,False
2018-04-29,18,False
2018-05-06,18,False
2018-05-13,26,False
2018-05-20,18,False
2018-05-27,0,False
2018-06-03,27,False
2018-06-10,35,False
2018-06-17,18,False
2018-06-24,19,False
2018-07-01,36,False
2018-07-08,0,False
2018-07-15,28,False
2018-07-22,57,False
2018-07-29,20,False
2018-08-05,22,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,58,False
2018-09-02,18,False
2018-09-09,17,False
2018-09-16,25,False
2018-09-23,17,False
2018-09-30,26,False
2018-10-07,17,False
2018-10-14,35,False
2018-10-21,34,False
2018-10-28,17,False
2018-11-04,33,False
2018-11-11,34,False
2018-11-18,33,False
2018-11-25,51,False
2018-12-02,17,False
2018-12-09,34,False
2018-12-16,26,False
2018-12-23,21,False
2018-12-30,40,False
2019-01-06,26,False
2019-01-13,33,False
2019-01-20,25,False
2019-01-27,25,False
2019-02-03,17,False
2019-02-10,17,False
2019-02-17,34,False
2019-02-24,26,False
2019-03-03,17,False
2019-03-10,17,False
2019-03-17,35,False
2019-03-24,27,False
2019-03-31,0,False
2019-04-07,43,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,18,False
2019-05-05,52,False
2019-05-12,34,False
2019-05-19,100,False
2019-05-26,17,False
2019-06-02,27,False
2019-06-09,44,False
2019-06-16,35,False
2019-06-23,18,False
2019-06-30,36,False
2019-07-07,0,False
2019-07-14,18,False
2019-07-21,19,False
2019-07-28,19,False
2019-08-04,42,False
2019-08-11,48,False
2019-08-18,22,False
2019-08-25,19,False
2019-09-01,16,False
2019-09-08,17,False
2019-09-15,16,False
2019-09-22,0,False
2019-09-29,33,False
2019-10-06,16,False
2019-10-13,0,False
2019-10-20,39,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,63,False
2019-11-17,23,False
2019-11-24,15,False
2019-12-01,32,False
2019-12-08,49,False
2019-12-15,16,False
2019-12-22,20,False
2019-12-29,38,False
2020-01-05,48,False
2020-01-12,15,False
2020-01-19,46,False
2020-01-26,30,False
2020-02-02,15,False
2020-02-09,15,False
2020-02-16,23,False
2020-02-23,0,False
2020-03-01,14,False
2020-03-08,0,False
2020-03-15,22,False
2020-03-22,14,False
2020-03-29,14,False
2020-04-05,0,False
2020-04-12,22,False
2020-04-19,42,False
2020-04-26,0,True
