date,animazione per bambini,isPartial
2018-01-07,27,False
2018-01-14,27,False
2018-01-21,54,False
2018-01-28,0,False
2018-02-04,39,False
2018-02-11,0,False
2018-02-18,27,False
2018-02-25,0,False
2018-03-04,0,False
2018-03-11,0,False
2018-03-18,29,False
2018-03-25,0,False
2018-04-01,32,False
2018-04-08,0,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,0,False
2018-05-06,30,False
2018-05-13,29,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,0,False
2018-06-10,0,False
2018-06-17,28,False
2018-06-24,28,False
2018-07-01,29,False
2018-07-08,0,False
2018-07-15,29,False
2018-07-22,0,False
2018-07-29,27,False
2018-08-05,53,False
2018-08-12,0,False
2018-08-19,0,False
2018-08-26,0,False
2018-09-02,41,False
2018-09-09,56,False
2018-09-16,27,False
2018-09-23,0,False
2018-09-30,0,False
2018-10-07,0,False
2018-10-14,0,False
2018-10-21,0,False
2018-10-28,0,False
2018-11-04,0,False
2018-11-11,0,False
2018-11-18,0,False
2018-11-25,29,False
2018-12-02,31,False
2018-12-09,30,False
2018-12-16,31,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,27,False
2019-02-03,52,False
2019-02-10,0,False
2019-02-17,0,False
2019-02-24,27,False
2019-03-03,58,False
2019-03-10,27,False
2019-03-17,0,False
2019-03-24,0,False
2019-03-31,54,False
2019-04-07,0,False
2019-04-14,28,False
2019-04-21,0,False
2019-04-28,28,False
2019-05-05,0,False
2019-05-12,26,False
2019-05-19,0,False
2019-05-26,100,False
2019-06-02,55,False
2019-06-09,42,False
2019-06-16,0,False
2019-06-23,56,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,55,False
2019-07-21,28,False
2019-07-28,56,False
2019-08-04,27,False
2019-08-11,28,False
2019-08-18,26,False
2019-08-25,25,False
2019-09-01,24,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,26,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,39,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,26,False
2019-12-01,27,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,27,False
2020-01-12,26,False
2020-01-19,0,False
2020-01-26,52,False
2020-02-02,0,False
2020-02-09,26,False
2020-02-16,26,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,22,False
2020-03-22,20,False
2020-03-29,21,False
2020-04-05,22,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,True
