date,feste di compleanno,isPartial
2018-01-07,44,False
2018-01-14,59,False
2018-01-21,49,False
2018-01-28,35,False
2018-02-04,35,False
2018-02-11,41,False
2018-02-18,52,False
2018-02-25,25,False
2018-03-04,82,False
2018-03-11,52,False
2018-03-18,52,False
2018-03-25,35,False
2018-04-01,36,False
2018-04-08,13,False
2018-04-15,33,False
2018-04-22,42,False
2018-04-29,67,False
2018-05-06,45,False
2018-05-13,45,False
2018-05-20,19,False
2018-05-27,33,False
2018-06-03,61,False
2018-06-10,51,False
2018-06-17,44,False
2018-06-24,41,False
2018-07-01,13,False
2018-07-08,53,False
2018-07-15,41,False
2018-07-22,14,False
2018-07-29,42,False
2018-08-05,45,False
2018-08-12,0,False
2018-08-19,82,False
2018-08-26,31,False
2018-09-02,60,False
2018-09-09,58,False
2018-09-16,43,False
2018-09-23,38,False
2018-09-30,38,False
2018-10-07,66,False
2018-10-14,32,False
2018-10-21,32,False
2018-10-28,51,False
2018-11-04,36,False
2018-11-11,44,False
2018-11-18,13,False
2018-11-25,39,False
2018-12-02,12,False
2018-12-09,0,False
2018-12-16,28,False
2018-12-23,34,False
2018-12-30,45,False
2019-01-06,80,False
2019-01-13,35,False
2019-01-20,40,False
2019-01-27,48,False
2019-02-03,21,False
2019-02-10,49,False
2019-02-17,29,False
2019-02-24,51,False
2019-03-03,60,False
2019-03-10,52,False
2019-03-17,37,False
2019-03-24,80,False
2019-03-31,43,False
2019-04-07,13,False
2019-04-14,0,False
2019-04-21,33,False
2019-04-28,49,False
2019-05-05,45,False
2019-05-12,14,False
2019-05-19,55,False
2019-05-26,20,False
2019-06-02,28,False
2019-06-09,49,False
2019-06-16,30,False
2019-06-23,30,False
2019-06-30,31,False
2019-07-07,42,False
2019-07-14,38,False
2019-07-21,0,False
2019-07-28,32,False
2019-08-04,26,False
2019-08-11,56,False
2019-08-18,53,False
2019-08-25,31,False
2019-09-01,100,False
2019-09-08,78,False
2019-09-15,34,False
2019-09-22,55,False
2019-09-29,20,False
2019-10-06,14,False
2019-10-13,28,False
2019-10-20,47,False
2019-10-27,27,False
2019-11-03,40,False
2019-11-10,60,False
2019-11-17,20,False
2019-11-24,33,False
2019-12-01,42,False
2019-12-08,21,False
2019-12-15,14,False
2019-12-22,34,False
2019-12-29,24,False
2020-01-05,63,False
2020-01-12,52,False
2020-01-19,46,False
2020-01-26,64,False
2020-02-02,51,False
2020-02-09,26,False
2020-02-16,13,False
2020-02-23,38,False
2020-03-01,50,False
2020-03-08,24,False
2020-03-15,0,False
2020-03-22,12,False
2020-03-29,24,False
2020-04-05,12,False
2020-04-12,13,False
2020-04-19,12,False
2020-04-26,0,True
