date,Treppenmeister,isPartial
2018-01-07,63,False
2018-01-14,47,False
2018-01-21,63,False
2018-01-28,47,False
2018-02-04,32,False
2018-02-11,43,False
2018-02-18,64,False
2018-02-25,95,False
2018-03-04,53,False
2018-03-11,32,False
2018-03-18,64,False
2018-03-25,51,False
2018-04-01,45,False
2018-04-08,33,False
2018-04-15,50,False
2018-04-22,80,False
2018-04-29,100,False
2018-05-06,34,False
2018-05-13,32,False
2018-05-20,34,False
2018-05-27,33,False
2018-06-03,32,False
2018-06-10,93,False
2018-06-17,31,False
2018-06-24,0,False
2018-07-01,32,False
2018-07-08,0,False
2018-07-15,0,False
2018-07-22,0,False
2018-07-29,49,False
2018-08-05,33,False
2018-08-12,33,False
2018-08-19,33,False
2018-08-26,33,False
2018-09-02,81,False
2018-09-09,32,False
2018-09-16,0,False
2018-09-23,64,False
2018-09-30,32,False
2018-10-07,0,False
2018-10-14,32,False
2018-10-21,32,False
2018-10-28,42,False
2018-11-04,30,False
2018-11-11,31,False
2018-11-18,61,False
2018-11-25,62,False
2018-12-02,92,False
2018-12-09,52,False
2018-12-16,48,False
2018-12-23,0,False
2018-12-30,66,False
2019-01-06,59,False
2019-01-13,68,False
2019-01-20,48,False
2019-01-27,29,False
2019-02-03,59,False
2019-02-10,30,False
2019-02-17,61,False
2019-02-24,62,False
2019-03-03,30,False
2019-03-10,74,False
2019-03-17,0,False
2019-03-24,61,False
2019-03-31,51,False
2019-04-07,30,False
2019-04-14,44,False
2019-04-21,32,False
2019-04-28,30,False
2019-05-05,29,False
2019-05-12,31,False
2019-05-19,30,False
2019-05-26,31,False
2019-06-02,30,False
2019-06-09,31,False
2019-06-16,31,False
2019-06-23,31,False
2019-06-30,31,False
2019-07-07,30,False
2019-07-14,47,False
2019-07-21,49,False
2019-07-28,48,False
2019-08-04,32,False
2019-08-11,46,False
2019-08-18,32,False
2019-08-25,31,False
2019-09-01,60,False
2019-09-08,31,False
2019-09-15,41,False
2019-09-22,44,False
2019-09-29,59,False
2019-10-06,44,False
2019-10-13,58,False
2019-10-20,44,False
2019-10-27,43,False
2019-11-03,83,False
2019-11-10,85,False
2019-11-17,70,False
2019-11-24,27,False
2019-12-01,28,False
2019-12-08,0,False
2019-12-15,29,False
2019-12-22,33,False
2019-12-29,30,False
2020-01-05,27,False
2020-01-12,39,False
2020-01-19,54,False
2020-01-26,35,False
2020-02-02,54,False
2020-02-09,39,False
2020-02-16,41,False
2020-02-23,26,False
2020-03-01,39,False
2020-03-08,25,False
2020-03-15,24,False
2020-03-22,48,False
2020-03-29,48,False
2020-04-05,53,False
2020-04-12,38,False
2020-04-19,98,False
2020-04-26,24,False
2020-05-03,48,False
2020-05-10,41,False
