date,Büroreinigung,isPartial
2018-01-07,64,False
2018-01-14,0,False
2018-01-21,32,False
2018-01-28,95,False
2018-02-04,33,False
2018-02-11,33,False
2018-02-18,32,False
2018-02-25,48,False
2018-03-04,65,False
2018-03-11,64,False
2018-03-18,32,False
2018-03-25,34,False
2018-04-01,52,False
2018-04-08,0,False
2018-04-15,83,False
2018-04-22,48,False
2018-04-29,33,False
2018-05-06,0,False
2018-05-13,48,False
2018-05-20,34,False
2018-05-27,32,False
2018-06-03,32,False
2018-06-10,31,False
2018-06-17,47,False
2018-06-24,97,False
2018-07-01,32,False
2018-07-08,47,False
2018-07-15,99,False
2018-07-22,33,False
2018-07-29,34,False
2018-08-05,34,False
2018-08-12,0,False
2018-08-19,33,False
2018-08-26,0,False
2018-09-02,65,False
2018-09-09,65,False
2018-09-16,65,False
2018-09-23,49,False
2018-09-30,33,False
2018-10-07,66,False
2018-10-14,66,False
2018-10-21,82,False
2018-10-28,64,False
2018-11-04,92,False
2018-11-11,0,False
2018-11-18,31,False
2018-11-25,0,False
2018-12-02,31,False
2018-12-09,31,False
2018-12-16,32,False
2018-12-23,91,False
2018-12-30,100,False
2019-01-06,45,False
2019-01-13,60,False
2019-01-20,44,False
2019-01-27,29,False
2019-02-03,30,False
2019-02-10,76,False
2019-02-17,61,False
2019-02-24,63,False
2019-03-03,76,False
2019-03-10,30,False
2019-03-17,62,False
2019-03-24,31,False
2019-03-31,76,False
2019-04-07,62,False
2019-04-14,84,False
2019-04-21,33,False
2019-04-28,47,False
2019-05-05,60,False
2019-05-12,78,False
2019-05-19,30,False
2019-05-26,63,False
2019-06-02,76,False
2019-06-09,78,False
2019-06-16,63,False
2019-06-23,93,False
2019-06-30,77,False
2019-07-07,46,False
2019-07-14,65,False
2019-07-21,35,False
2019-07-28,34,False
2019-08-04,34,False
2019-08-11,65,False
2019-08-18,64,False
2019-08-25,61,False
2019-09-01,46,False
2019-09-08,62,False
2019-09-15,62,False
2019-09-22,60,False
2019-09-29,30,False
2019-10-06,74,False
2019-10-13,90,False
2019-10-20,30,False
2019-10-27,74,False
2019-11-03,28,False
2019-11-10,29,False
2019-11-17,70,False
2019-11-24,41,False
2019-12-01,85,False
2019-12-08,98,False
2019-12-15,0,False
2019-12-22,33,False
2019-12-29,94,False
2020-01-05,27,False
2020-01-12,26,False
2020-01-19,55,False
2020-01-26,54,False
2020-02-02,80,False
2020-02-09,66,False
2020-02-16,0,False
2020-02-23,64,False
2020-03-01,39,False
2020-03-08,50,False
2020-03-15,25,False
2020-03-22,49,False
2020-03-29,49,False
2020-04-05,27,False
2020-04-12,63,False
2020-04-19,50,False
2020-04-26,36,False
2020-05-03,25,False
2020-05-10,37,False
