date,Büroreinigung,isPartial
2018-01-07,33,False
2018-01-14,32,False
2018-01-21,32,False
2018-01-28,66,False
2018-02-04,33,False
2018-02-11,0,False
2018-02-18,33,False
2018-02-25,33,False
2018-03-04,50,False
2018-03-11,32,False
2018-03-18,0,False
2018-03-25,0,False
2018-04-01,72,False
2018-04-08,34,False
2018-04-15,35,False
2018-04-22,68,False
2018-04-29,71,False
2018-05-06,35,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,0,False
2018-06-03,52,False
2018-06-10,33,False
2018-06-17,33,False
2018-06-24,34,False
2018-07-01,33,False
2018-07-08,50,False
2018-07-15,68,False
2018-07-22,52,False
2018-07-29,36,False
2018-08-05,0,False
2018-08-12,63,False
2018-08-19,56,False
2018-08-26,38,False
2018-09-02,0,False
2018-09-09,0,False
2018-09-16,34,False
2018-09-23,68,False
2018-09-30,70,False
2018-10-07,34,False
2018-10-14,33,False
2018-10-21,82,False
2018-10-28,33,False
2018-11-04,32,False
2018-11-11,0,False
2018-11-18,62,False
2018-11-25,0,False
2018-12-02,48,False
2018-12-09,64,False
2018-12-16,33,False
2018-12-23,58,False
2018-12-30,70,False
2019-01-06,78,False
2019-01-13,71,False
2019-01-20,41,False
2019-01-27,51,False
2019-02-03,92,False
2019-02-10,62,False
2019-02-17,47,False
2019-02-24,96,False
2019-03-03,64,False
2019-03-10,0,False
2019-03-17,75,False
2019-03-24,32,False
2019-03-31,42,False
2019-04-07,47,False
2019-04-14,68,False
2019-04-21,56,False
2019-04-28,32,False
2019-05-05,30,False
2019-05-12,95,False
2019-05-19,31,False
2019-05-26,32,False
2019-06-02,48,False
2019-06-09,66,False
2019-06-16,100,False
2019-06-23,32,False
2019-06-30,52,False
2019-07-07,62,False
2019-07-14,32,False
2019-07-21,33,False
2019-07-28,0,False
2019-08-04,35,False
2019-08-11,34,False
2019-08-18,70,False
2019-08-25,53,False
2019-09-01,44,False
2019-09-08,64,False
2019-09-15,32,False
2019-09-22,62,False
2019-09-29,31,False
2019-10-06,46,False
2019-10-13,60,False
2019-10-20,30,False
2019-10-27,50,False
2019-11-03,68,False
2019-11-10,59,False
2019-11-17,0,False
2019-11-24,58,False
2019-12-01,45,False
2019-12-08,29,False
2019-12-15,50,False
2019-12-22,52,False
2019-12-29,33,False
2020-01-05,67,False
2020-01-12,55,False
2020-01-19,42,False
2020-01-26,46,False
2020-02-02,28,False
2020-02-09,37,False
2020-02-16,44,False
2020-02-23,46,False
2020-03-01,28,False
2020-03-08,85,False
2020-03-15,25,False
2020-03-22,25,False
2020-03-29,25,False
2020-04-05,27,False
2020-04-12,52,False
2020-04-19,38,False
2020-04-26,49,False
2020-05-03,100,False
2020-05-10,33,False
