date,Sperrmüllabfuhr,isPartial
2018-01-07,28,False
2018-01-14,37,False
2018-01-21,28,False
2018-01-28,56,False
2018-02-04,38,False
2018-02-11,19,False
2018-02-18,76,False
2018-02-25,38,False
2018-03-04,38,False
2018-03-11,37,False
2018-03-18,19,False
2018-03-25,20,False
2018-04-01,20,False
2018-04-08,49,False
2018-04-15,59,False
2018-04-22,38,False
2018-04-29,60,False
2018-05-06,100,False
2018-05-13,19,False
2018-05-20,41,False
2018-05-27,39,False
2018-06-03,29,False
2018-06-10,19,False
2018-06-17,38,False
2018-06-24,29,False
2018-07-01,28,False
2018-07-08,0,False
2018-07-15,20,False
2018-07-22,20,False
2018-07-29,0,False
2018-08-05,29,False
2018-08-12,0,False
2018-08-19,20,False
2018-08-26,49,False
2018-09-02,39,False
2018-09-09,76,False
2018-09-16,19,False
2018-09-23,58,False
2018-09-30,19,False
2018-10-07,48,False
2018-10-14,58,False
2018-10-21,38,False
2018-10-28,37,False
2018-11-04,18,False
2018-11-11,38,False
2018-11-18,18,False
2018-11-25,19,False
2018-12-02,92,False
2018-12-09,19,False
2018-12-16,19,False
2018-12-23,22,False
2018-12-30,40,False
2019-01-06,53,False
2019-01-13,44,False
2019-01-20,26,False
2019-01-27,35,False
2019-02-03,44,False
2019-02-10,36,False
2019-02-17,36,False
2019-02-24,18,False
2019-03-03,18,False
2019-03-10,18,False
2019-03-17,37,False
2019-03-24,55,False
2019-03-31,37,False
2019-04-07,27,False
2019-04-14,30,False
2019-04-21,19,False
2019-04-28,27,False
2019-05-05,0,False
2019-05-12,18,False
2019-05-19,27,False
2019-05-26,18,False
2019-06-02,18,False
2019-06-09,55,False
2019-06-16,28,False
2019-06-23,0,False
2019-06-30,36,False
2019-07-07,18,False
2019-07-14,47,False
2019-07-21,20,False
2019-07-28,38,False
2019-08-04,48,False
2019-08-11,18,False
2019-08-18,19,False
2019-08-25,18,False
2019-09-01,27,False
2019-09-08,45,False
2019-09-15,72,False
2019-09-22,44,False
2019-09-29,53,False
2019-10-06,0,False
2019-10-13,26,False
2019-10-20,17,False
2019-10-27,34,False
2019-11-03,41,False
2019-11-10,25,False
2019-11-17,17,False
2019-11-24,16,False
2019-12-01,34,False
2019-12-08,25,False
2019-12-15,17,False
2019-12-22,29,False
2019-12-29,36,False
2020-01-05,65,False
2020-01-12,31,False
2020-01-19,32,False
2020-01-26,0,False
2020-02-02,32,False
2020-02-09,16,False
2020-02-16,49,False
2020-02-23,24,False
2020-03-01,47,False
2020-03-08,22,False
2020-03-15,29,False
2020-03-22,43,False
2020-03-29,14,False
2020-04-05,16,False
2020-04-12,30,False
2020-04-19,29,False
2020-04-26,57,False
2020-05-03,72,False
2020-05-10,73,False
