date,Schemi Uncinetto,isPartial
2018-01-07,29,False
2018-01-14,14,False
2018-01-21,42,False
2018-01-28,55,False
2018-02-04,27,False
2018-02-11,53,False
2018-02-18,63,False
2018-02-25,87,False
2018-03-04,50,False
2018-03-11,38,False
2018-03-18,13,False
2018-03-25,14,False
2018-04-01,70,False
2018-04-08,38,False
2018-04-15,0,False
2018-04-22,14,False
2018-04-29,66,False
2018-05-06,25,False
2018-05-13,38,False
2018-05-20,25,False
2018-05-27,26,False
2018-06-03,27,False
2018-06-10,75,False
2018-06-17,37,False
2018-06-24,66,False
2018-07-01,52,False
2018-07-08,40,False
2018-07-15,27,False
2018-07-22,40,False
2018-07-29,41,False
2018-08-05,14,False
2018-08-12,0,False
2018-08-19,35,False
2018-08-26,60,False
2018-09-02,65,False
2018-09-09,38,False
2018-09-16,36,False
2018-09-23,37,False
2018-09-30,38,False
2018-10-07,39,False
2018-10-14,64,False
2018-10-21,50,False
2018-10-28,87,False
2018-11-04,36,False
2018-11-11,37,False
2018-11-18,12,False
2018-11-25,63,False
2018-12-02,47,False
2018-12-09,13,False
2018-12-16,55,False
2018-12-23,67,False
2018-12-30,29,False
2019-01-06,100,False
2019-01-13,55,False
2019-01-20,39,False
2019-01-27,36,False
2019-02-03,28,False
2019-02-10,27,False
2019-02-17,28,False
2019-02-24,50,False
2019-03-03,44,False
2019-03-10,29,False
2019-03-17,44,False
2019-03-24,28,False
2019-03-31,42,False
2019-04-07,26,False
2019-04-14,55,False
2019-04-21,80,False
2019-04-28,27,False
2019-05-05,87,False
2019-05-12,13,False
2019-05-19,27,False
2019-05-26,53,False
2019-06-02,14,False
2019-06-09,28,False
2019-06-16,0,False
2019-06-23,29,False
2019-06-30,0,False
2019-07-07,27,False
2019-07-14,45,False
2019-07-21,15,False
2019-07-28,32,False
2019-08-04,67,False
2019-08-11,55,False
2019-08-18,52,False
2019-08-25,45,False
2019-09-01,13,False
2019-09-08,27,False
2019-09-15,26,False
2019-09-22,40,False
2019-09-29,13,False
2019-10-06,27,False
2019-10-13,83,False
2019-10-20,53,False
2019-10-27,80,False
2019-11-03,26,False
2019-11-10,52,False
2019-11-17,39,False
2019-11-24,39,False
2019-12-01,27,False
2019-12-08,67,False
2019-12-15,41,False
2019-12-22,17,False
2019-12-29,47,False
2020-01-05,14,False
2020-01-12,63,False
2020-01-19,26,False
2020-01-26,13,False
2020-02-02,50,False
2020-02-09,13,False
2020-02-16,26,False
2020-02-23,12,False
2020-03-01,37,False
2020-03-08,36,False
2020-03-15,36,False
2020-03-22,68,False
2020-03-29,47,False
2020-04-05,24,False
2020-04-12,49,False
2020-04-19,68,False
2020-04-26,20,True
