date,Schemi Uncinetto,isPartial
2018-01-07,40,False
2018-01-14,40,False
2018-01-21,100,False
2018-01-28,30,False
2018-02-04,48,False
2018-02-11,20,False
2018-02-18,19,False
2018-02-25,46,False
2018-03-04,98,False
2018-03-11,40,False
2018-03-18,19,False
2018-03-25,62,False
2018-04-01,53,False
2018-04-08,40,False
2018-04-15,30,False
2018-04-22,43,False
2018-04-29,61,False
2018-05-06,30,False
2018-05-13,30,False
2018-05-20,20,False
2018-05-27,42,False
2018-06-03,41,False
2018-06-10,0,False
2018-06-17,20,False
2018-06-24,19,False
2018-07-01,20,False
2018-07-08,39,False
2018-07-15,59,False
2018-07-22,0,False
2018-07-29,57,False
2018-08-05,19,False
2018-08-12,34,False
2018-08-19,25,False
2018-08-26,35,False
2018-09-02,55,False
2018-09-09,39,False
2018-09-16,0,False
2018-09-23,30,False
2018-09-30,39,False
2018-10-07,83,False
2018-10-14,41,False
2018-10-21,20,False
2018-10-28,20,False
2018-11-04,49,False
2018-11-11,21,False
2018-11-18,50,False
2018-11-25,30,False
2018-12-02,43,False
2018-12-09,72,False
2018-12-16,31,False
2018-12-23,0,False
2018-12-30,20,False
2019-01-06,48,False
2019-01-13,58,False
2019-01-20,72,False
2019-01-27,18,False
2019-02-03,44,False
2019-02-10,18,False
2019-02-17,19,False
2019-02-24,27,False
2019-03-03,20,False
2019-03-10,46,False
2019-03-17,0,False
2019-03-24,19,False
2019-03-31,37,False
2019-04-07,36,False
2019-04-14,29,False
2019-04-21,0,False
2019-04-28,36,False
2019-05-05,55,False
2019-05-12,36,False
2019-05-19,54,False
2019-05-26,0,False
2019-06-02,0,False
2019-06-09,19,False
2019-06-16,19,False
2019-06-23,19,False
2019-06-30,19,False
2019-07-07,0,False
2019-07-14,18,False
2019-07-21,28,False
2019-07-28,18,False
2019-08-04,18,False
2019-08-11,37,False
2019-08-18,17,False
2019-08-25,35,False
2019-09-01,84,False
2019-09-08,34,False
2019-09-15,0,False
2019-09-22,51,False
2019-09-29,26,False
2019-10-06,26,False
2019-10-13,27,False
2019-10-20,17,False
2019-10-27,26,False
2019-11-03,25,False
2019-11-10,34,False
2019-11-17,35,False
2019-11-24,25,False
2019-12-01,44,False
2019-12-08,0,False
2019-12-15,26,False
2019-12-22,28,False
2019-12-29,18,False
2020-01-05,17,False
2020-01-12,16,False
2020-01-19,33,False
2020-01-26,32,False
2020-02-02,32,False
2020-02-09,17,False
2020-02-16,17,False
2020-02-23,39,False
2020-03-01,38,False
2020-03-08,14,False
2020-03-15,35,False
2020-03-22,52,False
2020-03-29,39,False
2020-04-05,42,False
2020-04-12,70,False
2020-04-19,59,False
2020-04-26,47,True
