date,Bodenbelag Pvc,isPartial
2018-01-07,31,False
2018-01-14,33,False
2018-01-21,32,False
2018-01-28,31,False
2018-02-04,0,False
2018-02-11,100,False
2018-02-18,33,False
2018-02-25,32,False
2018-03-04,32,False
2018-03-11,31,False
2018-03-18,48,False
2018-03-25,34,False
2018-04-01,35,False
2018-04-08,33,False
2018-04-15,68,False
2018-04-22,32,False
2018-04-29,34,False
2018-05-06,34,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,32,False
2018-06-03,32,False
2018-06-10,0,False
2018-06-17,0,False
2018-06-24,32,False
2018-07-01,0,False
2018-07-08,33,False
2018-07-15,52,False
2018-07-22,34,False
2018-07-29,0,False
2018-08-05,0,False
2018-08-12,61,False
2018-08-19,31,False
2018-08-26,32,False
2018-09-02,32,False
2018-09-09,31,False
2018-09-16,49,False
2018-09-23,0,False
2018-09-30,32,False
2018-10-07,0,False
2018-10-14,65,False
2018-10-21,0,False
2018-10-28,91,False
2018-11-04,0,False
2018-11-11,31,False
2018-11-18,30,False
2018-11-25,62,False
2018-12-02,31,False
2018-12-09,31,False
2018-12-16,0,False
2018-12-23,0,False
2018-12-30,0,False
2019-01-06,0,False
2019-01-13,29,False
2019-01-20,29,False
2019-01-27,0,False
2019-02-03,30,False
2019-02-10,45,False
2019-02-17,32,False
2019-02-24,0,False
2019-03-03,30,False
2019-03-10,29,False
2019-03-17,31,False
2019-03-24,60,False
2019-03-31,62,False
2019-04-07,31,False
2019-04-14,0,False
2019-04-21,0,False
2019-04-28,29,False
2019-05-05,0,False
2019-05-12,30,False
2019-05-19,29,False
2019-05-26,30,False
2019-06-02,30,False
2019-06-09,0,False
2019-06-16,30,False
2019-06-23,31,False
2019-06-30,0,False
2019-07-07,0,False
2019-07-14,32,False
2019-07-21,34,False
2019-07-28,32,False
2019-08-04,32,False
2019-08-11,0,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,40,False
2019-09-15,30,False
2019-09-22,30,False
2019-09-29,58,False
2019-10-06,29,False
2019-10-13,0,False
2019-10-20,30,False
2019-10-27,0,False
2019-11-03,54,False
2019-11-10,28,False
2019-11-17,28,False
2019-11-24,28,False
2019-12-01,29,False
2019-12-08,28,False
2019-12-15,29,False
2019-12-22,0,False
2019-12-29,30,False
2020-01-05,35,False
2020-01-12,26,False
2020-01-19,54,False
2020-01-26,26,False
2020-02-02,52,False
2020-02-09,82,False
2020-02-16,27,False
2020-02-23,52,False
2020-03-01,26,False
2020-03-08,0,False
2020-03-15,24,False
2020-03-22,24,False
2020-03-29,31,False
2020-04-05,26,False
2020-04-12,75,False
2020-04-19,37,False
2020-04-26,24,False
2020-05-03,40,False
2020-05-10,41,False
