date,cheminee bois,isPartial
2018-01-07,29,False
2018-01-14,56,False
2018-01-21,43,False
2018-01-28,42,False
2018-02-04,0,False
2018-02-11,28,False
2018-02-18,0,False
2018-02-25,47,False
2018-03-04,0,False
2018-03-11,57,False
2018-03-18,29,False
2018-03-25,29,False
2018-04-01,29,False
2018-04-08,29,False
2018-04-15,0,False
2018-04-22,0,False
2018-04-29,30,False
2018-05-06,30,False
2018-05-13,0,False
2018-05-20,0,False
2018-05-27,29,False
2018-06-03,0,False
2018-06-10,28,False
2018-06-17,29,False
2018-06-24,0,False
2018-07-01,0,False
2018-07-08,0,False
2018-07-15,30,False
2018-07-22,0,False
2018-07-29,29,False
2018-08-05,0,False
2018-08-12,28,False
2018-08-19,29,False
2018-08-26,28,False
2018-09-02,29,False
2018-09-09,0,False
2018-09-16,48,False
2018-09-23,44,False
2018-09-30,29,False
2018-10-07,30,False
2018-10-14,31,False
2018-10-21,50,False
2018-10-28,44,False
2018-11-04,28,False
2018-11-11,49,False
2018-11-18,43,False
2018-11-25,100,False
2018-12-02,29,False
2018-12-09,29,False
2018-12-16,30,False
2018-12-23,32,False
2018-12-30,31,False
2019-01-06,29,False
2019-01-13,0,False
2019-01-20,0,False
2019-01-27,28,False
2019-02-03,28,False
2019-02-10,30,False
2019-02-17,30,False
2019-02-24,29,False
2019-03-03,28,False
2019-03-10,43,False
2019-03-17,0,False
2019-03-24,30,False
2019-03-31,29,False
2019-04-07,45,False
2019-04-14,0,False
2019-04-21,28,False
2019-04-28,27,False
2019-05-05,28,False
2019-05-12,29,False
2019-05-19,29,False
2019-05-26,28,False
2019-06-02,26,False
2019-06-09,0,False
2019-06-16,0,False
2019-06-23,28,False
2019-06-30,0,False
2019-07-07,28,False
2019-07-14,0,False
2019-07-21,28,False
2019-07-28,28,False
2019-08-04,26,False
2019-08-11,26,False
2019-08-18,28,False
2019-08-25,0,False
2019-09-01,27,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,39,False
2019-09-29,34,False
2019-10-06,26,False
2019-10-13,53,False
2019-10-20,0,False
2019-10-27,24,False
2019-11-03,50,False
2019-11-10,25,False
2019-11-17,34,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,25,False
2019-12-15,25,False
2019-12-22,68,False
2019-12-29,52,False
2020-01-05,49,False
2020-01-12,24,False
2020-01-19,0,False
2020-01-26,24,False
2020-02-02,0,False
2020-02-09,24,False
2020-02-16,40,False
2020-02-23,24,False
2020-03-01,23,False
2020-03-08,23,False
2020-03-15,0,False
2020-03-22,20,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,21,False
2020-04-19,0,False
2020-04-26,37,False
2020-05-03,19,False
2020-05-10,0,False
2020-05-17,0,True
